"","y.actual_yield","y.marketable_yield","y.quality_loss","y.growth_potential","x.photosynthetic_active_days","x.photosynthetic_active_days_needed","x.water_stress_risk","x.water_stress_damage","x.disease_risk","x.disease_damage","x.insect_risk","x.insect_damage","x.weather_damage_risk","x.weather_damage","x.chill_need","x.chill_portions","x.growth_start_doy","x.season_end_doy","x.expected_yield","x.expected_season_length","x.speargrowth","x.late_frost_risk","x.late_frost_damage","x.temp_fluctuation_risk","x.temp_fluctuation_damage","x.extreme_rainfall_risk","x.extreme_rainfall_damage","x.extreme_heat_risk","x.extreme_heat_damage","x.id","x.Tsoil_mean"
"6808",65.8417881033156,65.8417881033156,0,0.95,95,100.016359883906,0.32,0.171948881594187,0,0.206765940637076,0.56,0.284713510148344,0,0.28513245713834,59.0575498525333,87.95,62,175.269252761621,7799.77256930612,74.88180340757,6,0,0.274898265502179,0,0.104282297633953,0.1,0.0629383046233348,0,0.0649336927981369,4189.41768490961,17.5567368168744
"6809",157.158487703353,157.158487703353,0,1,117,100.763704238636,0.15,0.188759639803359,0.25,0.217683084977319,0.3,0.15133902187044,0.1,0.0980911605130467,53.5778049370675,80.76,56,175.667720948371,11238.0119097645,68.6614234563853,6,0,0.180528704738442,0,0.0754690951283337,0.2,0.0657594997188368,0.25,0.0644481761520542,3753.6338970745,18.5477421997323
"6810",88.6908346726768,64.5469652626436,0.272225078263597,0.709462727310127,87,94.3505248723062,0.16,0.221630968898493,0.2,0.252300404878164,0.25,0.184525600792957,0.4,0.168638622921068,59.4087523080656,86.53,60,175.723108921141,9033.23471792095,73.5755069786346,6,0,0.211197048628751,0,0.1321105160692,0.2,0.0652120978824557,0.4,0.272225078263597,3854.2923197262,19.0334367627795
"6811",107.055220885604,107.055220885604,0,0.742121202911524,94,97.1036441165892,0.36,0.181915461714184,0,0.256695487474186,0.44,0.210509358604762,0.1,0.197927326516871,48.4343346083972,85.62,58,175.545496413236,11510.3898811523,74.1743918829657,11,0.1,0.221052778997291,0,0.0762357395066256,0.2,0.0670957337757713,0.2,0.179717215574299,4098.83754699672,18.6942395717549
"6812",96.5807489218695,96.5807489218695,0,0.793344583032295,108,101.658201215992,0.19,0.11789106596894,0,0.297464189712399,0.93,0.206655416967705,0.1,0.216615778741841,57.9214282628332,90.27,68,175.191815029643,10833.336112014,79.3705068006136,12,0,0.233828053219443,0,0.0697871271897045,0,0.0641991755997177,0,0.262845254999483,4190.8163443021,19.0978968485045
"6813",87.1681366712117,87.1681366712117,0,1,100,99.8314084927604,0.29,0.124068915629431,0,0.175973438434412,0.37,0.177662761952468,0.1,0.206465722951887,54.1701982531633,73.85,42,174.769820837831,9308.07559422716,69.8751961601307,12,0.2,0.206132678790118,0.1,0.0495423028635176,0.2,0.074985537434967,0.25,0.245432483764204,3570.87835333156,17.2323198142438
"6814",91.6672526379171,73.3689153264873,0.199616949181489,0.659681116816844,88,100.447099572945,0.38,0.135835914360582,0,0.161161297893019,0.58,0.250362367253586,0,0.0761550434627539,55.265512844143,85.82,60,175.635919239748,10467.7434361569,74.2469022115788,6,0,0.201864081035719,0.4,0.147886637541875,0.3,0.0583922249999579,0.6,0.199616949181489,3948.46322945878,18.8462634349586
"6815",77.8568121044483,72.3395273339068,0.0708645091085903,0.706025513997239,99,101.235002885131,0.44,0.056839298959203,0,0.138471392202458,0.23,0.245001099869015,0.3,0.286842915154304,44.8539747025583,74.07,51,175.946588560593,8946.13575737923,70.6295754599115,6,0.3,0.275438070617895,0.4,0.0812279385231415,0.3,0.0721536128945171,0.25,0.0708645091085903,3473.67895973492,18.0249776695963
"6816",84.7379021006461,84.7379021006461,0,0.68636250435449,79,101.591612706089,0.26,0.334999831752187,0,0.296129395043294,0.1,0.165916544964829,0.5,0.131186703348747,52.1998068483769,80.51,53,175.38257012713,8910.5062113467,65.4866846124956,6,0,0.118158230642564,0.2,0.0797120529872871,0.2,0.0910923987355579,0.15,0.212840837939108,4075.17657366251,18.2359855826147
"6817",96.811869997497,88.2100197964,0.0888511935707825,0.624257845383413,82,100.202068938447,0.3,0.238709944654375,0.25,0.181874425734912,0.54,0.325824613758671,0.1,0.344500551021123,51.0271956419899,76.2,47,175.694217608108,11029.7067534025,67.9566586622141,6,0.2,0.169332726504575,0,0.0713317212189995,0.2,0.0888511935707825,0.2,0.175203545185044,3529.29762124764,18.2320879486143
"6818",74.9832278832952,74.9832278832952,0,0.615657139578395,105,97.0580694566172,0.19,0.158232175524746,0,0.18281872217728,0.61,0.16066979441149,0.4,0.266489951774443,40.6000347793811,74.01,42,175.154126282083,8250.68595003971,73.4967233431177,6,0.1,0.177641393921038,0.2,0.0610119327537725,0.2,0.0768301698553626,0.35,0.337158223515236,3609.67272517467,18.5914944462084
"6819",144.591343791373,144.591343791373,0,0.91,91,98.728882314014,0.29,0.255722735309944,0,0.226779157487137,0.22,0.207324362256189,0.1,0.184252133571808,41.3171847352482,72.22,42,175.439255044012,9236.00532325832,64.2882475098497,6,0.1,0.177342157174526,0.3,0.0827264245665837,0.1,0.0905067022800943,0.1,0.312385631084148,3402.52479758514,18.6689505175785
"6820",72.5507518986905,69.0798229053444,0.0478413924392248,0.717406222856222,100,102.933006934972,0.29,0.285993605483425,0,0.198840690143449,0.54,0.282593777143778,0.2,0.144291244523857,43.5284549362736,110.82,90,176.038127995357,10011.0488584912,74.9752835995067,6,0,0.137262072181651,0.1,0.0478413924392248,0.1,0.0691479525050183,0.2,0.178720510668118,3543.57119204788,19.1691894554488
"6821",83.8525966173906,83.8525966173906,0,0.533091904430752,95,98.0815322001914,0.2,0.274662325232081,0,0.0945721111796584,0,0.261710427900919,0.5,0.226361193406163,45.9945410934879,73.97,42,175.810199050799,10064.5170482962,67.9614601511099,21,0,0.268224956262081,0.2,0.0599760692533508,0,0.0765595816802398,0,0.133042816712881,3882.78486727993,19.1322065235475
"6822",49.5831558342478,49.5831558342478,0,0.532524841671773,92,99.137410386349,0.33,0.233919224890913,0,0.145281285712623,0.32,0.244425172318405,0,0.211293469058995,46.1399202762469,71.16,42,175.819088260868,7279.81472658153,68.9259700184191,6,0.2,0.300980298418745,0.2,0.0311668922058504,0,0.0728007840018783,0.1,0.298099295330561,4002.77053861939,17.8450740769877
