"","y.actual_yield","y.marketable_yield","y.quality_loss","y.growth_pot","x.photosynthetic_active_days","x.photosynthetic_active_days_needed","x.water_stress_risk","x.water_stress_damage","x.disease_risk","x.disease_damage","x.insect_risk","x.insect_damage","x.weather_damage_risk","x.weather_damage","x.chill_need","x.chill_portions","x.growth_start_doy","x.season_end_doy","x.expected_yield","x.expected_season_length","x.speargrowth","x.late_frost_risk","x.late_frost_damage","x.temp_fluctuation_risk","x.temp_fluctuation_damage","x.extreme_rainfall_risk","x.extreme_rainfall_damage","x.extreme_heat_risk","x.extreme_heat_damage","x.quality_loss","x.growth_potential","x.id","x.Tsoil_mean"
"5031",117.268440643694,94.8450452899273,0.191214236589854,0.93,93,98.3975141596961,0.18,0.243282031506966,0,0.235755558386302,0.21,0.170876691403003,0.1,0.226477745801894,39.3439217829657,73.2,42,175.608048854732,10273.8989863163,68.413158958328,30,0.1,0.171619578487449,0.1,0.256980441155465,0.3,0.191214236589854,0,0.179813461949896,0,0,2107.88016783758,18.3790236011763
"5032",100.840886962236,100.840886962236,0,0.94,94,95.9343554643523,0.25,0.154399442152221,0,0.118109976109383,0,0.229182137170996,0.5,0.164853296412922,49.0793367360989,72.96,42,175.489992182644,7952.83428944387,73.8791347665805,22,0.1,0.127794779688822,0.4,0.226642379812641,0,0.131804478954084,0.05,0.126879392460729,0,0,2682.05723677766,18.8157356845014
"5033",81.9224531130984,81.9224531130984,0,0.728646363088622,94,104.921769634983,0.12,0.224844294586573,0.2,0.153214261065258,0.25,0.199514395627931,0,0.0979583897623289,42.0804672296495,81.79,62,175.322362248356,11522.0995102729,72.9783325710918,14,0,0.286569297921971,0,0.308367590351448,0.3,0.167582499017064,0,0.122799664186501,0,0,2097.00034808661,17.9606365177989
"5034",87.6345535441431,73.7972450549485,0.157897860256964,0.97,97,101.099689026874,0.23,0.181587661433874,0,0.329937055497345,0.37,0.159314960040149,0.1,0.233777467936948,45.8573758747354,72.3,42,175.672744879793,9667.10126683161,69.4102772158165,13,0.5,0.201636953802543,0.3,0.295263353202046,0.2,0.157897860256964,0.25,0.293621667664191,0,0,3170.63207355342,17.2144875515804
"5035",108.08827224373,108.08827224373,0,0.91,91,99.9345965971082,0.21,0.240888636617265,0,0.213959244746492,0.13,0.165056581504764,0.3,0.0657238375512081,48.7732049247938,87.65,63,175.342519379398,9361.28429040499,67.1228936472522,6,0.2,0.249743194945166,0.1,0.198065388508369,0.2,0.18395181873032,0.55,0.157892379767765,0,0,3177.34446645565,18.3339841575291
"5036",84.9846471355254,70.4514109658222,0.171010137237223,0.7983219541201,99,98.6079120830944,0.43,0.239450884302064,0,0.198665426332626,0.23,0.2016780458799,0,0.347248905904999,58.0810886063728,99.76,84,175.684044719492,10064.0125737219,73.5753879576789,6,0,0.254758036436428,0.2,0.212283644549569,0.1,0.246168553220846,0.2,0.171010137237223,0,0,2080.93717176942,18.9034532744273
"5037",114.589118198361,114.589118198361,0,0.93,93,102.361194770752,0.22,0.232663961542424,0,0.327395810591755,0.33,0.249849826875316,0.2,0.21775535994193,47.5882313675603,80.82,58,175.352406495232,9762.11373419485,71.7260252051664,25,0,0.151368824671771,0.1,0.1580136452207,0.1,0.270441895562025,0,0.200544311260684,0,0,3019.11875641481,19.5008931409826
"5038",59.5248151998436,59.5248151998436,0,0.598068466487232,100,95.6406222885604,0.26,0.257985788208357,0,0.197317821924281,0.42,0.193993245704613,0.1,0.242039549987436,52.3381891355314,88.69,69,175.509153049813,8911.30783964167,74.1607031330347,9,0,0.250453890970037,0,0.289806131398942,0,0.230409237128878,0,0.109703123943411,0,0,2233.42073923,18.5718253404417
"5039",128.660060150366,128.660060150366,0,1,98,96.5367843517894,0.51,0.147562478662033,0,0.142385330168204,0.62,0.252672430988792,0.2,0.187541483501441,49.3437652218942,89.39,69,175.644616149234,10955.78605144,73.2016903237592,6,0,0.248180694459153,0.4,0.172644074573681,0.1,0.3108414759801,0.2,0.23828001540762,0,0,2628.87329302174,18.5961827486777
"5040",106.292389804809,106.292389804809,0,0.848964708129589,109,98.6439594449713,0.18,0.151035291870411,0,0.218110286943941,0.43,0.0914671964708312,0.1,0.141973566320496,56.1104915776914,76.12,42,175.761778006814,10838.896207118,73.2186125348232,29,0,0.152457761543035,0,0.223473785740366,0.1,0.158907178700579,0.55,0.161775048978728,0,0,1922.88505126643,18.3643264462559
"5041",157.862187013943,157.862187013943,0,0.882561101114254,107,93.5001363001854,0.24,0.130235875675608,0,0.216642671460137,0.61,0.117438898885746,0.4,0.149351609740562,55.3584751108568,81.67,48,175.289079435117,12769.7376687306,73.6789083512258,20,0,0.267429343428242,0.2,0.176136687234097,0.1,0.148200204086253,0.25,0.189661420352469,0,0,1709.95781142227,19.3033666831902
"5042",146.459785117726,146.459785117726,0,0.93,93,97.2209285534834,0.39,0.159890023143209,0,0.198583408349103,0.53,0.231801245712445,0.1,0.0523351922907795,62.8382585768893,89.99,66,175.398264123039,11361.95072822,65.9372969177226,7,0.4,0.188480047923215,0.4,0.315328526030921,0.3,0.210577521626832,0.05,0.228666543721222,0,0,2768.72305090399,18.8078425645127
"5043",79.4380023956487,40.6562709846681,0.488201241741005,1,105,99.8163008026188,0.31,0.213591945238338,0,0.21207724651744,0,0.181140563023258,0,0.278554734468869,52.7491528412935,66.59,42,175.31791612171,8623.48146308064,66.5383003514429,6,0.6,0.243929606379851,0,0.24905401552056,0.1,0.244271635361154,0,0.2545470383298,0,0,2574.73206892619,16.9771565272876
"5044",123.483161978721,92.5403928911933,0.250582902087168,0.97,97,97.7687452016742,0.29,0.239760834660417,0.25,0.155954742986868,0.41,0.185110112171388,0.2,0.167936247441596,49.426657422582,75.83,55,175.433953476623,8608.35310086616,68.2443421008363,6,0,0.174781439636046,0.4,0.134363476892259,0.1,0.309215364441231,0.6,0.116219425194909,0,0,1855.75403692801,18.7467173020552
"5045",86.8313033872171,86.8313033872171,0,0.836591268391377,103,105.296071398461,0.28,0.187775467581188,0,0.18257093862151,0.14,0.201754942903238,0,0.222532636782173,42.6214020649805,72.02,42,175.436917539985,7030.15705962308,63.9274259731853,37,0,0.16783988088518,0.2,0.186628722524659,0,0.120531228069107,0,0.161779281387643,0,0,2456.62299813712,19.481011709125
