"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"ssp126--INM-CM4-8--2075--2006","ssp126",0.24,0.15,0,94,0.1,52,64,79.65,0.6,0.5,0.3,0.3,19.6505134468691,1006
"ssp126--INM-CM4-8--2075--2007","ssp126",0.18,0,0,78,0.2,66,74,88.41,0.2,0.2,0.3,0,20.1239513899592,1007
"ssp126--INM-CM4-8--2075--2008","ssp126",0.42,0.27,0,80,0.5,52,58,78.71,0.6,0.4,0.3,0.65,20.236891379906,1008
"ssp126--INM-CM4-8--2075--2009","ssp126",0.19,0.38,0,85,0.4,65,71,91.85,0,0.4,0,0.3,21.0875007938545,1009
"ssp126--INM-CM4-8--2075--2010","ssp126",0.52,0,0,84,0.2,88,100,108.43,0,0,0.1,0,20.0097614940858,1010
"ssp126--INM-CM4-8--2075--2011","ssp126",0.28,0.37,0,67,0,78,84,92.09,0,0.5,0,0.4,21.2353823269651,1011
"ssp126--INM-CM4-8--2075--2012","ssp126",0.21,0.14,0,94,0.1,62,68,88.22,0.7,0.3,0.2,0.15,18.3151183191371,1012
"ssp126--INM-CM4-8--2075--2013","ssp126",0.46,0.28,0,72,0.3,64,70,79.43,0.9,0.2,0.1,0,17.4980683576305,1013
"ssp126--INM-CM4-8--2075--2014","ssp126",0.31,0.1,0,78,0,51,58,79.75,1,0.3,0,0.4,17.5902820671036,1014
"ssp126--INM-CM4-8--2075--2015","ssp126",0.46,0.13,0,82,0.8,58,64,79.86,0.4,0.3,0.2,0.1,18.5771265544873,1015
"ssp126--INM-CM4-8--2075--2016","ssp126",0.2,0.11,0,96,0.1,49,55,73.86,0.4,0.4,0.2,0.25,18.8709529071624,1016
"ssp126--INM-CM4-8--2075--2017","ssp126",0.19,0.31,0,82,0.1,71,77,88.25,0.5,0.3,0.1,0.05,20.1872352209906,1017
"ssp126--INM-CM4-8--2075--2018","ssp126",0.1,0.57,0,97,0,56,62,83,0.1,0.1,0.3,0.15,19.6226230115438,1018
"ssp126--INM-CM4-8--2075--2019","ssp126",0.17,0.33,0,85,0.2,58,64,85.29,1,0.1,0.1,0,19.2532061400138,1019
"ssp126--INM-CM4-8--2075--2020","ssp126",0.34,0.1,0,71,0.1,76,82,94.9,0,0.2,0.1,0.2,21.1844615484601,1020
"ssp126--INM-CM4-8--2075--2021","ssp126",0.21,0.1,0,85,0.2,63,69,80.95,0.3,0.1,0.2,0.4,20.6403175505894,1021
"ssp126--INM-CM4-8--2075--2022","ssp126",0.18,0.29,0,92,0.1,71,77,95.44,0.4,0.1,0.1,0.5,20.1199044824176,1022
"ssp126--INM-CM4-8--2075--2023","ssp126",0.42,0.21,0,82,0,46,52,77.19,0.6,0.6,0.2,0.1,19.0323601751281,1023
"ssp126--INM-CM4-8--2075--2024","ssp126",0.26,0.36,0,92,0,48,54,77.21,0.1,0.4,0.3,0,19.2128597326675,1024
"ssp126--INM-CM4-8--2075--2025","ssp126",0.11,0.4,0,87,0,56,65,72.56,0.6,0.5,0.1,0.35,20.5661978612432,1025
"ssp126--INM-CM4-8--2075--2026","ssp126",0.37,0.11,0,97,0.3,56,62,85.61,0.3,0.2,0.1,0.15,20.6942939017009,1026
"ssp126--INM-CM4-8--2075--2027","ssp126",0.25,0.11,0,63,0,66,72,87.34,0.2,0.5,0.2,0.3,20.2878200171041,1027
"ssp126--INM-CM4-8--2075--2028","ssp126",0.51,0.23,0,88,0.1,69,75,91.33,0,0.3,0.2,0.2,20.6000508947042,1028
"ssp126--INM-CM4-8--2075--2029","ssp126",0.3,0.39,0.25,67,0.2,49,55,76.14,0.6,0.1,0.1,0.15,18.8357258009433,1029
"ssp126--INM-CM4-8--2075--2030","ssp126",0.15,0.21,0,89,0.2,47,53,74.26,0,0.5,0.3,0.7,19.1826320354542,1030
"ssp126--INM-CM4-8--2075--2031","ssp126",0.33,0.3,0,87,0,49,55,79.27,1,0.1,0.1,0,16.8923597738238,1031
"ssp126--INM-CM4-8--2075--2032","ssp126",0.49,0.12,0.2,82,0.1,59,65,81.23,0,0.1,0.1,0,19.5896434353383,1032
"ssp126--INM-CM4-8--2075--2033","ssp126",0.31,0.49,0,86,0.1,70,78,89.65,0.4,0.2,0,0,18.4589685395758,1033
"ssp126--INM-CM4-8--2075--2034","ssp126",0.29,0.24,0,79,0.1,54,60,76.61,0.3,0.7,0,0.55,20.3268514996134,1034
"ssp126--INM-CM4-8--2075--2035","ssp126",0.26,0.21,0,89,0.3,54,60,80.99,0.9,0.3,0,0.25,18.0547493180644,1035
"ssp126--INM-CM4-8--2075--2036","ssp126",0.11,0.23,0,79,0.5,63,69,85.8,0.1,0,0.1,0.05,18.728508661301,1036
"ssp126--INM-CM4-8--2075--2037","ssp126",0.12,0,0,83,0.6,75,81,94.46,0.4,0.4,0.1,0.25,19.8918569657381,1037
"ssp126--INM-CM4-8--2075--2038","ssp126",0.49,0.27,0,94,0.3,44,50,76.57,0.1,0.2,0.2,0.1,18.0030910642488,1038
"ssp126--INM-CM4-8--2075--2039","ssp126",0.39,0.29,0,88,0,58,64,88.56,0.5,0.8,0.3,0.45,19.1511176304628,1039
"ssp126--INM-CM4-8--2075--2040","ssp126",0.18,0.4,0,77,0,49,55,80.89,1,0.4,0,0.15,18.1089459047216,1040
"ssp126--INM-CM4-8--2075--2041","ssp126",0.29,0.45,0,104,0.1,54,60,82.15,0.5,0.3,0,0.15,18.9310222101502,1041
"ssp126--INM-CM4-8--2075--2042","ssp126",0.3,0,0,94,0,58,64,83.02,0.1,0.2,0.3,0.1,19.2556830349468,1042
"ssp126--INM-CM4-8--2075--2043","ssp126",0.29,0.38,0,85,0.2,58,88,88.41,0,0.2,0.1,0.2,21.0514331976835,1043
"ssp126--INM-CM4-8--2075--2044","ssp126",0.42,0.24,0,95,0.3,73,79,90.42,0.2,0.2,0,0.15,19.989050764783,1044
"ssp126--INM-CM4-8--2075--2045","ssp126",0.21,0.31,0,105,0.3,75,81,95.09,0,0.1,0.2,0.05,19.796561399049,1045
"ssp126--INM-CM4-8--2075--2046","ssp126",0.38,0.41,0,87,0.7,64,70,84.47,0,0.1,0,0.15,20.7762597962067,1046
"ssp126--INM-CM4-8--2075--2047","ssp126",0.35,0.48,0,78,0.4,81,87,101.91,0.3,0.1,0.2,0.15,20.4338262372057,1047
"ssp126--INM-CM4-8--2075--2048","ssp126",0.38,0.46,0,79,0,60,66,86.25,0.1,0,0.2,0.3,19.9076214092111,1048
"ssp126--INM-CM4-8--2075--2049","ssp126",0.06,0.25,0,75,0,62,68,86.06,0.1,0.2,0,0.1,20.9461228974766,1049
"ssp126--INM-CM4-8--2075--2050","ssp126",0.34,0,0,65,0.4,51,87,74.91,0.2,0.1,0.1,0.05,19.0997837097435,1050
"ssp126--INM-CM4-8--2075--2051","ssp126",0.31,0.22,0,85,0.1,53,59,80.44,0.2,0.4,0.1,0.3,19.1312499373515,1051
"ssp126--INM-CM4-8--2075--2052","ssp126",0,0.13,0,78,0,50,56,79.72,0.1,0.1,0,0,18.4556889099419,1052
"ssp126--INM-CM4-8--2075--2053","ssp126",0.2,0,0.25,103,0.1,58,64,85.47,0.2,0.2,0.2,0.1,19.0346955209068,1053
"ssp126--INM-CM4-8--2075--2054","ssp126",0.16,0.28,0,69,0.3,57,63,85.28,0,0,0.1,0.4,19.8201920021143,1054
"ssp126--INM-CM4-8--2075--2055","ssp126",0.38,0.11,0,70,0.2,61,67,81.93,0.1,0.2,0,0.2,19.7391338202404,1055
"ssp126--INM-CM4-8--2075--2056","ssp126",0.28,0.13,0,97,0,79,85,94.92,0,0.3,0,0,20.2193052641154,1056
"ssp126--INM-CM4-8--2075--2057","ssp126",0.36,0.12,0,92,0.1,55,65,84,0.6,0.8,0.1,0.1,19.6168159278901,1057
"ssp126--INM-CM4-8--2075--2058","ssp126",0.2,0.11,0,83,0.3,73,79,93.47,0,0.3,0.1,0.1,20.1371812775543,1058
"ssp126--INM-CM4-8--2075--2059","ssp126",0.22,0.31,0,82,0.1,63,69,86.61,0.1,0.1,0.2,0,19.6318075497543,1059
"ssp126--INM-CM4-8--2075--2060","ssp126",0.39,0.18,0,87,0.1,69,78,88.19,0.1,0.3,0,0.15,20.2715696185189,1060
"ssp126--INM-CM4-8--2075--2061","ssp126",0.37,0.27,0,80,0.1,76,89,92.14,0.2,0,0.2,0.15,20.2079127776415,1061
"ssp126--INM-CM4-8--2075--2062","ssp126",0.31,0.27,0,66,0.4,47,53,74.41,0.6,0.2,0.1,0.05,18.1135415357299,1062
"ssp126--INM-CM4-8--2075--2063","ssp126",0.24,0.22,0,79,0.1,60,66,79.97,0,0.7,0.4,0.45,20.32058870154,1063
"ssp126--INM-CM4-8--2075--2064","ssp126",0.3,0.57,0,87,0.1,53,59,81.3,0.9,0.2,0.2,0,19.5026025314206,1064
"ssp126--INM-CM4-8--2075--2065","ssp126",0.26,0.22,0,67,0,53,64,86.12,0,0.2,0.2,0.05,19.4151586620027,1065
"ssp126--INM-CM4-8--2075--2066","ssp126",0.21,0.51,0,88,0.2,74,80,93.39,0.1,0.6,0.1,0.2,21.8324826109932,1066
"ssp126--INM-CM4-8--2075--2067","ssp126",0.3,0.23,0,76,0,65,71,86.96,0.1,0.1,0.3,0.05,19.4054300098191,1067
"ssp126--INM-CM4-8--2075--2068","ssp126",0.39,0.31,0,86,0.1,73,79,95.01,0.4,0.5,0.3,0.05,19.7695645510222,1068
"ssp126--INM-CM4-8--2075--2069","ssp126",0.28,0.37,0,88,0.1,70,76,90.33,0,0.2,0.2,0.45,20.8824915013287,1069
"ssp126--INM-CM4-8--2075--2070","ssp126",0.23,0.2,0,94,0.1,55,61,82.28,1,0.2,0.2,0.15,18.9062250404906,1070
"ssp126--INM-CM4-8--2075--2071","ssp126",0.17,0.21,0,85,0.2,53,59,77.73,0.1,0,0.1,0.05,18.0776969489207,1071
"ssp126--INM-CM4-8--2075--2072","ssp126",0.06,0.22,0,88,0.2,59,65,83.51,0.3,0,0.1,0,19.2513424143607,1072
"ssp126--INM-CM4-8--2075--2073","ssp126",0.44,0.24,0,78,0.2,76,82,88.38,0,0.4,0.3,0.25,21.6687892773196,1073
"ssp126--INM-CM4-8--2075--2074","ssp126",0.38,0,0,93,0,50,56,74.26,1,0.3,0,0,16.3971053021345,1074
"ssp126--INM-CM4-8--2075--2075","ssp126",0.26,0,0,66,0.5,53,59,81.73,0.6,0.2,0.2,0.1,18.991424044859,1075
"ssp126--INM-CM4-8--2075--2076","ssp126",0.26,0.23,0,76,0.1,55,61,79.07,0.8,0.4,0.1,0.2,18.6751454889547,1076
"ssp126--INM-CM4-8--2075--2077","ssp126",0.21,0.12,0,81,0.2,60,66,85.43,0.2,0.1,0.2,0.5,20.3817988182626,1077
"ssp126--INM-CM4-8--2075--2078","ssp126",0.17,0.2,0,83,0.2,68,74,91.17,0.1,0.1,0.4,0,19.6603068883087,1078
"ssp126--INM-CM4-8--2075--2079","ssp126",0.19,0,0,87,0.4,49,55,75.66,0.2,0.4,0,0.4,19.7236601466643,1079
"ssp126--INM-CM4-8--2075--2080","ssp126",0.42,0.26,0,82,0.1,80,86,99.4,0,0.5,0,0.25,21.2293898996779,1080
"ssp126--INM-CM4-8--2075--2081","ssp126",0.23,0,0,79,0.1,72,78,95.09,0.9,0.3,0.2,0,17.9273101804116,1081
"ssp126--INM-CM4-8--2075--2082","ssp126",0.25,0,0,81,0.5,64,74,91.18,0,0.3,0,0,20.3357639648748,1082
"ssp126--INM-CM4-8--2075--2083","ssp126",0.38,0.22,0,85,0,54,71,81.14,0.1,0.3,0,0,17.9536430160576,1083
"ssp126--INM-CM4-8--2075--2084","ssp126",0.37,0.37,0,80,0,89,95,103.69,0,0.1,0.1,0.1,20.8323932679178,1084
"ssp126--INM-CM4-8--2075--2085","ssp126",0.51,0.24,0,88,0,76,82,96.46,0.2,0.4,0.1,0.25,20.874612319961,1085
"ssp126--INM-CM4-8--2075--2086","ssp126",0.31,0.31,0,78,0.4,80,86,100.25,0,0.2,0.1,0.15,22.2624918761272,1086
"ssp126--INM-CM4-8--2075--2087","ssp126",0.23,0.61,0,79,0.4,70,76,90.55,0.1,0.3,0,0,19.6006670974771,1087
"ssp126--INM-CM4-8--2075--2088","ssp126",0.17,0.1,0,74,0.1,78,84,100,0.1,0.3,0.1,0.2,21.3065823769078,1088
"ssp126--INM-CM4-8--2075--2089","ssp126",0.32,0.11,0,70,0,67,73,90.29,0.2,0,0.1,0,17.2510808006832,1089
"ssp126--INM-CM4-8--2075--2090","ssp126",0.19,0.55,0,97,0.1,79,85,97.18,0.1,0.1,0,0,20.8846007115907,1090
"ssp126--INM-CM4-8--2075--2091","ssp126",0.25,0.1,0,77,0.1,72,78,94.98,0.3,0.3,0.1,0,19.1749827393677,1091
"ssp126--INM-CM4-8--2075--2092","ssp126",0.23,0.25,0,93,0.2,63,69,89.02,0.1,0.2,0.2,0.05,19.7805088906419,1092
"ssp126--INM-CM4-8--2075--2093","ssp126",0.33,0.27,0,83,0.2,58,64,78.57,1,0.2,0.2,0.35,18.4962673814335,1093
"ssp126--INM-CM4-8--2075--2094","ssp126",0.28,0.48,0,84,0.1,62,68,88.89,0,0,0.2,0,20.8509852265257,1094
"ssp126--INM-CM4-8--2075--2095","ssp126",0.36,0.46,0,96,0.1,51,57,78.97,1,0.5,0.1,0.1,17.951604851535,1095
"ssp126--INM-CM4-8--2075--2096","ssp126",0.13,0.11,0,78,0.2,45,63,64.97,0.1,0.2,0.2,0,18.0491477608769,1096
"ssp126--INM-CM4-8--2075--2097","ssp126",0.12,0.28,0,86,0,62,68,82.8,0.1,0.1,0.1,0,18.9490669193088,1097
"ssp126--INM-CM4-8--2075--2098","ssp126",0.36,0.21,0,85,0.1,58,67,85.76,0.2,0.1,0.2,0.2,19.6003209491238,1098
"ssp126--INM-CM4-8--2075--2099","ssp126",0.43,0.42,0,84,0.45,73,79,99.26,0.3,0.1,0.1,0.15,19.9236562338286,1099
"ssp126--INM-CM4-8--2075--2100","ssp126",0.31,0.22,0,75,0.2,61,67,85.86,0.6,0.2,0.3,0,19.9869132414645,1100
"ssp126--INM-CM5-0--2075--2001","ssp126",0.41,0,0,80,0.2,47,53,73.6,0.7,0.3,0,0.3,18.7667798572802,1101
"ssp126--INM-CM5-0--2075--2002","ssp126",0.33,0.3,0,85,0,48,54,73.3,0.6,0.4,0,0.05,19.3242959412267,1102
"ssp126--INM-CM5-0--2075--2003","ssp126",0.12,0,0.2,83,0,56,65,85.77,0.4,0.3,0.3,0.05,19.1102603185688,1103
"ssp126--INM-CM5-0--2075--2004","ssp126",0.46,0.17,0,86,0.1,59,65,82.27,0.6,0.2,0,0,19.1271693330558,1104
"ssp126--INM-CM5-0--2075--2005","ssp126",0.12,0.2,0,86,0,53,59,79.01,0.5,0.4,0,0.1,18.9147567363621,1105
"ssp126--INM-CM5-0--2075--2006","ssp126",0.24,0.12,0,96,0.2,49,55,76.6,0.6,0.5,0.3,0.25,19.2698314015407,1106
"ssp126--INM-CM5-0--2075--2007","ssp126",0.18,0,0,81,0.2,48,66,76.64,0.3,0.2,0.3,0.05,19.7198294622858,1107
"ssp126--INM-CM5-0--2075--2008","ssp126",0.41,0.27,0,77,0.5,50,56,76.36,0.3,0.4,0.3,0.45,20.3442936029698,1108
"ssp126--INM-CM5-0--2075--2009","ssp126",0.19,0.36,0,87,0.4,53,64,83.45,0,0.5,0.1,0.15,20.7485436084004,1109
"ssp126--INM-CM5-0--2075--2010","ssp126",0.51,0,0,82,0.2,49,80,81.87,0.5,0.1,0.1,0,18.3696369226769,1110
"ssp126--INM-CM5-0--2075--2011","ssp126",0.26,0.37,0,71,0,55,61,76.25,0.3,0.5,0,0.25,19.5319506358979,1111
"ssp126--INM-CM5-0--2075--2012","ssp126",0.21,0.14,0,96,0.1,61,67,86.39,0.7,0.4,0.2,0.1,18.4155944607151,1112
"ssp126--INM-CM5-0--2075--2013","ssp126",0.46,0.28,0,75,0.3,62,68,79.36,1,0.3,0.1,0,17.5706476283032,1113
"ssp126--INM-CM5-0--2075--2014","ssp126",0.25,0.1,0,75,0,51,57,78.98,1,0.1,0,0.35,17.7436995598705,1114
"ssp126--INM-CM5-0--2075--2015","ssp126",0.46,0.13,0,85,0.8,56,62,80.64,0.4,0.3,0.3,0.05,18.6037143398347,1115
"ssp126--INM-CM5-0--2075--2016","ssp126",0.2,0.11,0,100,0.1,48,54,71.73,0.3,0.4,0.3,0.2,19.0610312268799,1116
"ssp126--INM-CM5-0--2075--2017","ssp126",0.19,0.3,0,87,0.2,53,73,79.6,0.6,0.4,0.1,0.05,20.0586648718085,1117
"ssp126--INM-CM5-0--2075--2018","ssp126",0.1,0.57,0,100,0,56,62,83.04,0,0.2,0.3,0.05,19.7772122323005,1118
"ssp126--INM-CM5-0--2075--2019","ssp126",0.17,0.33,0,88,0.2,54,60,80.88,0.8,0.2,0.1,0,19.2482776850272,1119
"ssp126--INM-CM5-0--2075--2020","ssp126",0.34,0.1,0,73,0.1,50,56,78.18,0.6,0.2,0.1,0.1,19.2148042836027,1120
"ssp126--INM-CM5-0--2075--2021","ssp126",0.18,0.1,0,91,0.2,61,67,76.83,0.2,0,0.2,0.15,20.597976814015,1121
"ssp126--INM-CM5-0--2075--2022","ssp126",0.18,0.39,0,94,0.1,70,76,96.55,0.4,0.1,0.1,0.3,20.1006711864751,1122
"ssp126--INM-CM5-0--2075--2023","ssp126",0.42,0.2,0,86,0,45,51,74.76,0.5,0.6,0.2,0.05,19.1920317942027,1123
"ssp126--INM-CM5-0--2075--2024","ssp126",0.26,0.35,0,94,0,47,53,77.55,0.1,0.4,0.3,0.05,19.384560321462,1124
"ssp126--INM-CM5-0--2075--2025","ssp126",0.11,0.38,0,88,0,55,62,72.84,0.8,0.5,0.1,0.3,20.5150402741543,1125
"ssp126--INM-CM5-0--2075--2026","ssp126",0.37,0.11,0,100,0.3,55,61,85.07,0.3,0.3,0.1,0.1,20.8294005629456,1126
"ssp126--INM-CM5-0--2075--2027","ssp126",0.25,0.11,0,64,0.1,65,71,90.14,0.2,0.3,0.2,0.25,20.3270208423751,1127
"ssp126--INM-CM5-0--2075--2028","ssp126",0.51,0.34,0,90,0.2,54,60,80.29,0.3,0.5,0.1,0.2,19.7522484061212,1128
"ssp126--INM-CM5-0--2075--2029","ssp126",0.3,0.49,0.25,64,0.2,48,54,74.87,0.5,0.3,0.1,0.15,19.0434641577595,1129
"ssp126--INM-CM5-0--2075--2030","ssp126",0.15,0.24,0,95,0.2,46,52,74.21,0,0.5,0.3,0.4,19.3731615673157,1130
"ssp126--INM-CM5-0--2075--2031","ssp126",0.33,0.27,0,89,0,48,54,77.38,0.9,0.1,0.1,0,17.0764915335522,1131
"ssp126--INM-CM5-0--2075--2032","ssp126",0.39,0.12,0.2,80,0.1,59,65,81.93,0,0.2,0.1,0,19.7253190575674,1132
"ssp126--INM-CM5-0--2075--2033","ssp126",0.26,0.39,0,85,0.1,67,73,87.39,0.4,0.3,0,0,18.2209885082883,1133
"ssp126--INM-CM5-0--2075--2034","ssp126",0.29,0.24,0,82,0.1,53,59,74.88,0.3,0.6,0,0.5,20.4478010690034,1134
"ssp126--INM-CM5-0--2075--2035","ssp126",0.25,0.21,0,91,0.3,53,59,79.51,0.8,0.2,0,0.1,18.1639134971046,1135
"ssp126--INM-CM5-0--2075--2036","ssp126",0.11,0.21,0,83,0.5,63,69,84.88,0.1,0,0.1,0.05,18.8219424044521,1136
"ssp126--INM-CM5-0--2075--2037","ssp126",0.06,0.13,0.2,85,0.35,74,80,94.62,0.6,0.4,0.1,0.3,19.8455848257152,1137
"ssp126--INM-CM5-0--2075--2038","ssp126",0.47,0.27,0,93,0.2,43,49,74.92,0.1,0.1,0.2,0,18.2149934495366,1138
"ssp126--INM-CM5-0--2075--2039","ssp126",0.38,0.29,0,91,0,52,59,83.84,0.5,0.7,0.3,0.45,19.1388198705109,1139
"ssp126--INM-CM5-0--2075--2040","ssp126",0.18,0.36,0,80,0,48,54,79.78,1,0.5,0.1,0.15,18.2967591226462,1140
"ssp126--INM-CM5-0--2075--2041","ssp126",0.29,0.41,0,108,0.1,52,58,79.06,0.4,0.5,0,0.1,18.9931670474518,1141
"ssp126--INM-CM5-0--2075--2042","ssp126",0.3,0,0,98,0,56,62,82.62,0.1,0.2,0.3,0.05,19.3264357232732,1142
"ssp126--INM-CM5-0--2075--2043","ssp126",0.29,0.38,0,89,0.2,56,78,87.45,0.1,0.2,0.1,0.15,20.1533577753494,1143
"ssp126--INM-CM5-0--2075--2044","ssp126",0.36,0.26,0,94,0.3,72,78,89.52,0.2,0.2,0,0.1,19.9685348253721,1144
"ssp126--INM-CM5-0--2075--2045","ssp126",0.14,0.29,0,106,0.3,60,75,83.73,0,0.1,0.2,0.05,19.5841840186565,1145
"ssp126--INM-CM5-0--2075--2046","ssp126",0.38,0.39,0,94,0.8,57,63,82.72,0.1,0.1,0.1,0.15,20.5671833394811,1146
"ssp126--INM-CM5-0--2075--2047","ssp126",0.35,0.46,0,78,0.4,62,72,90.79,0.5,0.2,0.2,0.05,19.317259792877,1147
"ssp126--INM-CM5-0--2075--2048","ssp126",0.35,0.29,0,79,0,54,60,82.61,0.2,0.1,0.3,0.25,19.7743138477181,1148
"ssp126--INM-CM5-0--2075--2049","ssp126",0.06,0.16,0,78,0,62,68,86.91,0.1,0.2,0.1,0.1,21.0139285566002,1149
"ssp126--INM-CM5-0--2075--2050","ssp126",0.34,0,0,68,0.4,50,56,74.04,0.4,0,0.1,0,17.2922310938227,1150
"ssp126--INM-CM5-0--2075--2051","ssp126",0.31,0.22,0,84,0.1,50,56,74.92,0.1,0.4,0.1,0.2,19.2014989715181,1151
"ssp126--INM-CM5-0--2075--2052","ssp126",0,0.13,0,82,0,49,55,77.05,0.1,0.2,0.1,0,18.6383016176616,1152
"ssp126--INM-CM5-0--2075--2053","ssp126",0.2,0,0.3,103,0.1,57,63,84.47,0.2,0.1,0.2,0.1,19.1340298865755,1153
"ssp126--INM-CM5-0--2075--2054","ssp126",0.16,0.26,0,74,0.3,56,62,84.74,0,0,0.1,0.35,19.9007689598136,1154
"ssp126--INM-CM5-0--2075--2055","ssp126",0.38,0.11,0,71,0.2,56,62,78.8,0.1,0.3,0,0.15,19.6848883288595,1155
"ssp126--INM-CM5-0--2075--2056","ssp126",0.28,0.13,0,99,0.1,76,82,93.69,0,0.2,0,0,20.0953211954663,1156
"ssp126--INM-CM5-0--2075--2057","ssp126",0.36,0.12,0,98,0.1,53,61,83.67,0.6,0.8,0,0.05,19.4695450012147,1157
"ssp126--INM-CM5-0--2075--2058","ssp126",0.2,0.13,0,78,0.3,68,74,91.27,0,0.3,0.1,0.05,19.8264575924879,1158
"ssp126--INM-CM5-0--2075--2059","ssp126",0.22,0.31,0,92,0.1,62,68,87.28,0.1,0,0.2,0,19.6973469358961,1159
"ssp126--INM-CM5-0--2075--2060","ssp126",0.38,0.18,0,89,0.1,65,71,84.72,0.3,0.3,0,0.1,19.8113520319634,1160
"ssp126--INM-CM5-0--2075--2061","ssp126",0.37,0.27,0,81,0.1,67,73,88.8,0.3,0,0.2,0.15,19.0127545319823,1161
"ssp126--INM-CM5-0--2075--2062","ssp126",0.31,0.27,0,68,0.4,46,52,75.37,0.7,0.3,0,0,18.3012653982509,1162
"ssp126--INM-CM5-0--2075--2063","ssp126",0.24,0.21,0,83,0.1,59,65,80.85,0.1,0.6,0.3,0.45,20.3849201708359,1163
"ssp126--INM-CM5-0--2075--2064","ssp126",0.3,0.45,0,88,0.1,51,57,79.9,0.8,0.2,0.2,0,19.574405033216,1164
"ssp126--INM-CM5-0--2075--2065","ssp126",0.26,0.22,0,66,0.1,51,57,84.84,0.2,0.2,0.2,0,19.0702776543785,1165
"ssp126--INM-CM5-0--2075--2066","ssp126",0.21,0.51,0,87,0.2,74,80,93.21,0.1,0.5,0.1,0.15,21.8404166948016,1166
"ssp126--INM-CM5-0--2075--2067","ssp126",0.25,0.33,0,81,0,63,69,85.6,0.1,0.2,0.3,0,19.4088274869981,1167
"ssp126--INM-CM5-0--2075--2068","ssp126",0.39,0.3,0,90,0.2,66,72,91.5,0.4,0.5,0.3,0,19.4698222573423,1168
"ssp126--INM-CM5-0--2075--2069","ssp126",0.28,0.37,0,91,0.1,69,75,90.43,0.2,0.3,0.2,0.3,20.8761862114611,1169
"ssp126--INM-CM5-0--2075--2070","ssp126",0.23,0.2,0,93,0.1,53,59,79.56,1,0.3,0.2,0.15,19.0377415385324,1170
"ssp126--INM-CM5-0--2075--2071","ssp126",0.17,0.21,0,87,0.2,52,58,77.1,0.3,0,0.1,0.05,18.240402555366,1171
"ssp126--INM-CM5-0--2075--2072","ssp126",0.06,0.22,0,87,0.2,58,64,81.91,0.2,0,0.1,0,19.3196448388131,1172
"ssp126--INM-CM5-0--2075--2073","ssp126",0.44,0.24,0,82,0.2,75,81,87.71,0.1,0.4,0.4,0.05,21.5653775789562,1173
"ssp126--INM-CM5-0--2075--2074","ssp126",0.32,0,0,95,0,46,52,70.39,1,0.2,0,0,16.6221617344405,1174
"ssp126--INM-CM5-0--2075--2075","ssp126",0.21,0,0,67,0.5,51,57,80.25,0.4,0.4,0.2,0.15,19.0945438419302,1175
"ssp126--INM-CM5-0--2075--2076","ssp126",0.26,0.13,0,75,0.3,54,60,79.31,0.9,0.3,0.1,0.15,18.7842405817052,1176
"ssp126--INM-CM5-0--2075--2077","ssp126",0.21,0.12,0,90,0.3,59,65,84.97,0.3,0.2,0.2,0.35,20.4714150096025,1177
"ssp126--INM-CM5-0--2075--2078","ssp126",0.17,0.2,0,86,0.2,65,71,89.65,0.1,0.1,0.4,0,19.6010526651436,1178
"ssp126--INM-CM5-0--2075--2079","ssp126",0.19,0,0,88,0.4,49,55,76.17,0.2,0.3,0,0.35,19.9273585968726,1179
"ssp126--INM-CM5-0--2075--2080","ssp126",0.42,0.36,0,82,0.1,79,85,98.33,0,0.6,0.1,0.2,21.16150368482,1180
"ssp126--INM-CM5-0--2075--2081","ssp126",0.23,0,0,83,0.2,71,77,93.98,0.9,0.4,0.2,0,17.9408578994711,1181
"ssp126--INM-CM5-0--2075--2082","ssp126",0.25,0,0,84,0.5,62,68,86.5,0.1,0.2,0,0,19.9757202137178,1182
"ssp126--INM-CM5-0--2075--2083","ssp126",0.38,0.22,0,82,0,47,56,74.92,0.5,0.2,0,0,17.2499461041164,1183
"ssp126--INM-CM5-0--2075--2084","ssp126",0.33,0.37,0,84,0,77,89,95.49,0.1,0.2,0.1,0,20.304420959437,1184
"ssp126--INM-CM5-0--2075--2085","ssp126",0.47,0.24,0,91,0,76,82,96.45,0.2,0.4,0.1,0.2,20.8445475777082,1185
"ssp126--INM-CM5-0--2075--2086","ssp126",0.31,0.31,0,77,0.4,79,85,100.95,0,0,0.1,0.15,22.1345147528311,1186
"ssp126--INM-CM5-0--2075--2087","ssp126",0.23,0.5,0,80,0.4,69,75,89.39,0.2,0.3,0,0,19.6127382219649,1187
"ssp126--INM-CM5-0--2075--2088","ssp126",0.17,0.1,0,76,0.2,59,77,87.04,0.2,0.4,0.1,0.15,20.746629643308,1188
"ssp126--INM-CM5-0--2075--2089","ssp126",0.31,0,0,72,0,62,68,86.91,0.3,0,0.1,0,17.1106252120356,1189
"ssp126--INM-CM5-0--2075--2090","ssp126",0.19,0.56,0,102,0.1,68,75,90.18,0.2,0.1,0,0,20.1708284733358,1190
"ssp126--INM-CM5-0--2075--2091","ssp126",0.25,0.1,0,83,0.1,69,75,93.38,0.3,0.3,0.1,0,19.0693273625757,1191
