"","ssp","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"ssp370--CNRM-ESM2-1--2075--2058","ssp370",0.23,0.15,0,25,104.82,7.48953642384106,0.4,0,0.2,0,0,0.05,0,0,0,0,0,0.1,0.05,0,0.35,9.62629166666667,10.6378333333333,13.6425,17.7028787878788,3558
"ssp370--CNRM-ESM2-1--2075--2059","ssp370",0.2,0.1,0,45,104.59,7.21509933774834,0.316666666666667,0,0.2,0,0,0,0,0,0,0,0,0.05,0.05,0,0.25,13.1880833333333,10.0895,16.1406666666667,18.7768181818182,3559
"ssp370--CNRM-ESM2-1--2075--2060","ssp370",0.41,0.25,0,53,98.51,7.37430463576159,0.266666666666667,0,0.4,0,0.05,0.05,0,0,0,0.2,0,0.2,0.15,0,0.35,12.7957916666667,9.58958333333333,15.5486666666667,19.3757575757576,3560
"ssp370--CNRM-ESM2-1--2075--2061","ssp370",0.2,0.2,0,33,105.15,6.67814569536424,0.25,0,0.8,0,0,0,0,0,0,0,0,0.15,0,0.3,0.35,9.63470833333333,8.21933333333333,14.6363333333333,18.8485294117647,3561
"ssp370--CNRM-ESM2-1--2075--2062","ssp370",0.29,0,0,21,108.02,7.59417218543046,0.2,0,0.75,0,0.1,0,0,0,0,0,0,0.05,0.1,0.15,0.75,9.14191666666667,8.35125,13.9703333333333,20.1675757575758,3562
"ssp370--CNRM-ESM2-1--2075--2063","ssp370",0.16,0.25,0,39,99.29,7.24847682119205,0.35,0,0.15,0,0.12,0.2,0,0.2,0.2,0.2,0,0,0,0.45,0.4,11.006625,10.8605833333333,17.4885,17.0775757575758,3563
"ssp370--CNRM-ESM2-1--2075--2064","ssp370",0.27,0.1,0,37,105.78,7.66913907284768,0.366666666666667,0,0.6,0,0,0.05,0,0,0,0,0,0.05,0.15,0.15,0.6,10.1452916666667,11.0238333333333,13.5926666666667,19.9137878787879,3564
"ssp370--CNRM-ESM2-1--2075--2065","ssp370",0.21,0,0,27,105.3,7.61092715231788,0.35,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0.3,0.65,10.1373333333333,10.5246666666667,14.866,18.1126470588235,3565
"ssp370--CNRM-ESM2-1--2075--2066","ssp370",0.21,0,0,31,100.71,7.39218543046358,0.266666666666667,0,0.45,0,0.12,0.05,0,0,0,0,0,0.4,0.1,0.15,0.55,10.6988333333333,11.261,16.208,20.6483333333333,3566
"ssp370--CNRM-ESM2-1--2075--2067","ssp370",0.37,0,0,34,101.84,7.69092715231788,0.433333333333333,0,0.05,0,0,0,0,0,0,0,0,0.1,0,0.15,0.5,11.53125,11.0245,12.5251666666667,18.4092424242424,3567
"ssp370--CNRM-ESM2-1--2075--2068","ssp370",0.15,0.25,0,35,102.49,6.96708609271523,0.316666666666667,0,0.35,0,0.1,0.05,0,0.15,0,0,0,0.25,0.05,0.15,0.2,11.2213333333333,9.59158333333333,16.1938333333333,17.8433333333333,3568
"ssp370--CNRM-ESM2-1--2075--2069","ssp370",0.14,0.1,0,34,104.24,7.59298013245033,0.3,0,0.35,0,0.11,0.05,0,0,0,0,0,0.9,0.05,0,0.15,11.5435833333333,9.86516666666667,16.4358333333333,23.1822058823529,3569
"ssp370--CNRM-ESM2-1--2075--2070","ssp370",0.25,0.1,0,42,106.28,7.23841059602649,0.25,0,0.8,0.05,0.08,0.1,0,0.15,0,0,0,0.1,0.25,0.15,0.8,11.3629583333333,8.05033333333333,16.774,19.4881818181818,3570
"ssp370--CNRM-ESM2-1--2075--2071","ssp370",0.23,0,0,39,107.09,6.21814569536424,0.216666666666667,0,0.5,0.05,0.11,0,0,0,0,0,0,0.05,0.05,0.6,0.4,10.76925,8.80925,13.1296666666667,18.6266666666667,3571
"ssp370--CNRM-ESM2-1--2075--2072","ssp370",0.28,0,0,42,101.91,7.72960264900662,0.3,0,0.55,0,0,0.1,0,0,0.1,0,0,0,0.05,0.15,0.55,12.4215416666667,10.7986666666667,13.5581666666667,17.4213636363636,3572
"ssp370--CNRM-ESM2-1--2075--2073","ssp370",0.52,0,0.1,45,96.01,7.00688741721854,0.316666666666667,0,0.75,0,0.05,0.2,0,0,0,0,0,0.45,0.1,0.15,0.35,11.5559583333333,9.52233333333333,17.4923333333333,20.4177941176471,3573
"ssp370--CNRM-ESM2-1--2075--2074","ssp370",0.25,0.45,0,43,100.67,7.52443708609272,0.233333333333333,0,0.7,0.1,0.07,0,0,0,0,0,0,0,0.1,0,0.25,11.866375,7.62733333333333,11.8956666666667,16.0407575757576,3574
"ssp370--CNRM-ESM2-1--2075--2075","ssp370",0.13,0,0,20,104.04,7.77695364238411,0.333333333333333,0,0.4,0,0,0.15,0,0,0.1,0.1,0,0,0,0.15,0.7,10.6125416666667,9.7845,16.589,16.379696969697,3575
"ssp370--CNRM-ESM2-1--2075--2076","ssp370",0.16,0.25,0,28,109.23,7.34112582781457,0.383333333333333,0,0.95,0,0.06,0.05,0,0.1,0,0.1,0,0.2,0.05,0.3,0.3,9.60866666666667,7.90791666666667,17.0658333333333,18.7486363636364,3576
