"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p547","historic","historic","2000",0.3,0,0,44,0,91,97,89.96,0,0,0,0,16.8943862824988,1
"p547","historic","historic","2000",0.28,0.1,0,56,0,60,66,78.33,0,0,0,0,16.2903489769077,2
"p547","historic","historic","2000",0.25,0,0,49,0,90,99,101.41,0.1,0,0,0,18.3076956967506,3
"p547","historic","historic","2000",0.29,0,0,31,0.4,75,81,89.56,0,0,0.1,0,16.233321676956,4
"p547","historic","historic","2000",0.34,0.1,0,56,0.1,46,89,71.1,0.1,0,0.1,0,17.0940131933929,5
"p547","historic","historic","2000",0.4,0.1,0,48,0.1,87,93,105.02,0,0,0.1,0,15.7966173288853,6
"p547","historic","historic","2000",0.41,0,0,53,0.1,115,121,110.99,0,0,0,0,17.0796296445119,7
"p547","historic","historic","2000",0.45,0,0,50,0,85,98,101.22,0,0,0,0,17.4619478719361,8
"p547","historic","historic","2000",0.34,0,0,65,0.1,94,115,89.35,0,0,0,0,18.653203753977,9
"p547","historic","historic","2000",0.28,0.1,0,66,0.1,93,116,96.51,0,0,0,0,18.0872568592597,10
"p547","historic","historic","2000",0.29,0,0,56,0,79,102,78.58,0,0,0,0,18.1502903693569,11
"p547","historic","historic","2000",0.17,0,0,34,0.1,78,107,91.02,0,0,0,0,18.0564134680795,12
"p547","historic","historic","2000",0.33,0,0,65,0,102,108,101.05,0,0,0,0,19.4068300101627,13
"p547","historic","historic","2000",0.34,0,0,42,0.1,75,81,78.23,0,0,0.1,0,17.5281447640832,14
"p547","historic","historic","2000",0.22,0,0,44,0,80,86,86.28,0,0,0,0,17.2879998693642,15
"p547","historic","historic","2000",0.26,0,0,49,0,63,90,82.35,0.1,0,0,0,17.2527692142336,16
"p547","historic","historic","2000",0.11,0,0.25,55,0.3,66,94,76.84,0,0,0.1,0,18.241863446476,17
"p547","historic","historic","2000",0.45,0,0,57,0,103,109,88.89,0,0,0,0,16.4033385012211,18
"p547","historic","historic","2000",0.36,0.1,0,42,0,108,114,105.9,0,0,0,0,18.1133204593182,19
"p547","historic","historic","2000",0.36,0.1,0.25,69,0,60,112,79.32,0,0,0,0,19.3208771813182,20
"p547","historic","historic","2000",0.39,0.1,0,71,0.1,62,109,69.38,0,0,0,0,18.7218823053507,21
"p547","historic","historic","2000",0.61,0,0,43,0,82,88,84.18,0,0,0.1,0,18.488159157055,22
"p547","historic","historic","2000",0.42,0,0,51,0,77,83,95.03,0.3,0,0.1,0,15.7653716054584,23
"p547","historic","historic","2000",0.37,0,0,40,0.1,91,114,91.37,0,0,0,0,18.1600471669862,24
"p547","historic","historic","2000",0.51,0.23,0,61,0.1,114,120,115.49,0,0,0.1,0,17.9451837713226,25
"p547","historic","historic","2000",0.36,0.1,0,56,0,109,120,111.68,0,0,0,0,19.1699062580607,26
