"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p19","historic","historic","2000",0.24,0.21,0,74,0,77,101,98.02,0,0,0.1,0,18.9844297723646,1
"p19","historic","historic","2000",0.3,0.11,0,65,0,91,107,103.58,0,0,0,0.05,18.144503468817,2
"p19","historic","historic","2000",0.25,0,0,77,0,64,77,79.86,0.1,0,0,0,16.4684870555516,3
"p19","historic","historic","2000",0.38,0.21,0,80,0,93,99,94.63,0,0,0,0,18.695714368834,4
"p19","historic","historic","2000",0.52,0.18,0,70,0,60,102,74.98,0,0,0,0.05,18.6159226760513,5
"p19","historic","historic","2000",0.28,0.13,0,74,0,67,112,73.31,0,0,0,0,19.6865672359978,6
"p19","historic","historic","2000",0.47,0.14,0,76,0.1,68,91,93,0,0,0,0,18.4603445194254,7
"p19","historic","historic","2000",0.29,0,0,85,0,61,87,73.07,0,0,0,0,17.4764413635693,8
"p19","historic","historic","2000",0.64,0,0,59,0,62,68,89.75,0,0,0,0,17.1330856523328,9
"p19","historic","historic","2000",0.3,0.15,0,56,0.1,46,52,67.28,0,0,0.1,0,16.8727684976427,10
"p19","historic","historic","2000",0.4,0,0,71,0,112,122,125.31,0,0,0.1,0,19.0197022719691,11
"p19","historic","historic","2000",0.4,0.39,0,95,0,88,94,91.69,0,0,0,0,17.9280330470202,12
"p19","historic","historic","2000",0.52,0.16,0,65,0,78,99,85.83,0,0,0,0.05,16.8352769769446,13
"p19","historic","historic","2000",0.59,0.15,0,80,0,104,110,116.83,0,0,0,0,18.277281243469,14
"p19","historic","historic","2000",0.46,0,0,81,0,100,106,110.35,0,0,0.1,0,17.7769398809078,15
"p19","historic","historic","2000",0.41,0.1,0,80,0,85,100,92.25,0,0,0,0,17.7481027909127,16
"p19","historic","historic","2000",0.47,0,0,80,0,84,118,99.71,0,0,0,0.05,18.3625059346421,17
"p19","historic","historic","2000",0.48,0,0,82,0,74,80,100.8,0,0,0,0,18.1468363908939,18
"p19","historic","historic","2000",0.27,0.12,0,78,0,52,85,76.34,0,0,0,0.05,18.3552205712569,19
"p19","historic","historic","2000",0.1,0,0,56,0,69,76,76.03,0.1,0,0,0,17.3235969148703,20
"p19","historic","historic","2000",0.46,0.1,0,52,0,95,101,110.88,0,0,0.1,0,18.692689427282,21
"p19","historic","historic","2000",0.33,0.25,0,85,0,106,113,117.54,0,0,0,0,18.2736856257113,22
"p19","historic","historic","2000",0.07,0.23,0,75,0,89,108,95.67,0,0,0.1,0.05,19.5810050840922,23
"p19","historic","historic","2000",0.25,0.23,0,82,0.1,100,106,111.55,0,0,0,0,18.6193611737779,24
"p19","historic","historic","2000",0.31,0,0,81,0,76,82,85.72,0,0,0,0.05,18.0536292966796,25
"p19","historic","historic","2000",0.27,0,0,66,0.1,84,90,85.8,0,0,0,0.05,18.0480974285201,26
"p19","historic","historic","2000",0.5,0.27,0,93,0.1,49,55,78.51,0.2,0,0,0,16.7214814884463,27
"p19","historic","historic","2000",0.44,0,0,79,0,114,120,114.56,0,0,0.1,0,19.3325303420201,28
"p19","historic","historic","2000",0.37,0,0,74,0,82,97,99.97,0,0,0.1,0,18.7315466510456,29
"p19","historic","historic","2000",0.12,0.12,0,67,0.1,69,75,66.9,0,0,0,0,18.2845869491122,30
"p19","historic","historic","2000",0.48,0,0,66,0.2,77,83,88.41,0,0,0,0,18.6237082715228,31
"p19","historic","historic","2000",0.42,0.12,0,69,0,93,99,108.71,0,0,0,0.1,19.1958592718181,32
"p19","historic","historic","2000",0.43,0.12,0,71,0,45,51,64.1,0.1,0,0,0,15.3812241945442,33
"p19","historic","historic","2000",0.28,0.1,0,77,0,100,106,111.96,0,0,0,0.05,18.265899505531,34
"p19","historic","historic","2000",0.45,0,0,64,0,86,92,100.44,0,0,0,0,18.577815949925,35
"p19","historic","historic","2000",0.3,0.21,0,78,0,85,91,100.05,0,0,0,0.05,18.3436864192741,36
"p19","historic","historic","2000",0.59,0.45,0,79,0,63,86,89.96,0,0,0,0,16.4724408877497,37
"p19","historic","historic","2000",0.42,0.12,0,84,0,50,79,78.85,0,0,0,0,17.6980180584878,38
"p19","historic","historic","2000",0.55,0.15,0,66,0,63,69,79.37,0,0,0,0,18.1688215649926,39
"p19","historic","historic","2000",0.29,0,0,72,0,92,98,103.25,0,0,0,0.05,17.3094710354016,40
"p19","historic","historic","2000",0.54,0.1,0,62,0,46,52,80.21,0,0,0,0,16.6116478764263,41
"p19","historic","historic","2000",0.33,0,0,80,0,93,99,107.09,0,0,0,0,18.6208379016924,42
"p19","historic","historic","2000",0.74,0.2,0,85,0,60,98,79.98,0,0,0,0,19.4142963647817,43
"p19","historic","historic","2000",0.26,0,0,58,0,88,94,103.93,0,0,0,0.05,18.2199883433407,44
"p19","historic","historic","2000",0.39,0,0,95,0.1,62,68,77.98,0,0,0,0.05,18.2998724135497,45
"p19","historic","historic","2000",0.3,0.1,0,71,0,75,96,99.7,0,0,0,0,18.8696460833431,46
"p19","historic","historic","2000",0.56,0,0,77,0,89,128,107.43,0,0,0,0,19.777921502408,47
"p19","historic","historic","2000",0.47,0.12,0,60,0,94,100,102.43,0,0,0,0,18.3797703055046,48
"p19","historic","historic","2000",0.4,0,0,67,0,74,94,87.55,0,0,0,0,17.364951841086,49
"p19","historic","historic","2000",0.41,0.1,0,74,0.1,62,68,85.74,0,0,0,0,18.8895712351409,50
