"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p28","historic","historic","2000",0.56,0,0,69,0.1,52,58,73.82,0.2,0,0,0,16.2006036806542,1
"p28","historic","historic","2000",0.55,0,0,71,0.2,65,71,78.68,0.1,0,0,0,16.782725115502,2
"p28","historic","historic","2000",0.35,0.11,0,80,0,95,101,111.46,0.1,0,0,0,18.0330603115949,3
"p28","historic","historic","2000",0.38,0,0.2,66,0,90,96,109.07,0,0,0,0,18.651311179373,4
"p28","historic","historic","2000",0.37,0,0,62,0.2,88,94,99.78,0,0,0.1,0,18.1887504244961,5
"p28","historic","historic","2000",0.55,0.33,0,88,0,83,89,99.25,0,0,0,0,18.2737843239013,6
"p28","historic","historic","2000",0.71,0,0,71,0,77,99,84.03,0,0,0,0,19.0337797456208,7
"p28","historic","historic","2000",0.54,0.15,0,66,0,49,82,77.57,0,0,0,0.15,18.4864284456283,8
"p28","historic","historic","2000",0.55,0.32,0,80,0,73,82,97.39,0,0,0,0,18.4333521104506,9
"p28","historic","historic","2000",0.24,0.1,0,77,0,100,106,108.77,0,0,0,0,18.2328490110062,10
"p28","historic","historic","2000",0.39,0,0,62,0,81,87,86.83,0,0,0,0,18.3666760033949,11
"p28","historic","historic","2000",0.76,0.13,0,86,0.1,62,68,84.93,0.1,0,0,0,16.1514079434044,12
"p28","historic","historic","2000",0.52,0.16,0,62,0.1,124,130,115.49,0,0,0,0,19.0834485901347,13
"p28","historic","historic","2000",0.43,0.3,0,72,0,86,96,98.41,0.2,0,0,0.1,17.0943941839582,14
"p28","historic","historic","2000",0.62,0.12,0,81,0,84,92,97.86,0,0,0,0,17.3176955883164,15
"p28","historic","historic","2000",0.35,0.2,0,81,0.1,53,59,73.25,0.2,0,0,0.05,16.5726913429781,16
"p28","historic","historic","2000",0.42,0,0,83,0,87,112,93.81,0,0,0,0,18.9913988204674,17
"p28","historic","historic","2000",0.27,0.28,0,90,0,95,101,106.33,0,0,0.1,0,18.8261749672616,18
"p28","historic","historic","2000",0.68,0.39,0,81,0,93,99,107.61,0,0,0,0,19.278376464054,19
"p28","historic","historic","2000",0.48,0.11,0,55,0,87,93,95.85,0,0,0,0,19.219181242108,20
"p28","historic","historic","2000",0.5,0.27,0,88,0,67,91,76.02,0,0,0.2,0,18.4723681330665,21
"p28","historic","historic","2000",0.65,0.2,0,65,0.2,87,97,102.19,0,0,0,0,18.3107808769482,22
"p28","historic","historic","2000",0.25,0.11,0,78,0,45,83,74.29,0.3,0,0,0,17.4884005777426,23
"p28","historic","historic","2000",0.47,0.11,0,88,0,46,65,70.14,0,0,0,0,17.3570629617527,24
"p28","historic","historic","2000",0.43,0.25,0,76,0.1,81,87,77.37,0,0,0,0.1,18.0502609017309,25
"p28","historic","historic","2000",0.2,0,0,85,0,57,63,83.38,0,0,0.2,0,17.3748197329053,26
"p28","historic","historic","2000",0.19,0.15,0,61,0,74,89,82.62,0,0,0,0,18.4631380080182,27
"p28","historic","historic","2000",0.38,0.33,0,83,0,90,101,102.8,0,0,0,0.05,18.8399616473781,28
"p28","historic","historic","2000",0.44,0.21,0,69,0.1,50,56,71.23,0.3,0,0,0,16.5785439550503,29
"p28","historic","historic","2000",0.63,0,0,68,0,47,53,71.21,0,0,0,0.05,16.555304151702,30
"p28","historic","historic","2000",0.38,0.1,0,78,0,99,105,115.74,0,0,0.1,0,17.3179722945756,31
"p28","historic","historic","2000",0.51,0.27,0,79,0,71,106,79.3,0,0,0,0,19.9287971698383,32
"p28","historic","historic","2000",0.56,0.28,0,80,0,84,90,89.67,0,0,0,0,17.0634455805692,33
"p28","historic","historic","2000",0.7,0.12,0,66,0,54,88,70.22,0,0,0,0.05,18.522633288113,34
"p28","historic","historic","2000",0.42,0.1,0,76,0,58,105,77.31,0,0,0,0,19.2094700977355,35
"p28","historic","historic","2000",0.54,0.22,0,78,0.1,76,108,87.77,0,0,0,0,19.129558796883,36
"p28","historic","historic","2000",0.28,0.11,0,83,0,126,132,128.65,0,0,0,0,19.9092934153107,37
"p28","historic","historic","2000",0.34,0.32,0,84,0,48,54,77.94,0,0,0,0,16.3070293632121,38
"p28","historic","historic","2000",0.49,0.23,0,70,0.2,59,91,84.43,0.1,0,0,0.05,17.0555203533063,39
"p28","historic","historic","2000",0.39,0.2,0,66,0,50,95,77.04,0,0,0,0,18.7470229190486,40
"p28","historic","historic","2000",0.39,0.19,0,100,0,78,102,97.48,0,0,0,0,19.0961970592283,41
"p28","historic","historic","2000",0.54,0.16,0,87,0,59,65,76.74,0,0,0,0,17.52768808994,42
"p28","historic","historic","2000",0.48,0.3,0,86,0.1,98,104,110.64,0,0,0,0,18.3619778991599,43
"p28","historic","historic","2000",0.33,0,0,88,0.1,88,99,92.09,0,0,0,0,18.4488490477589,44
"p28","historic","historic","2000",0.37,0.24,0,97,0,91,97,97.91,0,0,0,0,17.8358801513793,45
"p28","historic","historic","2000",0.46,0.1,0,89,0,68,78,83.72,0,0,0,0,17.8846119695461,46
"p28","historic","historic","2000",0.57,0.33,0,76,0,105,111,112.31,0,0,0,0,20.0655559252194,47
"p28","historic","historic","2000",0.37,0.13,0.3,75,0.2,62,91,77.96,0,0,0,0,18.1480991283592,48
"p28","historic","historic","2000",0.61,0.11,0,62,0,71,79,82.37,0,0,0,0,17.8839062400709,49
"p28","historic","historic","2000",0.38,0,0,53,0.1,119,125,119.57,0,0,0,0,20.0814300816613,50
"p28","historic","historic","2000",0.3,0.25,0,76,0,74,80,93.55,0,0,0.1,0,17.5236032424854,51
"p28","historic","historic","2000",0.36,0.11,0,60,0,52,58,76.62,0,0,0,0,16.1693812516071,52
"p28","historic","historic","2000",0.5,0.1,0,91,0,60,78,84.67,0,0,0,0,16.9816852403915,53
"p28","historic","historic","2000",0.43,0.21,0,69,0,79,89,97.12,0,0,0,0.05,17.696804363851,54
"p28","historic","historic","2000",0.51,0,0,69,0,100,106,104.56,0,0,0,0,19.2119057663106,55
"p28","historic","historic","2000",0.28,0.1,0,79,0,83,98,93.16,0,0,0,0,18.6782539648199,56
"p28","historic","historic","2000",0.5,0.1,0,82,0.1,84,95,101.98,0,0,0,0,18.4565708281722,57
"p28","historic","historic","2000",0.27,0,0,62,0,82,88,88.33,0,0,0,0,18.7300021366869,58
"p28","historic","historic","2000",0.49,0.15,0,81,0.1,69,75,87.29,0,0,0,0,17.4346762602805,59
"p28","historic","historic","2000",0.54,0.14,0,84,0,95,110,106.04,0,0,0,0,19.7059505838626,60
"p28","historic","historic","2000",0.47,0.21,0,65,0,97,103,94.49,0,0,0.1,0,18.2829748024394,61
"p28","historic","historic","2000",0.24,0.11,0,57,0,55,64,73.88,0.2,0,0,0,15.7922732412505,62
"p28","historic","historic","2000",0.68,0,0,61,0,82,88,96.51,0,0,0,0,18.3754771194601,63
"p28","historic","historic","2000",0.31,0.1,0,75,0.1,90,96,104.84,0,0,0,0,19.0074553869962,64
"p28","historic","historic","2000",0.51,0,0,59,0,73,79,98.83,0,0,0.1,0,17.5078603053888,65
"p28","historic","historic","2000",0.34,0,0,85,0,79,85,87.99,0,0,0,0,18.5887624921989,66
"p28","historic","historic","2000",0.37,0.1,0.25,60,0,70,76,95.82,0.1,0,0,0,17.0613504777302,67
"p28","historic","historic","2000",0.13,0,0,79,0.1,80,86,93.78,0.2,0,0,0,17.4115293728009,68
"p28","historic","historic","2000",0.53,0.29,0,83,0,75,92,91.73,0,0,0,0.05,18.1821760928206,69
"p28","historic","historic","2000",0.6,0.23,0,90,0,56,62,71.78,0,0,0.1,0,16.1083493846253,70
"p28","historic","historic","2000",0.56,0,0,82,0.1,52,58,66.3,0,0,0,0,16.3167598887673,71
"p28","historic","historic","2000",0.46,0.1,0,68,0,95,101,114,0,0,0,0,18.9291716706309,72
"p28","historic","historic","2000",0.31,0.24,0,65,0,89,95,86.44,0,0,0.1,0,19.3822301951927,73
"p28","historic","historic","2000",0.44,0,0,69,0.2,52,105,72.31,0,0,0.2,0,17.4601074542205,74
"p28","historic","historic","2000",0.51,0.1,0,56,0,91,97,110.27,0,0,0,0,18.3971042941472,75
"p28","historic","historic","2000",0.71,0,0,69,0,55,105,71.45,0,0,0,0,19.1537697429407,76
"p28","historic","historic","2000",0.33,0.12,0,76,0,69,81,83.6,0,0,0.3,0.05,17.8650891127207,77
"p28","historic","historic","2000",0.45,0.14,0,73,0,75,90,92.6,0,0,0,0,18.3446958865067,78
"p28","historic","historic","2000",0.5,0.12,0,77,0.1,50,57,78.09,0,0,0,0.05,17.260024491047,79
"p28","historic","historic","2000",0.69,0.18,0,73,0,92,103,102.07,0,0,0,0,19.2371359418981,80
"p28","historic","historic","2000",0.44,0,0,75,0,74,80,92.38,0,0,0,0,16.1304873378471,81
"p28","historic","historic","2000",0.26,0.23,0,75,0,82,91,99.35,0,0,0,0,19.1603335032415,82
"p28","historic","historic","2000",0.34,0.11,0,77,0,100,106,106.78,0,0,0,0,17.6339886586228,83
"p28","historic","historic","2000",0.36,0.15,0,76,0,102,108,102.88,0,0,0,0,19.1258099353584,84
"p28","historic","historic","2000",0.43,0.13,0,69,0,104,110,109.71,0,0,0,0.05,19.9337482789874,85
