"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p408","historic","historic","2000",0.29,0,0,42,0,52,58,68.76,0.3,0,0,0,15.8923508834491,1
"p408","historic","historic","2000",0.36,0.15,0,70,0.1,65,71,75.95,0.1,0,0.2,0,16.6752707242758,2
"p408","historic","historic","2000",0.38,0,0,64,0,95,101,110.65,0.1,0,0,0,17.7981564098781,3
"p408","historic","historic","2000",0.35,0,0,51,0.1,90,96,107.48,0,0,0,0,18.0944697855736,4
"p408","historic","historic","2000",0.37,0.1,0,59,0.1,89,95,100.96,0,0,0,0,17.8111987740065,5
"p408","historic","historic","2000",0.22,0.23,0,74,0.1,83,89,97.2,0,0,0,0,17.6313222715597,6
"p408","historic","historic","2000",0.39,0,0,52,0.2,76,99,81.01,0,0,0.2,0,18.6415575574515,7
"p408","historic","historic","2000",0.29,0,0.25,56,0,84,94,100.43,0,0,0,0.1,18.9820073985509,8
"p408","historic","historic","2000",0.43,0.2,0,63,0.1,74,84,97.03,0,0,0,0,17.7665496523986,9
"p408","historic","historic","2000",0.33,0.11,0,54,0,102,108,107.01,0,0,0,0,17.9645411757631,10
"p408","historic","historic","2000",0.23,0,0.2,55,0.2,83,89,87.21,0,0,0.1,0,18.0410717749814,11
"p408","historic","historic","2000",0.15,0,0,74,0.2,116,122,121.88,0,0,0.1,0,19.1688035232728,12
"p408","historic","historic","2000",0.42,0.14,0,49,0,67,88,71.48,0.1,0,0,0,15.7146503363501,13
"p408","historic","historic","2000",0.52,0,0.2,57,0.35,85,95,94.37,0.1,0,0,0.1,16.4372697991243,14
"p408","historic","historic","2000",0.44,0.12,0,67,0.1,103,109,109.45,0,0,0,0,17.744680980003,15
"p408","historic","historic","2000",0.14,0.1,0,72,0,61,95,76.55,0,0,0,0,18.1941368489236,16
"p408","historic","historic","2000",0.44,0.13,0,69,0.1,86,114,90.77,0,0,0,0,19.2713366892452,17
"p408","historic","historic","2000",0.33,0.21,0,80,0.1,95,101,103.78,0,0,0,0,18.527429319681,18
"p408","historic","historic","2000",0.25,0,0.2,72,0.15,93,99,106.83,0,0,0,0,19.1497901453347,19
"p408","historic","historic","2000",0.39,0.11,0,45,0.2,87,93,95.95,0,0,0,0,18.7670591140586,20
"p408","historic","historic","2000",0.41,0.12,0,78,0.15,66,90,77.44,0,0,0,0,18.3316730573112,21
"p408","historic","historic","2000",0.36,0,0,59,0,99,105,109.48,0.1,0,0,0,17.769170326241,22
"p408","historic","historic","2000",0.17,0,0,59,0.1,46,86,75.75,0.3,0,0.1,0,17.213187389738,23
"p408","historic","historic","2000",0.32,0,0.2,69,0.2,63,78,83.47,0,0,0,0,17.72391411401,24
"p408","historic","historic","2000",0.46,0.35,0,70,0,81,87,74.57,0.1,0,0,0.05,17.7041104982561,25
"p408","historic","historic","2000",0.3,0,0.2,54,0.4,58,70,82.68,0,0,0,0,17.4641596417172,26
"p408","historic","historic","2000",0.39,0,0,52,0.1,74,89,78.29,0,0,0,0,18.0409957867848,27
"p408","historic","historic","2000",0.28,0.2,0,68,0.45,80,97,93.7,0,0,0,0,18.5427123633754,28
"p408","historic","historic","2000",0.6,0,0,58,0,50,56,67.68,0.4,0,0,0,16.3002567589331,29
"p408","historic","historic","2000",0.29,0,0,56,0,49,82,73.25,0,0,0,0.1,16.7612377820203,30
"p408","historic","historic","2000",0.35,0,0,65,0.25,94,100,107.66,0,0,0,0,16.8112440043329,31
"p408","historic","historic","2000",0.34,0.1,0,72,0.2,70,105,76.76,0,0,0,0,19.4957266590629,32
"p408","historic","historic","2000",0.27,0.23,0.25,70,0.1,84,90,90.83,0,0,0,0,16.3075833511473,33
"p408","historic","historic","2000",0.3,0,0,53,0,55,89,64.05,0,0,0,0.05,18.3536409245599,34
"p408","historic","historic","2000",0.26,0,0,61,0,104,112,106.85,0,0,0,0,19.018797876946,35
"p408","historic","historic","2000",0.41,0.25,0,72,0,76,110,84.5,0,0,0,0,18.9617314040998,36
"p408","historic","historic","2000",0.39,0.1,0,70,0.1,84,126,96.71,0,0,0,0,19.480919246728,37
"p408","historic","historic","2000",0.26,0.13,0,72,0,62,77,86.41,0,0,0,0,16.1353830359632,38
"p408","historic","historic","2000",0.32,0.14,0,62,0.1,60,94,84.18,0.3,0,0,0,16.8914423542259,39
"p408","historic","historic","2000",0.59,0,0,65,0,97,103,108.66,0,0,0,0,18.4365968321294,40
"p408","historic","historic","2000",0.35,0.11,0,90,0,78,101,98.17,0,0,0,0,18.5912975215572,41
"p408","historic","historic","2000",0.4,0,0,83,0.1,62,68,73.75,0,0,0,0,17.4052203787976,42
"p408","historic","historic","2000",0.13,0.14,0,69,0.1,98,104,108.74,0,0,0,0,17.4960657125745,43
"p408","historic","historic","2000",0.46,0.1,0,74,0,91,114,91.23,0,0,0,0,19.1765351929958,44
"p408","historic","historic","2000",0.3,0,0,86,0.1,90,96,96.15,0,0,0.3,0,17.2056196262603,45
"p408","historic","historic","2000",0.32,0.13,0,82,0.4,68,78,81.61,0,0,0,0,17.5006815629821,46
"p408","historic","historic","2000",0.15,0.24,0,62,0.1,108,114,108.85,0,0,0,0,19.3290693794595,47
"p408","historic","historic","2000",0.25,0.12,0,71,0,90,96,98.45,0,0,0,0,17.9547629505998,48
"p408","historic","historic","2000",0.31,0.14,0,58,0.1,71,80,84.12,0.1,0,0.1,0,17.6912400407827,49
"p408","historic","historic","2000",0.11,0,0,33,0.4,121,127,120.01,0,0,0,0,20.1563564008824,50
"p408","historic","historic","2000",0.2,0.12,0,59,0.2,75,81,90.84,0.1,0,0.2,0,17.3343104779487,51
"p408","historic","historic","2000",0.3,0.12,0,48,0,53,59,77.05,0,0,0.1,0,15.8228365325156,52
"p408","historic","historic","2000",0.43,0,0,77,0,61,81,82.7,0,0,0,0,16.522581749836,53
"p408","historic","historic","2000",0.56,0,0,56,0,88,94,101.62,0,0,0,0,17.3451162017543,54
"p408","historic","historic","2000",0.23,0,0,45,0.2,100,106,105.14,0,0,0,0,18.7321338329556,55
"p408","historic","historic","2000",0.36,0,0,53,0.45,99,105,100.55,0,0,0.1,0,18.5101446089889,56
"p408","historic","historic","2000",0,0,0,65,0,83,92,100.37,0,0,0,0,17.9430631507492,57
"p408","historic","historic","2000",0.17,0,0,51,0,82,88,87.25,0,0,0.1,0,17.5929569440173,58
"p408","historic","historic","2000",0.34,0.13,0,70,0,69,75,89.93,0,0,0.1,0,16.9442514753118,59
"p408","historic","historic","2000",0.51,0.11,0.2,68,0,82,108,98.78,0,0,0,0,19.0540146809691,60
"p408","historic","historic","2000",0.21,0.24,0,53,0,97,103,94.31,0.1,0,0.1,0,17.8729412971374,61
"p408","historic","historic","2000",0.5,0.11,0,50,0.15,66,117,77.96,0,0,0,0,18.7261507133792,62
"p408","historic","historic","2000",0.3,0,0,50,0,84,90,95.82,0,0,0,0,18.2067026491073,63
"p408","historic","historic","2000",0.43,0,0,66,0.3,89,95,101.12,0,0,0.2,0,19.1763647205263,64
"p408","historic","historic","2000",0.37,0,0,42,0,72,78,95.77,0,0,0,0,17.0062684768632,65
"p408","historic","historic","2000",0.12,0,0,74,0.2,79,85,86.9,0,0,0,0,18.6644924245407,66
"p408","historic","historic","2000",0.29,0.2,0,55,0,70,76,93.78,0.1,0,0,0,16.5014867990459,67
"p408","historic","historic","2000",0.43,0,0.2,68,0.2,80,86,90.32,0.2,0,0,0,16.8561801607614,68
"p408","historic","historic","2000",0.21,0,0,79,0,93,113,103.3,0,0,0,0,19.457122586902,69
"p408","historic","historic","2000",0.28,0.1,0,76,0.1,57,63,74.11,0.2,0,0,0,15.6185464733307,70
"p408","historic","historic","2000",0.17,0,0.25,66,0.1,53,59,67.29,0,0,0.1,0,15.9160018629383,71
"p408","historic","historic","2000",0.11,0,0,64,0.2,94,100,111.55,0,0,0.1,0,18.6132628011641,72
"p408","historic","historic","2000",0.18,0.1,0,55,0,89,95,90.2,0,0,0,0,19.3808301804513,73
