"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p513","historic","historic","2000",0.24,0,0,56,0.4,51,57,72.09,0.2,0,0,0.05,16.3810177683121,1
"p513","historic","historic","2000",0.38,0.15,0,79,0,52,64,68,0.2,0,0.1,0,16.7232429743032,2
"p513","historic","historic","2000",0.43,0,0,71,0,96,102,112.54,0.1,0,0,0,18.0013166908282,3
"p513","historic","historic","2000",0.36,0,0,61,0,90,96,108.91,0,0,0,0,18.4783879407949,4
"p513","historic","historic","2000",0.38,0,0,66,0,53,89,75.07,0,0,0,0,17.915422810463,5
"p513","historic","historic","2000",0.28,0.11,0,82,0,83,89,97.95,0,0,0,0,17.8158231745153,6
"p513","historic","historic","2000",0.45,0,0,54,0.1,75,81,84.64,0.2,0,0,0,17.585251156927,7
"p513","historic","historic","2000",0.41,0.22,0,62,0,84,90,102.1,0,0,0,0.15,18.937158690922,8
"p513","historic","historic","2000",0.45,0.2,0,73,0,68,76,94.08,0,0,0,0,17.7620673251722,9
"p513","historic","historic","2000",0.42,0.14,0,65,0.1,102,108,110.79,0,0,0,0,18.1667802409138,10
"p513","historic","historic","2000",0.28,0,0,59,0,81,87,90.09,0,0,0.1,0,18.1684533727026,11
"p513","historic","historic","2000",0.08,0,0,77,0.1,62,68,85.13,0.1,0,0.1,0,15.9676893301145,12
"p513","historic","historic","2000",0.47,0.18,0,56,0,66,72,74.27,0,0,0,0,15.8122905950109,13
"p513","historic","historic","2000",0.53,0,0.2,65,0.1,85,94,98.57,0.1,0,0,0.05,16.9169233456461,14
"p513","historic","historic","2000",0.45,0.12,0.2,78,0.1,84,93,98.35,0,0,0,0,17.4142760488026,15
"p513","historic","historic","2000",0.34,0.1,0,81,0,60,66,78.68,0.3,0,0,0,16.8911262908721,16
"p513","historic","historic","2000",0.45,0.12,0,75,0.1,78,84,86.61,0.2,0,0,0,17.3006956448924,17
"p513","historic","historic","2000",0.38,0,0,89,0.2,82,94,98.38,0,0,0,0,18.6997385186197,18
"p513","historic","historic","2000",0.25,0.23,0,74,0.1,59,94,86.32,0,0,0,0,19.0019996225018,19
"p513","historic","historic","2000",0.38,0.12,0,49,0.1,86,92,98.73,0,0,0,0,19.0217875777865,20
"p513","historic","historic","2000",0.44,0.21,0,84,0.1,64,83,77.03,0,0,0,0,18.1484139984143,21
"p513","historic","historic","2000",0.41,0,0,70,0,72,99,93.63,0.1,0,0,0,18.0636056950166,22
"p513","historic","historic","2000",0.18,0.11,0,72,0.1,45,75,75.89,0.3,0,0.1,0,17.0860474788905,23
"p513","historic","historic","2000",0.37,0,0.2,79,0,46,66,74.67,0,0,0,0,17.4883979690185,24
"p513","historic","historic","2000",0.46,0.45,0,79,0,81,87,79.75,0,0,0,0,17.8071175532886,25
"p513","historic","historic","2000",0.34,0,0,73,0.1,57,63,84.44,0,0,0,0,17.3933344241825,26
"p513","historic","historic","2000",0.39,0.12,0,55,0,69,75,81.49,0,0,0,0,17.5066299466335,27
"p513","historic","historic","2000",0.33,0.1,0,74,0.2,77,83,92.69,0,0,0,0,18.09183660185,28
"p513","historic","historic","2000",0.73,0.21,0,62,0,50,56,71.36,0.3,0,0,0,16.8773223226454,29
"p513","historic","historic","2000",0.3,0,0,64,0.1,47,53,72.88,0,0,0.1,0.05,16.3643451304878,30
"p513","historic","historic","2000",0.39,0,0,71,0.1,93,99,110.06,0,0,0,0,17.1588024740763,31
"p513","historic","historic","2000",0.39,0.25,0,76,0,61,72,72.94,0,0,0,0,17.6641419844226,32
"p513","historic","historic","2000",0.37,0.11,0,79,0.2,80,86,91.91,0.1,0,0,0,16.557469226783,33
"p513","historic","historic","2000",0.32,0.1,0,57,0.1,55,82,68.87,0,0,0,0.05,18.5127483336569,34
"p513","historic","historic","2000",0.3,0,0,72,0,103,109,108.32,0,0,0,0,19.1298847287013,35
"p513","historic","historic","2000",0.47,0.25,0,82,0,75,81,88.03,0,0,0,0,17.1564607618767,36
"p513","historic","historic","2000",0.39,0.1,0,79,0,83,91,99.15,0,0,0,0,16.4853431340839,37
"p513","historic","historic","2000",0.4,0.14,0,77,0,48,59,79.2,0,0,0,0,16.1492496396554,38
"p513","historic","historic","2000",0.42,0.23,0,72,0,59,89,84.05,0.1,0,0,0,17.209974810935,39
"p513","historic","historic","2000",0.7,0,0,72,0,50,95,78.16,0,0,0,0,18.420720193491,40
"p513","historic","historic","2000",0.42,0.12,0,101,0.1,77,83,98.55,0,0,0.1,0,17.5701369104242,41
"p513","historic","historic","2000",0.47,0.11,0,89,0.1,59,65,75.12,0,0,0,0,17.914240911626,42
"p513","historic","historic","2000",0.28,0.27,0,77,0.1,95,101,108.32,0,0,0,0.05,17.6742633549157,43
"p513","historic","historic","2000",0.4,0.1,0,80,0,88,99,90.9,0.1,0,0,0,18.1973232294181,44
"p513","historic","historic","2000",0.3,0,0,93,0,77,91,88.84,0,0,0,0,17.2839404714861,45
"p513","historic","historic","2000",0.39,0,0,87,0.25,68,77,83.09,0,0,0,0,17.9541815422146,46
