"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p439","historic","historic","2000",0.19,0.13,0,55,0.2,58,109,78.5,0,0,0,0.05,18.8578643048414,1
"p439","historic","historic","2000",0.17,0.14,0,66,0.4,65,71,75.7,0.1,0,0,0,16.6823667651968,2
"p439","historic","historic","2000",0.37,0,0,63,0.1,90,98,106.8,0.1,0,0,0,17.4842371347642,3
"p439","historic","historic","2000",0.27,0,0,55,0,90,96,108.2,0,0,0,0,18.2835562670442,4
"p439","historic","historic","2000",0.36,0.11,0,60,0,89,95,103.22,0,0,0,0,17.7980541481956,5
"p439","historic","historic","2000",0.31,0.22,0.2,77,0.2,83,89,97.02,0,0,0.1,0,17.7942357601635,6
"p439","historic","historic","2000",0.41,0,0,56,0,77,100,83.34,0,0,0,0,18.6510450681651,7
"p439","historic","historic","2000",0.41,0.1,0,60,0.1,84,95,101.55,0,0,0,0.05,18.8993944179633,8
"p439","historic","historic","2000",0.42,0.36,0,68,0.1,73,81,96.16,0,0,0.1,0,18.0492331277265,9
"p439","historic","historic","2000",0.14,0,0.2,58,0.1,101,107,109.47,0,0,0,0,18.0815526377787,10
"p439","historic","historic","2000",0.43,0,0.2,54,0,83,89,89.04,0,0,0,0,18.2170455484975,11
"p439","historic","historic","2000",0.37,0.1,0,76,0.1,67,104,85.87,0.1,0,0,0,17.9584125731458,12
"p439","historic","historic","2000",0.36,0.24,0,51,0.1,67,90,73.09,0.1,0,0,0,15.9414558947802,13
"p439","historic","historic","2000",0.16,0.1,0,67,0,87,108,101.29,0.1,0,0,0.05,17.2964138652002,14
"p439","historic","historic","2000",0.28,0,0,72,0.1,90,101,100.21,0,0,0.1,0,17.5701743852187,15
"p439","historic","historic","2000",0.22,0.1,0,70,0.3,53,59,72.2,0.3,0,0.2,0,16.3502316128616,16
"p439","historic","historic","2000",0.34,0.12,0,74,0,87,111,92.96,0,0,0,0,18.7179311540876,17
"p439","historic","historic","2000",0.42,0.35,0,90,0,95,101,103.63,0,0,0,0,18.6194878427226,18
"p439","historic","historic","2000",0.29,0.12,0,67,0.2,59,94,83.6,0,0,0,0,18.9167920209641,19
"p439","historic","historic","2000",0.28,0,0,45,0.1,87,93,91.67,0,0,0,0,19.0459511716565,20
"p439","historic","historic","2000",0.37,0.25,0,74,0.2,88,94,91.66,0,0,0,0,18.2543753269331,21
"p439","historic","historic","2000",0.36,0.1,0,59,0,86,94,101.65,0.1,0,0,0,18.0178536564638,22
"p439","historic","historic","2000",0.63,0.14,0,69,0.1,46,83,74.8,0.3,0,0.2,0,17.168632715388,23
"p439","historic","historic","2000",0.37,0.11,0,74,0.2,64,81,84.84,0,0,0,0,17.6661784033767,24
"p439","historic","historic","2000",0.59,0.35,0,67,0,81,87,81.17,0.1,0,0,0,17.9270686887417,25
"p439","historic","historic","2000",0.32,0.1,0,65,0.2,57,63,82.39,0,0,0,0,17.3909956732203,26
"p439","historic","historic","2000",0.06,0.1,0,51,0.1,69,76,78.69,0,0,0,0,17.3987046307148,27
"p439","historic","historic","2000",0.47,0.16,0,81,0,80,98,94.23,0,0,0,0,18.4426999531654,28
"p439","historic","historic","2000",0.34,0,0,52,0.2,51,57,69.48,0.3,0,0.1,0,16.3719726121295,29
"p439","historic","historic","2000",0.29,0,0,63,0,48,82,72.41,0,0,0,0.1,16.8801295777473,30
"p439","historic","historic","2000",0.6,0.2,0.2,68,0,94,100,108.19,0,0,0,0,16.9856086382085,31
"p439","historic","historic","2000",0.52,0.27,0,76,0,62,68,71.28,0,0,0,0,17.5802973849625,32
"p439","historic","historic","2000",0.27,0.11,0,74,0.3,82,88,88.62,0.1,0,0,0,16.722394656344,33
"p439","historic","historic","2000",0.56,0,0,60,0.2,54,86,69.68,0,0,0.1,0.05,18.1768928106855,34
"p439","historic","historic","2000",0.49,0.1,0,67,0,104,112,108.58,0,0,0,0,19.3767364723229,35
"p439","historic","historic","2000",0.3,0.1,0,72,0,111,117,109.94,0,0,0,0,19.0202805417887,36
"p439","historic","historic","2000",0.4,0.2,0,77,0,126,132,125.95,0,0,0,0,19.4989490210204,37
"p439","historic","historic","2000",0.51,0.2,0,73,0,54,62,83.26,0,0,0,0,15.8285966649162,38
"p439","historic","historic","2000",0.38,0.11,0.25,66,0,61,93,85.14,0.2,0,0,0,16.9207202513651,39
"p439","historic","historic","2000",0.39,0.13,0,63,0.1,50,95,77.26,0,0,0,0,18.4389190143509,40
"p439","historic","historic","2000",0.24,0,0,91,0,77,83,98.75,0,0,0,0,17.46726146645,41
"p439","historic","historic","2000",0.16,0,0,66,0.55,79,85,86.76,0,0,0,0,18.0149648896467,42
"p439","historic","historic","2000",0.42,0.1,0,78,0,98,104,112.15,0,0,0.1,0,18.0335137883011,43
"p439","historic","historic","2000",0.33,0.1,0,75,0.1,100,117,103.08,0,0,0.1,0,19.1287176575719,44
"p439","historic","historic","2000",0.37,0.1,0,93,0,78,92,88.29,0,0,0,0,17.562846946423,45
"p439","historic","historic","2000",0.47,0.35,0,85,0.3,68,74,82.87,0,0,0,0,17.693082927394,46
"p439","historic","historic","2000",0.24,0.2,0,70,0.1,105,111,111.93,0,0,0,0,19.8175183186407,47
"p439","historic","historic","2000",0.29,0.21,0,70,0.1,89,95,98.54,0,0,0,0,17.9729127281108,48
"p439","historic","historic","2000",0.11,0.21,0,54,0.1,71,81,83.81,0,0,0,0,17.7140695830354,49
"p439","historic","historic","2000",0.52,0,0,36,0.2,119,125,119.78,0,0,0,0,19.9249159863027,50
"p439","historic","historic","2000",0.3,0.11,0,62,0,74,80,93.14,0.1,0,0,0,17.7266843502258,51
"p439","historic","historic","2000",0.34,0.12,0,50,0.1,53,59,73.53,0,0,0,0,16.2796506329425,52
"p439","historic","historic","2000",0.36,0.14,0,82,0,61,80,86.04,0,0,0.1,0,16.4470873089933,53
"p439","historic","historic","2000",0.5,0,0.45,59,0.2,79,89,94.61,0,0,0,0.05,17.7258089552493,54
"p439","historic","historic","2000",0.36,0,0,47,0.2,100,106,104.07,0,0,0,0,18.8206961465967,55
"p439","historic","historic","2000",0.18,0,0,70,0.2,84,98,90.83,0,0,0,0,18.3386658891315,56
"p439","historic","historic","2000",0.45,0,0,68,0.1,82,90,100.03,0,0,0,0,18.1215984095813,57
"p439","historic","historic","2000",0.29,0,0.2,40,0.2,82,88,91.27,0,0,0,0,18.0523991794211,58
"p439","historic","historic","2000",0.34,0.13,0,69,0,69,75,89.08,0,0,0.1,0,17.0753584630075,59
"p439","historic","historic","2000",0.31,0.11,0,69,0.2,109,115,117.33,0,0,0,0,19.3335983637738,60
"p439","historic","historic","2000",0.31,0.19,0,56,0,99,105,97.55,0,0,0,0,17.8735566123194,61
"p439","historic","historic","2000",0.36,0.11,0.4,41,0.4,55,114,71.9,0,0,0,0,19.0004286279882,62
"p439","historic","historic","2000",0.48,0,0,47,0.1,81,87,94.1,0,0,0,0,17.9074674845867,63
"p439","historic","historic","2000",0.28,0,0,69,0.1,90,96,104.41,0,0,0,0,18.9856635220712,64
