"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p424","historic","historic","2000",0.53,0.48,0,85,0,70,76,94.57,0.1,0,0,0,17.6532423379922,1
"p424","historic","historic","2000",0.34,0.11,0,71,0.1,89,104,106.36,0,0,0,0,18.4537676181529,2
"p424","historic","historic","2000",0.54,0.1,0,79,0,63,69,81.72,0.1,0,0,0.05,16.7036299234862,3
"p424","historic","historic","2000",0.34,0.29,0,90,0,92,98,104.62,0,0,0,0,18.8149184969345,4
"p424","historic","historic","2000",0.47,0.12,0,72,0,57,63,78.66,0,0,0,0,17.000436867086,5
"p424","historic","historic","2000",0.41,0.24,0,84,0,65,108,75.91,0,0,0,0.05,19.7535721444879,6
"p424","historic","historic","2000",0.56,0.13,0,78,0.2,67,87,94.5,0,0,0,0,18.4318097712091,7
"p424","historic","historic","2000",0.68,0.1,0,95,0,56,62,72.71,0.1,0,0,0,16.7239020364754,8
"p424","historic","historic","2000",0.48,0,0,65,0.1,61,67,90.86,0,0,0,0,17.5208236425444,9
"p424","historic","historic","2000",0.33,0.16,0,65,0,45,51,67.35,0,0,0.1,0,17.5717086302124,10
"p424","historic","historic","2000",0.36,0.25,0,69,0.1,88,106,113.29,0,0,0,0,18.1113794370991,11
"p424","historic","historic","2000",0.56,0.59,0,99,0.1,87,93,96.84,0,0,0,0,18.2734744206153,12
"p424","historic","historic","2000",0.53,0.13,0,67,0,77,95,88.98,0,0,0,0.05,16.9364193256934,13
"p424","historic","historic","2000",0.41,0.15,0,89,0,54,105,85.32,0,0,0,0,18.4595974123883,14
"p424","historic","historic","2000",0.36,0.1,0.2,84,0.1,69,101,89.62,0,0,0,0,18.4062956786714,15
"p424","historic","historic","2000",0.56,0,0,84,0,79,85,94.15,0,0,0,0,17.3275880079623,16
"p424","historic","historic","2000",0.61,0,0,85,0,82,88,100.95,0,0,0,0.05,16.9887537016971,17
"p424","historic","historic","2000",0.65,0,0,90,0,63,72,91.79,0,0,0,0,18.8535366522869,18
"p424","historic","historic","2000",0.39,0.23,0,85,0,51,62,79.63,0,0,0,0,17.8073755736905,19
"p424","historic","historic","2000",0.46,0,0,66,0.1,67,73,83.54,0.1,0,0,0,17.5999448055946,20
"p424","historic","historic","2000",0.62,0.27,0,67,0,91,97,112.58,0,0,0,0,18.8389858972107,21
"p424","historic","historic","2000",0.33,0.1,0,84,0,104,110,118.15,0,0,0.1,0,18.4544969445124,22
"p424","historic","historic","2000",0.41,0.1,0.2,79,0,68,91,86.71,0.1,0,0,0.05,18.2594918580056,23
"p424","historic","historic","2000",0.45,0,0,91,0,52,65,79.56,0.1,0,0,0,17.3401411110797,24
"p424","historic","historic","2000",0.38,0.13,0,79,0,63,77,81.39,0,0,0,0,18.1771466481886,25
"p424","historic","historic","2000",0.62,0.24,0,76,0,77,83,85.71,0,0,0,0.05,17.898688444205,26
"p424","historic","historic","2000",0.37,0.11,0,100,0,48,54,79.52,0.2,0,0,0,17.1605314241939,27
"p424","historic","historic","2000",0.48,0,0,86,0,76,82,95.74,0,0,0,0,17.1493817570788,28
"p424","historic","historic","2000",0.54,0,0,75,0,63,89,88.17,0,0,0,0,18.6630669263056,29
