"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p81","historic","historic","2000",0.38,0.46,0,79,0,72,79,95.27,0,0,0,0,17.635188140039,1
"p81","historic","historic","2000",0.41,0,0,65,0,89,105,100.29,0,0,0,0,18.3368196936093,2
"p81","historic","historic","2000",0.39,0.11,0,80,0,65,77,82.15,0.1,0,0.1,0,16.5737228957541,3
"p81","historic","historic","2000",0.42,0.11,0,82,0,93,99,99.61,0,0,0,0,18.5907190730249,4
"p81","historic","historic","2000",0.51,0.18,0,66,0,57,100,77.02,0,0,0,0,18.5368519646813,5
"p81","historic","historic","2000",0.25,0.11,0,72,0.1,66,111,71.5,0,0,0,0,19.7136678271193,6
"p81","historic","historic","2000",0.47,0,0,76,0,68,94,94.08,0,0,0,0,18.8257017000789,7
"p81","historic","historic","2000",0.37,0.11,0,86,0,61,87,73.29,0,0,0.1,0,17.5702323192795,8
"p81","historic","historic","2000",0.46,0,0,62,0,62,68,88.94,0,0,0,0,17.1993524277833,9
"p81","historic","historic","2000",0.17,0.1,0,56,0,46,52,66.46,0,0,0,0,17.0010715161166,10
"p81","historic","historic","2000",0.37,0,0,66,0,105,113,122.83,0.1,0,0,0,18.3238386624389,11
"p81","historic","historic","2000",0.32,0.45,0,94,0,89,95,95.32,0,0,0,0,18.3420889541632,12
"p81","historic","historic","2000",0.46,0.17,0.25,66,0,77,97,87.78,0,0,0.1,0,16.802112833234,13
"p81","historic","historic","2000",0.34,0.14,0,82,0.1,104,110,115.68,0,0,0,0,18.2614473410635,14
"p81","historic","historic","2000",0.33,0,0,83,0,100,106,110.42,0,0,0,0,17.8497645833306,15
"p81","historic","historic","2000",0.45,0,0,79,0,84,98,93.41,0,0,0,0,17.9424672777872,16
"p81","historic","historic","2000",0.21,0,0,77,0.1,83,89,101.38,0,0,0,0,16.4938365644099,17
"p81","historic","historic","2000",0.4,0.14,0,82,0,74,80,100.12,0,0,0,0,18.3305927453425,18
"p81","historic","historic","2000",0.73,0.12,0,86,0,65,86,85.67,0,0,0,0,18.4503762611852,19
"p81","historic","historic","2000",0.7,0.1,0,63,0,68,74,77.64,0.1,0,0,0,17.4595997423387,20
"p81","historic","historic","2000",0.65,0.15,0,60,0,92,98,111.88,0,0,0,0,18.7417773736935,21
"p81","historic","historic","2000",0.44,0.21,0,83,0.1,110,116,120.48,0,0,0.1,0,18.2245122446463,22
"p81","historic","historic","2000",0.39,0.26,0,77,0,89,113,99.02,0,0,0,0.05,19.883378103517,23
"p81","historic","historic","2000",0.27,0.12,0,83,0,52,102,78.86,0,0,0,0,19.0564744222492,24
"p81","historic","historic","2000",0.47,0.13,0,83,0,76,83,88.67,0,0,0,0,18.1810864047026,25
"p81","historic","historic","2000",0.24,0.1,0,65,0,79,85,81.34,0,0,0,0,17.7787745777958,26
"p81","historic","historic","2000",0.33,0.2,0,92,0,49,55,80.83,0.2,0,0.3,0,16.6801830962152,27
"p81","historic","historic","2000",0.39,0,0,73,0,113,119,116.29,0,0,0,0,19.3146822072548,28
"p81","historic","historic","2000",0.47,0,0,76,0,81,99,99.94,0,0,0,0,18.6814827157738,29
"p81","historic","historic","2000",0.3,0,0,84,0,69,75,67.94,0,0,0,0,18.2162877679393,30
"p81","historic","historic","2000",0.36,0,0,65,0,77,83,85.89,0,0,0,0.05,18.7027300272338,31
"p81","historic","historic","2000",0.35,0,0,69,0,93,99,109.08,0,0,0,0.2,19.1858666752004,32
"p81","historic","historic","2000",0.53,0,0,68,0.1,45,51,64.27,0.1,0,0,0,15.4558304898163,33
"p81","historic","historic","2000",0.49,0,0,81,0,100,106,114.24,0,0,0,0.05,18.2799719901843,34
"p81","historic","historic","2000",0.28,0.1,0,65,0,86,92,103.62,0,0,0,0,18.5302719807801,35
"p81","historic","historic","2000",0.42,0.14,0,81,0,85,91,100.54,0,0,0,0.05,18.1643627827638,36
"p81","historic","historic","2000",0.52,0.42,0,80,0,62,87,90.19,0,0,0,0,16.790944687733,37
"p81","historic","historic","2000",0.18,0,0,83,0,77,83,99.52,0,0,0,0,17.8987115663192,38
"p81","historic","historic","2000",0.31,0,0,65,0.1,63,69,80.74,0,0,0,0,18.1571074743235,39
"p81","historic","historic","2000",0.43,0,0,73,0,92,98,102.19,0,0,0,0.1,17.5164127755374,40
"p81","historic","historic","2000",0.47,0.1,0,66,0,46,52,80.78,0,0,0,0,16.9740078014185,41
"p81","historic","historic","2000",0.44,0,0,81,0,73,96,93.5,0,0,0,0,18.4946017875879,42
"p81","historic","historic","2000",0.35,0.13,0,82,0,60,72,80.42,0,0,0,0,17.6642426777401,43
"p81","historic","historic","2000",0.27,0,0,61,0,59,89,84.98,0,0,0,0,17.9634552967602,44
"p81","historic","historic","2000",0.3,0,0,104,0,62,68,77.82,0,0,0.1,0.05,18.1839396859236,45
"p81","historic","historic","2000",0.4,0.2,0,72,0,75,94,99.39,0,0,0,0,18.7356749394708,46
"p81","historic","historic","2000",0.31,0.21,0,78,0,127,133,136.54,0,0,0,0,19.8734950262824,47
"p81","historic","historic","2000",0.32,0,0,67,0,93,99,101.83,0,0,0.1,0,18.3409927987349,48
"p81","historic","historic","2000",0.67,0.13,0,73,0,99,120,108.55,0,0,0.2,0,19.115537805174,49
"p81","historic","historic","2000",0.34,0,0,71,0,62,68,84.17,0,0,0,0,19.1082216419998,50
"p81","historic","historic","2000",0.22,0.15,0,65,0,51,57,73.27,0,0,0.1,0,17.4246003506764,51
