"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p490","historic","historic","2000",0.43,0.13,0,67,0,47,53,69.72,0,0,0,0.05,16.6941826950286,1
"p490","historic","historic","2000",0.44,0.11,0,77,0.1,63,69,79.36,0.1,0,0,0,16.9986888289077,2
"p490","historic","historic","2000",0.34,0.11,0,76,0,88,96,108.54,0.1,0,0,0,17.9797757031808,3
"p490","historic","historic","2000",0.36,0,0,71,0,90,96,111.54,0,0,0,0,18.7441248442805,4
"p490","historic","historic","2000",0.55,0.27,0,70,0.1,54,91,78.1,0,0,0,0,18.1838364872221,5
"p490","historic","historic","2000",0.34,0.11,0,90,0.1,83,89,98.47,0,0,0,0,18.2357933313501,6
"p490","historic","historic","2000",0.53,0,0,71,0,76,82,87.52,0.1,0,0,0,17.8082540882063,7
"p490","historic","historic","2000",0.32,0.13,0,68,0,49,55,77.67,0.2,0,0,0.1,17.2997621340604,8
"p490","historic","historic","2000",0.43,0.32,0,78,0,66,72,91.99,0,0,0,0,18.3154371395669,9
"p490","historic","historic","2000",0.24,0,0,75,0,100,106,114.3,0,0,0,0,18.208974365877,10
"p490","historic","historic","2000",0.42,0.11,0,64,0,80,86,88.36,0,0,0,0,18.5238459779459,11
"p490","historic","historic","2000",0.28,0.12,0,82,0.1,62,68,86.25,0.1,0,0,0,16.4039060241672,12
"p490","historic","historic","2000",0.52,0.23,0.2,56,0,66,73,73.03,0,0,0,0,15.8304864200698,13
"p490","historic","historic","2000",0.25,0.2,0,66,0.1,87,106,104.39,0.2,0,0,0.1,17.7761283978901,14
"p490","historic","historic","2000",0.24,0,0,81,0,84,103,99.26,0,0,0,0,18.0454239283761,15
"p490","historic","historic","2000",0.39,0.1,0,87,0.1,52,58,76.27,0.1,0,0,0.05,17.0070675791054,16
"p490","historic","historic","2000",0.1,0.13,0,78,0,74,80,90.8,0.1,0,0,0,17.0606242996849,17
"p490","historic","historic","2000",0.25,0.32,0,98,0,82,98,102.48,0,0,0,0,18.7851701371402,18
"p490","historic","historic","2000",0.83,0.44,0,88,0,59,92,86.1,0,0,0,0,19.1453801422044,19
"p490","historic","historic","2000",0.72,0.22,0,60,0,85,91,99.08,0,0,0,0,19.2914273846824,20
"p490","historic","historic","2000",0.75,0.29,0,87,0,65,85,80.11,0,0,0,0,18.2378584553705,21
"p490","historic","historic","2000",0.42,0,0,70,0.3,72,89,93.78,0,0,0.1,0.05,17.7548011590819,22
"p490","historic","historic","2000",0.37,0.12,0,78,0,46,82,76.99,0.2,0,0,0,17.728492335375,23
"p490","historic","historic","2000",0.37,0,0,92,0,63,69,87.73,0,0,0,0,17.9182708320655,24
"p490","historic","historic","2000",0.41,0.2,0,82,0,81,87,80.7,0,0,0,0.05,18.0100346421418,25
"p490","historic","historic","2000",0.28,0.1,0,85,0.1,56,62,83.78,0,0,0,0.05,17.9732637944941,26
"p490","historic","historic","2000",0.25,0.28,0,60,0.1,68,74,82.07,0,0,0.1,0,17.7216218892231,27
"p490","historic","historic","2000",0.39,0.21,0,74,0,70,79,90.21,0,0,0,0.05,17.9760389689326,28
"p490","historic","historic","2000",0.45,0.45,0,66,0,49,55,72.35,0.3,0,0,0,16.8744343806037,29
"p490","historic","historic","2000",0.39,0.1,0,72,0,46,52,73.05,0,0,0,0,16.5024778232061,30
"p490","historic","historic","2000",0.45,0,0,77,0,80,92,99.69,0,0,0,0,17.4191351463187,31
"p490","historic","historic","2000",0.29,0.1,0,78,0,60,66,74.63,0,0,0,0,17.830750329635,32
"p490","historic","historic","2000",0.48,0.24,0,81,0.1,84,90,95.05,0,0,0,0,17.3320526067237,33
"p490","historic","historic","2000",0.3,0.1,0,70,0.1,54,82,74.06,0,0,0,0.1,18.4450000084278,34
"p490","historic","historic","2000",0.27,0,0,78,0,55,61,78.78,0.7,0,0,0,15.7388182471277,35
"p490","historic","historic","2000",0.38,0.37,0,77,0,75,81,90.18,0,0,0,0,17.5798396606564,36
"p490","historic","historic","2000",0.4,0.23,0.2,81,0.1,82,89,98.76,0,0,0,0,17.1213101866041,37
"p490","historic","historic","2000",0.23,0.2,0,82,0,47,53,77.64,0,0,0,0,16.4765195510066,38
"p490","historic","historic","2000",0.22,0.1,0,69,0.1,59,65,86.92,0.2,0,0,0.1,15.9703402522101,39
"p490","historic","historic","2000",0.37,0.12,0,69,0.1,50,94,77.27,0,0,0,0,18.8637163541544,40
"p490","historic","historic","2000",0.43,0.19,0,103,0,77,100,100.33,0,0,0,0,19.2092450225837,41
"p490","historic","historic","2000",0.24,0.13,0,89,0,59,65,80.07,0,0,0,0,17.8870299190124,42
"p490","historic","historic","2000",0.29,0.34,0,80,0,97,103,113.06,0,0,0,0.05,18.4538446226552,43
"p490","historic","historic","2000",0.15,0,0,86,0,88,98,96.65,0.1,0,0,0,18.5126611890253,44
"p490","historic","historic","2000",0.23,0,0,92,0,78,91,89.13,0,0,0.1,0,17.6233408611079,45
"p490","historic","historic","2000",0.4,0.26,0,89,0,67,73,82.77,0,0,0,0,17.7925130904341,46
"p490","historic","historic","2000",0.31,0.38,0,73,0,104,110,110.32,0,0,0,0.05,20.0763987041606,47
"p490","historic","historic","2000",0.4,0.23,0,79,0,61,87,81.32,0,0,0,0,18.0609589132206,48
"p490","historic","historic","2000",0.59,0.14,0,68,0,71,79,88.71,0,0,0,0,18.0325089181341,49
"p490","historic","historic","2000",0.39,0,0,45,0.1,119,125,120.83,0,0,0,0,20.0207977301416,50
"p490","historic","historic","2000",0.22,0.29,0,69,0.1,73,79,89.92,0.1,0,0,0,17.6688160812563,51
"p490","historic","historic","2000",0.43,0.16,0,64,0,52,58,77.52,0,0,0,0,16.6648918164245,52
"p490","historic","historic","2000",0.3,0,0,81,0,58,70,84.41,0,0,0,0,16.8809286558527,53
"p490","historic","historic","2000",0.48,0.21,0,68,0,74,84,92.58,0,0,0,0.1,17.7386745651303,54
"p490","historic","historic","2000",0.5,0,0,59,0,63,101,79.88,0,0,0.2,0,19.0369949790694,55
"p490","historic","historic","2000",0.38,0.1,0,81,0,83,97,93.89,0,0,0,0,18.5334138610447,56
"p490","historic","historic","2000",0.23,0,0,85,0.2,66,85,92.5,0,0,0,0,18.1113502470818,57
"p490","historic","historic","2000",0.35,0,0,62,0.3,81,87,87.82,0,0,0,0,18.87039969841,58
"p490","historic","historic","2000",0.38,0,0,86,0,68,74,91.04,0,0,0,0,17.8692280752445,59
"p490","historic","historic","2000",0.12,0,0.2,80,0,80,98,99.5,0,0,0,0,18.7830750684685,60
"p490","historic","historic","2000",0.27,0.22,0,63,0,97,103,103.76,0,0,0,0,18.189962871184,61
"p490","historic","historic","2000",0.23,0.25,0,59,0,53,59,72.82,0.2,0,0,0,16.1851381249566,62
"p490","historic","historic","2000",0.32,0,0,61,0,61,75,81.86,0,0,0,0,18.3259117394174,63
"p490","historic","historic","2000",0.27,0.11,0,76,0,88,94,106.14,0,0,0,0,19.4237228130998,64
"p490","historic","historic","2000",0.36,0,0,58,0,70,76,96.45,0,0,0,0,17.6581529296635,65
"p490","historic","historic","2000",0.31,0.4,0,83,0,78,84,90.48,0,0,0,0,18.6935957312578,66
"p490","historic","historic","2000",0.26,0.1,0,62,0,69,75,97.08,0.1,0,0,0,17.5854240110028,67
"p490","historic","historic","2000",0.3,0,0,80,0.1,78,84,97.52,0.3,0,0,0,17.6014452972853,68
"p490","historic","historic","2000",0.37,0.22,0,82,0,71,83,91.75,0,0,0,0,17.9265171064955,69
"p490","historic","historic","2000",0.47,0.22,0,94,0,56,62,76.22,0.2,0,0,0,16.2772112371725,70
"p490","historic","historic","2000",0.3,0,0,78,0,52,58,72.69,0,0,0,0,16.4525311000292,71
"p490","historic","historic","2000",0.32,0.1,0,75,0,60,95,89.76,0,0,0,0,19.3789415843346,72
"p490","historic","historic","2000",0.31,0.1,0,67,0,80,88,83.74,0,0,0,0,19.0120481764518,73
"p490","historic","historic","2000",0.4,0,0,74,0.1,51,57,72.76,0.5,0,0,0,15.0704955553358,74
"p490","historic","historic","2000",0.45,0,0,56,0,72,91,99.66,0,0,0,0,18.1805456825895,75
"p490","historic","historic","2000",0.27,0,0,63,0,55,61,76.74,0.2,0,0,0,16.4387349667439,76
"p490","historic","historic","2000",0.37,0,0,74,0.3,70,83,88.65,0,0,0,0.05,17.7150712674335,77
"p490","historic","historic","2000",0.33,0.12,0,71,0,75,90,96.33,0,0,0,0,18.3845292691998,78
"p490","historic","historic","2000",0.22,0.22,0,70,0,50,56,79.38,0,0,0.1,0,17.1339741608317,79
"p490","historic","historic","2000",0.22,0.13,0.25,70,0.1,87,93,101.55,0,0,0,0,18.4056566053442,80
"p490","historic","historic","2000",0.45,0,0,78,0,75,81,93.46,0,0,0,0,16.1233405203234,81
"p490","historic","historic","2000",0.53,0.27,0,78,0,81,87,100.82,0,0,0,0,19.0594083893272,82
"p490","historic","historic","2000",0.33,0.23,0,75,0,99,105,109.67,0,0,0,0,17.5586182177363,83
"p490","historic","historic","2000",0.37,0.11,0,73,0.1,99,105,107.97,0,0,0,0,18.6876322084143,84
"p490","historic","historic","2000",0.49,0.25,0,71,0.1,104,110,113.51,0,0,0,0.1,20.0140295131143,85
"p490","historic","historic","2000",0.35,0,0,67,0.3,83,89,97.52,0,0,0,0,19.3959477207001,86
"p490","historic","historic","2000",0.44,0.12,0,73,0.1,74,86,89.84,0,0,0,0,17.5370134901684,87
"p490","historic","historic","2000",0.41,0.11,0,61,0,85,91,102.63,0,0,0,0,18.9069310821704,88
"p490","historic","historic","2000",0.45,0.12,0,58,0,101,107,111.59,0,0,0,0,17.4267164997054,89
"p490","historic","historic","2000",0.2,0.28,0,86,0.2,84,101,95.96,0,0,0,0,19.3586005509278,90
"p490","historic","historic","2000",0.22,0.11,0,64,0,82,105,98.69,0,0,0,0,18.7741579676987,91
"p490","historic","historic","2000",0.28,0.12,0,84,0,78,84,95.72,0,0,0,0,17.8224594284426,92
"p490","historic","historic","2000",0.24,0.1,0,70,0,108,114,108.33,0,0,0,0.05,19.4454746092797,93
"p490","historic","historic","2000",0.34,0.23,0,81,0.3,76,82,95.42,0,0,0,0,19.0018297292874,94
"p490","historic","historic","2000",0.42,0,0,93,0,83,89,100.22,0.1,0,0,0,16.6050024069968,95
"p490","historic","historic","2000",0.15,0.28,0,68,0,46,102,63.38,0,0,0,0,18.3007289820428,96
"p490","historic","historic","2000",0.36,0.12,0,75,0.1,63,102,81.48,0,0,0,0,18.3760737615882,97
"p490","historic","historic","2000",0.47,0.27,0,80,0,59,73,84.17,0,0,0,0.05,17.2548502526342,98
"p490","historic","historic","2000",0.36,0.25,0,84,0,76,82,98.23,0,0,0,0,17.7429774310277,99
"p490","historic","historic","2000",0.31,0.11,0,72,0,91,97,105.39,0,0,0,0,18.9403541339598,100
"p490","historic","historic","2010",0.43,0.13,0,69,0,51,57,71.71,0.1,0,0,0.05,16.8691262984832,101
"p490","historic","historic","2010",0.45,0.11,0,78,0.1,64,70,79.38,0.1,0,0,0,17.2158895491387,102
"p490","historic","historic","2010",0.4,0.11,0,74,0,88,95,108.31,0.1,0,0,0,18.122852118126,103
"p490","historic","historic","2010",0.31,0,0,72,0.1,90,96,110.46,0,0,0,0,18.908020550417,104
"p490","historic","historic","2010",0.55,0.27,0,75,0.1,88,94,102.51,0,0,0,0,18.5946469657665,105
