"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p534","historic","historic","2000",0.35,0.1,0,47,0.15,51,57,72.36,0.3,0,0,0,15.5961224047132,1
"p534","historic","historic","2000",0.42,0.11,0,73,0,53,65,67.45,0.2,0,0,0,16.4766149626354,2
"p534","historic","historic","2000",0.32,0,0,59,0.3,95,101,110.25,0.1,0,0.2,0,17.1358720824659,3
"p534","historic","historic","2000",0.38,0,0,46,0.1,89,95,108.08,0,0,0,0,17.6943927781078,4
"p534","historic","historic","2000",0.27,0.11,0,58,0,89,95,99.43,0,0,0,0,17.7547000534706,5
"p534","historic","historic","2000",0.39,0.1,0,77,0,83,89,97.33,0,0,0,0,17.4915485001173,6
"p534","historic","historic","2000",0.41,0,0,52,0,77,100,83.33,0,0,0,0,18.5859740721046,7
"p534","historic","historic","2000",0.41,0,0,54,0,54,86,80.99,0,0,0,0.1,18.232831506174,8
"p534","historic","historic","2000",0.41,0.26,0,71,0,73,79,94.15,0,0,0,0,17.6077829221765,9
"p534","historic","historic","2000",0.48,0.1,0,53,0.1,100,106,106.95,0,0,0,0,17.009855551203,10
"p534","historic","historic","2000",0.3,0,0,54,0,83,89,86.69,0,0,0,0,17.9084059771444,11
"p534","historic","historic","2000",0.22,0,0,77,0,65,71,84.86,0.3,0,0,0,15.3824969128479,12
"p534","historic","historic","2000",0.4,0.27,0,51,0.3,74,92,78.07,0.2,0,0,0,15.6236759203499,13
"p534","historic","historic","2000",0.51,0,0,63,0.1,85,95,97.51,0.2,0,0,0,16.40111650746,14
"p534","historic","historic","2000",0.38,0.1,0.2,69,0,103,109,110.14,0,0,0,0,17.8234955487731,15
"p534","historic","historic","2000",0.13,0.1,0,67,0.1,57,63,74.32,0.3,0,0.1,0.05,16.231049301549,16
"p534","historic","historic","2000",0.51,0.11,0,71,0,85,115,91.82,0,0,0,0,19.45994828428,17
"p534","historic","historic","2000",0.49,0.24,0,83,0,95,101,103.86,0,0,0,0,18.3926097520011,18
"p534","historic","historic","2000",0.27,0.38,0,75,0,59,93,83.33,0,0,0,0,18.745866348944,19
"p534","historic","historic","2000",0.39,0,0,45,0,87,94,96.49,0,0,0,0,18.6056261225248,20
"p534","historic","historic","2000",0.32,0.17,0,80,0.2,65,90,79.82,0,0,0,0,18.2200468723084,21
"p534","historic","historic","2000",0.46,0,0,64,0,86,100,101.89,0,0,0,0,17.7935773535001,22
"p534","historic","historic","2000",0.31,0,0,56,0.1,46,81,77,0.3,0,0.1,0,17.3880900815136,23
"p534","historic","historic","2000",0.37,0,0.2,71,0,47,54,70.74,0,0,0,0,16.7149377418855,24
"p534","historic","historic","2000",0.4,0.1,0,67,0,82,88,79.03,0.1,0,0,0,17.6441702068817,25
"p534","historic","historic","2000",0.34,0.1,0,55,0,58,64,82.81,0,0,0.1,0,17.1247865285253,26
"p534","historic","historic","2000",0.46,0.27,0,53,0,69,76,78.41,0,0,0,0.05,16.8543250425164,27
"p534","historic","historic","2000",0.23,0.1,0,75,0,89,101,100.27,0,0,0,0,18.5692791111458,28
"p534","historic","historic","2000",0.43,0,0,55,0,51,57,73.3,0.2,0,0,0,16.2512371993504,29
"p534","historic","historic","2000",0.42,0.1,0,60,0,47,53,71.24,0,0,0,0,15.9189583075724,30
"p534","historic","historic","2000",0.49,0,0.2,65,0.1,94,100,107.97,0,0,0,0,16.6036084986596,31
"p534","historic","historic","2000",0.42,0,0,75,0,70,104,77.28,0,0,0,0,19.1087395235493,32
