"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p494","historic","historic","2000",0.24,0.13,0,59,0.1,52,58,72.33,0.3,0,0,0.05,16.168174430832,1
"p494","historic","historic","2000",0.29,0.11,0,73,0.1,54,67,69.85,0,0,0,0,16.7671607681,2
"p494","historic","historic","2000",0.51,0,0,63,0.1,95,101,111.97,0.1,0,0,0,17.979397548487,3
"p494","historic","historic","2000",0.11,0,0,59,0,89,95,109,0,0,0.1,0,18.4558752074711,4
"p494","historic","historic","2000",0.39,0.11,0,66,0,88,94,102.22,0,0,0,0,17.9417034733418,5
"p494","historic","historic","2000",0.42,0.21,0.2,84,0.1,84,90,98.21,0,0,0,0,17.8400813473428,6
"p494","historic","historic","2000",0.46,0,0,62,0,76,82,85.34,0.1,0,0,0,17.5875300131673,7
"p494","historic","historic","2000",0.27,0,0,64,0.1,84,90,102.95,0,0,0,0.1,18.6550135156893,8
"p494","historic","historic","2000",0.43,0.21,0,73,0.1,73,80,97.63,0,0,0,0,18.3508173264917,9
"p494","historic","historic","2000",0.29,0,0,60,0.1,101,107,112.71,0,0,0,0,18.5072972264353,10
"p494","historic","historic","2000",0.29,0.21,0,60,0,81,87,87.01,0,0,0,0,18.362659117394,11
"p494","historic","historic","2000",0.42,0.1,0,81,0.2,65,105,88.28,0.1,0,0,0,18.1102248642184,12
"p494","historic","historic","2000",0.48,0.27,0,54,0,66,72,74.36,0,0,0,0,15.8726320464071,13
"p494","historic","historic","2000",0.14,0,0.3,63,0.1,85,95,100.49,0,0,0,0,16.8617508680285,14
"p494","historic","historic","2000",0.29,0.22,0,78,0,84,92,97.3,0,0,0,0,17.3859974164013,15
"p494","historic","historic","2000",0.09,0,0,75,0.1,52,62,70.68,0.3,0,0,0,16.7424201914471,16
"p494","historic","historic","2000",0.34,0.12,0,79,0,75,81,86.23,0.1,0,0.1,0,17.0123958972295,17
"p494","historic","historic","2000",0.41,0.13,0,91,0,94,100,104.4,0,0,0.1,0,18.572286756379,18
"p494","historic","historic","2000",0.53,0.37,0,74,0.2,59,94,82.82,0,0,0,0,19.2548733198553,19
"p494","historic","historic","2000",0.3,0,0,49,0.1,86,92,94.55,0,0,0,0,18.9837610893206,20
"p494","historic","historic","2000",0.3,0.12,0.2,83,0,66,92,81.57,0,0,0,0,18.1939700569203,21
"p494","historic","historic","2000",0.39,0.11,0,69,0,86,94,101.78,0.1,0,0,0,18.0864502526503,22
"p494","historic","historic","2000",0.61,0.26,0,75,0,46,81,73.73,0.3,0,0,0,17.4462230792975,23
"p494","historic","historic","2000",0.42,0.11,0,77,0.3,46,65,73.18,0,0,0,0,17.2823915167387,24
"p494","historic","historic","2000",0.54,0.39,0,76,0,81,87,77.82,0.2,0,0,0.15,17.9779422571801,25
"p494","historic","historic","2000",0.46,0,0,69,0.1,57,63,83.97,0,0,0,0,17.6675030941496,26
"p494","historic","historic","2000",0.12,0.17,0,52,0.1,69,75,82.05,0,0,0,0,17.6297873253981,27
"p494","historic","historic","2000",0.43,0.22,0,77,0,78,98,94.69,0,0,0,0,18.9944030739547,28
"p494","historic","historic","2000",0.29,0.23,0.2,60,0.1,50,56,71.46,0.2,0,0.1,0,16.5705609191815,29
"p494","historic","historic","2000",0.47,0.1,0,70,0,47,53,74.21,0,0,0,0.1,16.2300925494441,30
"p494","historic","historic","2000",0.5,0.12,0,69,0.1,90,96,106.43,0,0,0,0,17.0282763761367,31
"p494","historic","historic","2000",0.46,0.22,0,76,0,70,80,78.2,0,0,0,0,18.1891254778466,32
"p494","historic","historic","2000",0.18,0.21,0,74,0.2,84,90,92.76,0,0,0,0,17.0003736943216,33
"p494","historic","historic","2000",0.49,0.1,0,62,0.4,54,85,67.29,0,0,0.1,0.05,18.3009111031789,34
"p494","historic","historic","2000",0.56,0,0,73,0,55,61,77.07,0.9,0,0,0,15.3955400396314,35
"p494","historic","historic","2000",0.23,0.14,0,75,0,76,82,89.34,0,0,0,0,17.0831387774889,36
"p494","historic","historic","2000",0.5,0.12,0,75,0,83,129,97.75,0,0,0,0,19.6681085151785,37
"p494","historic","historic","2000",0.58,0.18,0,79,0,46,52,77.28,0,0,0.1,0,15.838475221775,38
"p494","historic","historic","2000",0.43,0.11,0,66,0,61,92,87.75,0.1,0,0,0,16.8335903611447,39
"p494","historic","historic","2000",0.53,0.13,0,65,0.1,50,95,77.16,0,0,0,0,18.6261705253982,40
"p494","historic","historic","2000",0.22,0.12,0,96,0,78,102,100.29,0,0,0,0,19.1131260104309,41
