"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p126","historic","historic","2000",0.21,0.33,0,77,0,73,79,97.88,0,0,0,0,17.6725734763352,1
"p126","historic","historic","2000",0.29,0,0,64,0,89,103,103.7,0,0,0,0,18.2694417434447,2
"p126","historic","historic","2000",0.64,0,0,84,0,63,69,84.41,0.1,0,0,0,16.6429287793813,3
"p126","historic","historic","2000",0.3,0,0,84,0,93,99,105.33,0,0,0,0,18.6827127663436,4
"p126","historic","historic","2000",0.29,0.1,0,72,0,56,62,77.72,0,0,0,0,16.8189307477701,5
"p126","historic","historic","2000",0.42,0.23,0,81,0,65,95,74.34,0,0,0,0,18.382845373179,6
"p126","historic","historic","2000",0.37,0.15,0,79,0,68,90,95.93,0,0,0,0,18.5420123508747,7
"p126","historic","historic","2000",0.23,0,0,88,0,56,62,74.76,0,0,0,0,16.4728227553086,8
"p126","historic","historic","2000",0.42,0,0,62,0,61,67,90.75,0,0,0,0,17.2807223662564,9
"p126","historic","historic","2000",0.48,0.14,0,63,0,46,52,71.45,0,0,0,0,17.1320214314344,10
"p126","historic","historic","2000",0.45,0.13,0,72,0,98,108,120.74,0.1,0,0,0,18.1553211433044,11
"p126","historic","historic","2000",0.27,0.52,0,99,0,88,94,97.22,0,0,0,0,18.1365466310043,12
"p126","historic","historic","2000",0.49,0.1,0,62,0,77,95,89.05,0,0,0,0.05,17.0977322497719,13
"p126","historic","historic","2000",0.41,0,0,83,0,103,109,119.59,0,0,0,0,18.3263105654723,14
"p126","historic","historic","2000",0.28,0,0.2,85,0,99,105,112.25,0,0,0,0,18.2643732378667,15
"p126","historic","historic","2000",0.32,0,0,80,0,80,86,94.09,0,0,0,0,17.4188939266539,16
"p126","historic","historic","2000",0.33,0.1,0,81,0,83,89,101.81,0,0,0,0,16.8562614094426,17
"p126","historic","historic","2000",0.39,0,0.2,83,0,74,80,101.63,0,0,0,0,18.4970896101488,18
"p126","historic","historic","2000",0.49,0,0,86,0,51,66,78.5,0,0,0,0,17.5921389272312,19
"p126","historic","historic","2000",0.44,0,0,63,0,68,74,82.19,0,0,0,0,17.5088906669694,20
"p126","historic","historic","2000",0.48,0.27,0,59,0,91,97,111.39,0,0,0,0,18.6560969117667,21
"p126","historic","historic","2000",0.34,0,0,92,0,105,111,118.11,0,0,0,0,18.4140792512924,22
"p126","historic","historic","2000",0.51,0.44,0,81,0,89,95,102.98,0,0,0,0.05,18.1283323569575,23
"p126","historic","historic","2000",0.34,0,0,83,0,52,96,77.63,0,0,0,0,18.6451427571738,24
"p126","historic","historic","2000",0.42,0.12,0,88,0,62,75,80.86,0,0,0,0.05,18.0399837652779,25
"p126","historic","historic","2000",0.49,0,0,66,0,79,85,88.93,0,0,0,0,18.0078495970064,26
"p126","historic","historic","2000",0.46,0.11,0,92,0,48,54,79.92,0.1,0,0,0,17.2039520076013,27
"p126","historic","historic","2000",0.59,0,0,85,0,78,84,93.84,0,0,0,0,17.0222562298085,28
"p126","historic","historic","2000",0.22,0,0,74,0,81,94,102.12,0,0,0.1,0,18.7514618345418,29
"p126","historic","historic","2000",0.52,0.1,0,87,0,58,71,68.29,0,0,0.1,0,18.3281402695918,30
"p126","historic","historic","2000",0.41,0,0,64,0,77,83,93.03,0,0,0,0,18.5785811052957,31
"p126","historic","historic","2000",0.57,0.12,0,74,0,93,99,111.52,0,0,0,0.05,19.2395638060632,32
"p126","historic","historic","2000",0.28,0.13,0,72,0,45,51,69.08,0.1,0,0,0,15.7733552904504,33
"p126","historic","historic","2000",0.19,0,0,77,0,99,105,115.1,0,0,0,0,18.4818366755339,34
"p126","historic","historic","2000",0.42,0.11,0,69,0,86,92,104.53,0,0,0,0,18.8221677609343,35
"p126","historic","historic","2000",0.35,0,0,85,0,85,91,102.83,0,0,0,0.05,18.3411915807004,36
"p126","historic","historic","2000",0.56,0.17,0,79,0,62,84,90.36,0,0,0.1,0,16.8106845499554,37
"p126","historic","historic","2000",0.39,0,0,85,0,50,70,80.77,0,0,0,0,17.9199756044979,38
"p126","historic","historic","2000",0.22,0,0,71,0,62,68,81.71,0,0,0,0,18.3618838800541,39
"p126","historic","historic","2000",0.59,0,0,84,0,91,97,108.27,0,0,0,0,17.7709881202754,40
"p126","historic","historic","2000",0.35,0,0,62,0,45,51,80.14,0,0,0,0,17.015793421627,41
"p126","historic","historic","2000",0.21,0,0,83,0,67,73,91.13,0,0,0,0,17.5720062723888,42
"p126","historic","historic","2000",0.31,0,0,89,0,60,71,83.93,0,0,0,0,17.8432079633833,43
"p126","historic","historic","2000",0.24,0,0.2,58,0,88,94,108.11,0,0,0,0,18.4892670629033,44
"p126","historic","historic","2000",0.34,0,0,107,0,61,67,83.57,0,0,0,0.05,18.3275820815199,45
"p126","historic","historic","2000",0.36,0.1,0,70,0,55,89,86.34,0,0,0,0,18.4485776657529,46
"p126","historic","historic","2000",0.37,0.34,0,81,0,62,88,89.03,0,0,0,0,17.2318658007819,47
"p126","historic","historic","2000",0.31,0,0,70,0,87,93,101.99,0,0,0,0,18.4026530949145,48
"p126","historic","historic","2000",0.36,0.11,0,75,0,74,93,90.89,0,0,0.1,0,17.8067490332776,49
"p126","historic","historic","2000",0.55,0,0,78,0,62,68,87.53,0,0,0,0,19.3656850986753,50
"p126","historic","historic","2000",0.57,0.35,0,73,0,51,57,74.69,0,0,0,0,17.7308376414171,51
"p126","historic","historic","2000",0.6,0.11,0,91,0,66,81,91.17,0,0,0,0,18.9785121771171,52
"p126","historic","historic","2000",0.66,0,0,85,0,72,78,94.23,0,0,0,0,18.4956297679756,53
"p126","historic","historic","2000",0.58,0.21,0,70,0,69,75,95.14,0,0,0,0,18.9359280350337,54
"p126","historic","historic","2000",0.38,0.1,0,70,0,75,81,99.84,0,0,0,0,17.0599566535835,55
"p126","historic","historic","2000",0.42,0,0,57,0,59,80,85.82,0,0,0,0.1,17.555294835172,56
"p126","historic","historic","2000",0.43,0,0,80,0,55,92,79.11,0,0,0,0,17.4140774959318,57
"p126","historic","historic","2000",0.34,0.16,0,94,0,64,70,80.52,0,0,0,0,16.4582246529957,58
"p126","historic","historic","2000",0.25,0.1,0,75,0,62,68,86.86,0,0,0,0,17.6519531016834,59
"p126","historic","historic","2000",0.11,0,0,68,0,73,79,89.88,0,0,0,0,18.5034096051208,60
"p126","historic","historic","2000",0.47,0,0,67,0,53,59,81.75,0,0,0,0.05,17.2328071490001,61
"p126","historic","historic","2000",0.43,0.11,0,83,0,102,113,114.29,0,0,0,0.1,19.3021692509141,62
"p126","historic","historic","2000",0.35,0.25,0,105,0,69,75,92.31,0,0,0,0,17.8283866236824,63
"p126","historic","historic","2000",0.47,0.11,0.2,86,0,106,112,115.73,0,0,0,0,19.5539912093798,64
"p126","historic","historic","2000",0.21,0.24,0,82,0,95,101,102.99,0,0,0,0,18.9363105979015,65
"p126","historic","historic","2000",0.46,0,0,78,0,83,89,100.39,0,0,0,0,17.9095579038644,66
"p126","historic","historic","2000",0.45,0.11,0,74,0,81,87,91.71,0,0,0,0,17.9340371248446,67
"p126","historic","historic","2000",0.4,0.13,0,73,0,65,71,82.27,0.2,0,0,0,17.5023519812277,68
"p126","historic","historic","2000",0.45,0.2,0,79,0,45,89,73.48,0,0,0,0,18.0407094002898,69
"p126","historic","historic","2000",0.42,0,0,67,0,46,76,75.47,0,0,0,0,17.0211206432297,70
"p126","historic","historic","2000",0.49,0,0,79,0,55,68,87.26,0,0,0,0,17.8665755143972,71
"p126","historic","historic","2000",0.38,0,0,73,0,85,91,100.23,0,0,0,0,18.0047728080727,72
"p126","historic","historic","2000",0.4,0.1,0.2,58,0,53,66,77.48,0,0,0,0,17.3444828878681,73
"p126","historic","historic","2000",0.36,0,0,66,0,91,97,106.73,0,0,0,0,18.245901274248,74
"p126","historic","historic","2000",0.6,0.26,0,80,0,85,97,102.79,0,0,0,0,18.7485096344214,75
"p126","historic","historic","2000",0.25,0.13,0,76,0,104,110,114.87,0,0,0,0,18.4795694099401,76
"p126","historic","historic","2000",0.49,0.1,0,68,0,61,78,86.44,0,0,0,0.1,17.5118343442964,77
"p126","historic","historic","2000",0.44,0.1,0,81,0,61,77,91.49,0,0,0.1,0,17.9056573722568,78
"p126","historic","historic","2000",0.2,0.11,0.2,89,0,72,78,99.58,0.1,0,0,0,17.049496860575,79
"p126","historic","historic","2000",0.6,0.1,0,68,0,46,52,79.26,0.9,0,0,0,15.0229321739809,80
"p126","historic","historic","2000",0.35,0,0,66,0,108,114,119.55,0,0,0,0,18.1704906787662,81
"p126","historic","historic","2000",0.37,0,0,74,0,66,72,89.03,0,0,0,0,18.25461841345,82
"p126","historic","historic","2000",0.5,0,0,83,0,67,73,81.01,0,0,0,0,17.6401127736895,83
"p126","historic","historic","2000",0.44,0.29,0,91,0,55,61,82.41,0.1,0,0.1,0,16.9947724849906,84
"p126","historic","historic","2000",0.44,0,0,79,0,58,64,79.63,0,0,0,0,17.3095044178363,85
"p126","historic","historic","2000",0.63,0.1,0,76,0,70,76,91.83,0,0,0,0,17.7100120716962,86
"p126","historic","historic","2000",0.43,0.11,0,88,0,69,75,93.47,0,0,0,0,17.6509080915397,87
"p126","historic","historic","2000",0.5,0,0,56,0,79,85,95.84,0,0,0,0,17.4797966727553,88
"p126","historic","historic","2000",0.46,0.38,0,84,0,62,78,78.71,0,0,0,0,17.4099652313828,89
"p126","historic","historic","2000",0.27,0,0,93,0,68,74,93.75,0,0,0,0,19.0473602444869,90
"p126","historic","historic","2000",0.23,0,0,70,0,65,71,92.75,0,0,0,0,17.449287715298,91
"p126","historic","historic","2000",0.39,0.41,0,87,0,67,73,94.37,0,0,0,0,17.5404395129667,92
"p126","historic","historic","2000",0.45,0.27,0.2,83,0,75,102,100.36,0,0,0,0,18.0629649999913,93
"p126","historic","historic","2000",0.4,0.13,0,78,0,82,88,98.87,0,0,0,0,18.8185029798107,94
"p126","historic","historic","2000",0.46,0.36,0,84,0,63,88,88.51,0,0,0,0,17.7058055700575,95
"p126","historic","historic","2000",0.42,0.1,0,84,0,71,77,88.31,0,0,0,0,18.0595919891022,96
"p126","historic","historic","2000",0.41,0.17,0,77,0,72,78,92.67,0,0,0,0.05,17.9302387167854,97
"p126","historic","historic","2000",0.53,0,0,84,0,78,84,91.49,0,0,0,0,17.0227792834876,98
"p126","historic","historic","2000",0.34,0.1,0.4,76,0,45,51,76.25,0,0,0,0,16.8534396944895,99
"p126","historic","historic","2000",0.23,0,0,66,0,91,97,112.52,0,0,0,0.05,18.4140643901147,100
"p126","historic","historic","2010",0.22,0.33,0,82,0,77,87,101.53,0,0,0,0,18.2104634170143,101
"p126","historic","historic","2010",0.29,0.1,0,65,0,89,95,101.45,0,0,0,0,18.118399005564,102
"p126","historic","historic","2010",0.59,0,0,85,0,64,75,84.77,0.1,0,0,0,17.0923977197963,103
"p126","historic","historic","2010",0.3,0,0.3,83,0,93,99,105.6,0,0,0,0,18.6970340270257,104
"p126","historic","historic","2010",0.29,0,0,72,0,57,72,79.03,0,0,0,0,17.3225495443494,105
"p126","historic","historic","2010",0.42,0.13,0,86,0,66,108,74.69,0,0,0,0,19.7383515783688,106
"p126","historic","historic","2010",0.37,0.15,0,77,0,68,90,96.04,0,0,0,0,18.6175944184411,107
"p126","historic","historic","2010",0.23,0,0,84,0,61,88,80.7,0,0,0,0,17.8068873251984,108
"p126","historic","historic","2010",0.46,0,0,62,0,61,67,91.16,0,0,0,0,17.4371229206724,109
"p126","historic","historic","2010",0.5,0.24,0,65,0,46,52,72.4,0,0,0,0,17.2134893833133,110
"p126","historic","historic","2010",0.45,0,0,70,0,89,103,112.51,0.1,0,0,0,18.2902304011572,111
"p126","historic","historic","2010",0.33,0.42,0,100,0,88,94,97.49,0,0,0,0,18.4010026231978,112
"p126","historic","historic","2010",0.47,0.1,0,60,0,77,93,87.63,0,0,0,0.05,17.2261436986011,113
"p126","historic","historic","2010",0.42,0,0,86,0,103,109,120.31,0,0,0,0,18.5235914727445,114
"p126","historic","historic","2010",0.28,0,0.2,83,0,99,105,111.4,0,0,0,0,18.5734893885294,115
"p126","historic","historic","2010",0.32,0,0,84,0,80,86,93.55,0,0,0,0,17.7292880800763,116
"p126","historic","historic","2010",0.38,0.1,0,81,0,83,89,100.62,0,0,0,0,16.9822830273915,117
"p126","historic","historic","2010",0.39,0,0,86,0,74,80,101.46,0,0,0,0,18.6048217549141,118
"p126","historic","historic","2010",0.49,0.1,0,88,0,66,87,91.21,0,0,0,0,18.8824444518431,119
"p126","historic","historic","2010",0.44,0,0,63,0,69,75,81.49,0,0,0,0,17.7819215521746,120
"p126","historic","historic","2010",0.41,0.25,0,66,0,91,97,111.36,0,0,0,0,18.8315115631661,121
"p126","historic","historic","2010",0.34,0,0,90,0,104,110,118.47,0,0,0,0,18.5303267695626,122
