"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p327","historic","historic","2000",0.11,0,0,28,93.37,4.8755,0.0833,0,1,0,0.07,0,0,0,0,0.1,0,0.05,0,0,0.1,12.3924,5.1213,12.467,15.2765,1
"p327","historic","historic","2000",0.18,0,0,31,91.8,5.3489,0.1167,0,0.75,0,0.06,0,0,0,0,0,0,0,0,0,0.15,12.938,5.5878,12.8912,15.3459,2
"p327","historic","historic","2000",0.2,0,0,22,101.48,5.1088,0.1,0,0.9,0.05,0.18,0,0,0,0,0,0,0,0,0,0.35,12.2747,5.1855,13.2645,14.4238,3
"p327","historic","historic","2000",0.22,0,0,20,101.95,5.2042,0.15,0,1,0,0.06,0,0,0,0,0,0,0,0,0.15,0,12.4492,5.8008,11.1837,13.258,4
"p327","historic","historic","2000",0.25,0,0,17,94.72,5.0359,0.0667,0,0.85,0.05,0.07,0,0,0,0,0,0,0,0.05,0,0.25,12.308,5.3701,10.3993,15.7269,5
"p327","historic","historic","2000",0.29,0.1,0,40,93.47,5.2924,0.1,0,0.7,0.15,0,0,0,0,0,0.1,0,0,0,0.15,0.5,14.4785,6.1374,11.4513,17.7168,6
"p327","historic","historic","2000",0.1,0,0,17,85.33,4.4495,0.1333,0,0.95,0,0.13,0,0,0,0,0,0,0,0,0,0,11.4061,5.1688,14.258,12.9185,7
"p327","historic","historic","2000",0.25,0.25,0,39,100.39,5.5572,0.1,0,0.65,0,0.17,0,0,0,0,0.1,0,0,0,0,0.35,13.1577,6.2078,14.8838,17.8991,8
"p327","historic","historic","2000",0.29,0,0,33,105.17,4.874,0.05,0,0.1,0.05,0.07,0,0,0,0,0,0,0,0,0.15,0.25,13.475,7.3254,12.811,15.0713,9
"p327","historic","historic","2000",0.11,0.1,0,28,93.43,4.7189,0.0833,0,1,0.05,0,0,0,0,0,0.1,0,0,0,0,0,13.299,3.3633,10.1962,10.8917,10
"p327","historic","historic","2000",0.12,0,0,16,88.24,4.8304,0.1667,0,0.65,0,0.05,0,0,0,0,0,0,0,0,0,0.35,11.4479,6.7309,9.6173,18.5533,11
"p327","historic","historic","2000",0.07,0,0,30,95.84,5.1898,0.1,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.2,13.2268,4.1835,11.2802,15.3585,12
"p327","historic","historic","2000",0.2,0,0,13,85.27,5.0493,0.05,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.1,11.1587,3.8958,9.933,11.5959,13
"p327","historic","historic","2000",0.23,0,0,27,92.01,5.0929,0.1,0,1,0.05,0.08,0,0,0,0,0,0,0,0,0.15,0.25,12.1406,4.0939,9.4088,14.4876,14
"p327","historic","historic","2000",0.16,0,0,31,94.18,5.1585,0.0833,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.15,12.4235,5.0629,11.4627,13.7886,15
"p327","historic","historic","2000",0.25,0.1,0,42,92.72,5.1879,0.0667,0,0.8,0,0.11,0,0,0,0,0,0,0,0,0,0.3,14.7627,5.4364,12.0597,16.3012,16
"p327","historic","historic","2000",0.11,0,0,26,90.06,5.0236,0.1333,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,12.0391,4.7449,12.3205,16.7051,17
"p327","historic","historic","2000",0.43,0,0.1,43,96.34,4.4822,0.0667,0,0.35,0.05,0,0,0,0,0,0,0,0,0,0,0.05,15.5873,7.7283,10.2957,13.315,18
"p327","historic","historic","2000",0.17,0,0,34,101.05,4.8911,0.2,0,1,0,0.17,0,0,0,0,0,0,0.05,0,0,0.1,14.4316,6.185,11.9047,17.0953,19
