"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p294","historic","historic","2000",0.18,0,0,28,100.35,5.2257,0.1167,0,0.7,0,0.1,0,0,0,0,0,0,0,0,0.15,0.3,12.7969,6.194,13.8142,15.0604,1
"p294","historic","historic","2000",0.4,0.2,0,23,93.6,4.8575,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.15,0.15,13.0043,4.5823,11.507,13.9542,2
"p294","historic","historic","2000",0.13,0,0,36,97.58,5.406,0.05,0,0.85,0.1,0.18,0,0,0,0,0,0,0,0,0,0.35,13.1663,5.9446,10.032,15.8832,3
"p294","historic","historic","2000",0.24,0,0,30,88.86,5.1458,0.0833,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,14.5827,4.0678,12.8255,15.7098,4
"p294","historic","historic","2000",0.05,0,0,25,95.44,5.0168,0.0667,0,0.75,0,0.18,0,0,0,0,0,0,0,0,0,0.25,12.4175,5.336,10.8285,15.9081,5
"p294","historic","historic","2000",0.42,0,0,41,83.35,5.0553,0.05,0,1,0,0.1,0,0,0,0,0,0,0.05,0,0.15,0.2,13.9898,5.2648,16.2585,15.85,6
"p294","historic","historic","2000",0.17,0,0,27,105.16,5.0213,0.2,0,0.5,0,0.15,0,0,0,0,0.2,0,0,0,0,0.4,12.5365,6.6483,14.5585,17.9035,7
"p294","historic","historic","2000",0.17,0,0,40,86.72,5.2308,0.0667,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.05,14.5693,5.1409,12.2435,13.0062,8
"p294","historic","historic","2000",0.19,0,0,24,101.75,5.4462,0.1333,0,0.6,0.1,0.06,0,0,0,0,0,0,0,0,0,0.1,11.8287,7.29,10.7593,15.5571,9
"p294","historic","historic","2000",0.22,0.1,0,18,99.05,5.1853,0.1,0,0.5,0,0.07,0,0,0,0,0,0,0,0,0,0.25,12.5523,6.5232,10.9245,16.365,10
"p294","historic","historic","2000",0.21,0,0,18,107.64,5.4323,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0.45,11.6582,4.5552,10.043,15.3785,11
"p294","historic","historic","2000",0.23,0.4,0,56,85.93,4.9691,0.0833,0,1,0,0.07,0,0,0,0,0,0,0,0,0,0.15,15.6383,5.4134,11.6018,14.0186,12
"p294","historic","historic","2000",0.18,0,0,18,94.63,4.9301,0,0,1,0,0,0,0,0,0,0,0,0,0,0.15,0.25,12.0374,3.8415,10.0215,16.6829,13
"p294","historic","historic","2000",0.34,0,0,38,100.06,5.0674,0.05,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.15,14.3202,4.1859,10.5318,14.9436,14
"p294","historic","historic","2000",0.32,0,0,39,96.04,5.1553,0.1167,0,0.8,0,0,0,0,0,0,0,0,0,0,0.15,0.25,13.8023,5.4348,9.5733,13.2689,15
"p294","historic","historic","2000",0.22,0,0,39,86.57,5.1137,0.0333,0,0.85,0,0,0,0,0,0,0,0,0.1,0.05,0.15,0.15,13.8348,5.7998,9.2547,14.5133,16
"p294","historic","historic","2000",0.18,0,0,25,100.24,5.0885,0.1,0,1,0,0.06,0,0,0,0,0,0,0,0.05,0,0.3,13.4716,4.3286,9.2277,15.2843,17
"p294","historic","historic","2000",0.2,0,0,48,108.58,5.2352,0.15,0,0.55,0,0.1,0,0,0,0,0,0,0,0,0,0.2,14.6028,7.8874,14.7748,17.5585,18
"p294","historic","historic","2000",0.14,0,0,27,97.69,5.3609,0.1333,0,0.55,0,0.16,0,0,0,0,0,0,0,0,0.15,0.4,13.5398,6.8883,13.9425,15.0885,19
"p294","historic","historic","2000",0.34,0,0,19,84.17,4.7796,0.2,0,0.8,0,0.07,0,0,0,0,0,0,0,0,0,0,12.022,7.6031,11.3458,12.5592,20
"p294","historic","historic","2000",0,0,0,25,100.71,5.2817,0.0167,0,0.7,0.05,0.07,0,0,0,0,0.1,0.05,0,0,0.15,0.1,12.4212,5.8731,11.1812,12.9013,21
"p294","historic","historic","2000",0.11,0,0,38,101.98,5.2852,0.05,0,1,0.05,0,0,0,0,0,0,0,0,0,0.15,0.05,14.3847,4.7084,8.3187,12.7079,22
"p294","historic","historic","2000",0.33,0.25,0,30,93.29,5.7963,0.1833,0,1,0,0.08,0,0,0,0,0,0,0.05,0,0,0.45,14.1265,5.1941,14.7083,17.4205,23
"p294","historic","historic","2000",0.12,0,0.1,33,97.66,5.3974,0.1167,0,0.8,0,0.08,0,0,0,0,0,0,0,0,0.3,0.15,13.9191,6.6069,11.0348,13.2833,24
