"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p48","historic","historic","2000",0.32,0.1,0,35,101.77,5.3479,0.1333,0,0.95,0,0.07,0,0,0,0,0,0,0,0,0,0.5,13.8968,6.3573,13.3855,16.1974,1
"p48","historic","historic","2000",0.24,0,0,41,94.93,5.1287,0.15,0,0.35,0,0.19,0,0,0,0,0.15,0,0,0.05,0,0.15,14.1437,6.9887,14.5398,16.1882,2
"p48","historic","historic","2000",0.28,0,0,36,107.8,5.126,0.1167,0,0.7,0,0,0,0,0,0,0,0,0,0.05,0,0.2,13.583,6.2496,13.6498,15.6989,3
"p48","historic","historic","2000",0.1,0,0,38,108.44,5.4085,0.1167,0,0.85,0,0.12,0,0,0,0,0,0,0,0,0,0,13.9432,6.8599,12.7137,14.8774,4
"p48","historic","historic","2000",0.3,0,0,33,101.02,5.1993,0.1167,0,0.65,0,0.11,0,0,0,0,0,0,0,0,0,0.3,14.0503,6.7221,12.734,16.4335,5
"p48","historic","historic","2000",0.28,0,0,51,100.44,5.316,0.2167,0,0.5,0.05,0.08,0,0,0,0,0,0,0,0,0,0.2,15.5416,7.5554,12.557,19.3441,6
"p48","historic","historic","2000",0.13,0,0.1,31,89.57,4.7741,0.15,0,0.6,0,0.12,0,0,0,0,0.1,0,0,0,0,0.05,12.683,6.9523,15.0627,13.7671,7
"p48","historic","historic","2000",0.34,0,0,41,106.13,5.5495,0.1167,0,0.6,0,0.06,0,0,0,0,0.15,0,0.2,0.05,0,0.35,14.2352,7.4078,15.5182,19.3203,8
"p48","historic","historic","2000",0.24,0,0,44,106.46,4.6205,0.0833,0,0.1,0,0,0,0,0,0,0,0,0,0,0.15,0.2,14.9229,8.552,14.012,16.3668,9
"p48","historic","historic","2000",0.32,0.3,0,42,101.84,4.8623,0.1667,0,1,0,0.11,0,0,0,0,0.1,0,0,0,0,0,14.9179,5.2547,11.9717,12.7411,10
"p48","historic","historic","2000",0.24,0,0,26,93.06,4.9819,0.2167,0,0.65,0,0.15,0,0,0,0,0,0,0,0,0,0.15,13.196,7.9453,11.4378,19.2618,11
