"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p525","historic","historic","2000",0.21,0,0,26,90.81,5.6549,0.05,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0.15,12.0602,4.8785,11.8452,14.7932,1
"p525","historic","historic","2000",0.29,0.2,0,20,83.86,5.3037,0.1,0,0.8,0,0.06,0,0,0,0,0,0,0,0,0,0.1,12.5087,5.3934,12.7823,14.8364,2
"p525","historic","historic","2000",0.35,0,0,23,98.7,5.6326,0.15,0,1,0.05,0.05,0,0,0,0,0,0,0,0,0,0,11.9522,4.6656,12.112,14.625,3
"p525","historic","historic","2000",0.18,0,0,21,102.25,5.7307,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0484,5.0048,11.307,13.4309,4
"p525","historic","historic","2000",0.18,0,0,18,92.54,5.8664,0.1833,0,0.9,0.2,0.16,0,0,0,0,0,0,0,0,0,0.6,12.1119,5.3358,10.5428,14.8884,5
"p525","historic","historic","2000",0.31,0.1,0,38,91.68,5.8481,0.1,0,0.8,0.2,0.05,0,0,0,0,0,0,0,0,0.15,0.5,13.8962,5.7645,10.4383,17.8706,6
"p525","historic","historic","2000",0.36,0,0,16,82.89,5.2231,0.1833,0,1,0,0.05,0,0,0,0,0.1,0,0,0,0,0,11.2193,5.1825,13.359,12.6871,7
"p525","historic","historic","2000",0.15,0,0,36,97.45,6.1244,0.1333,0,0.9,0,0,0,0,0,0,0,0,0.05,0,0,0.45,12.567,5.8819,13.952,16.823,8
"p525","historic","historic","2000",0.35,0,0,32,99.92,5.3544,0.15,0,0.35,0.1,0.1,0,0,0,0,0,0,0,0,0.15,0.05,13.1485,7.0893,12.9142,15.5037,9
"p525","historic","historic","2000",0.27,0.15,0,27,89.87,5.003,0.1667,0,1,0.05,0.16,0,0,0,0,0.15,0,0,0,0,0,13.0205,3.4242,10.1405,11.4564,10
"p525","historic","historic","2000",0.33,0,0,20,83.7,5.1676,0.2667,0,0.8,0.05,0.06,0,0,0,0,0,0,0,0,0,0.5,11.6231,6.7565,9.4595,17.2495,11
"p525","historic","historic","2000",0.34,0,0,28,94.88,5.632,0.1167,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.15,13.0877,4.0735,11.2313,15.3318,12
"p525","historic","historic","2000",0.33,0,0,15,83.45,5.7852,0.1,0,1,0.05,0.11,0,0,0,0,0,0,0,0,0,0,10.906,4.2298,9.735,11.5466,13
"p525","historic","historic","2000",0.21,0,0,22,93,5.6885,0.1333,0,1,0.05,0.21,0,0,0,0,0,0,0,0,0,0.3,11.6546,4.243,9.0342,14.7565,14
"p525","historic","historic","2000",0.3,0.3,0,29,90.38,5.2434,0.0167,0,1,0.05,0.08,0,0,0,0,0,0,0,0,0,0,12.2894,4.8226,11.403,13.7947,15
"p525","historic","historic","2000",0.15,0,0,34,91.03,5.4641,0.0667,0,1,0,0.13,0,0,0,0,0,0,0,0,0.15,0.2,14.0077,5.0861,12.2258,15.9356,16
"p525","historic","historic","2000",0.21,0,0,25,86.14,5.3968,0.1333,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.2,11.8125,4.5665,12.5053,16.6688,17
"p525","historic","historic","2000",0.26,0,0,36,94.29,4.9523,0.0667,0,0.55,0.05,0.13,0,0,0,0,0,0,0,0,0.15,0.1,14.7074,6.4658,10.2885,13.4786,18
"p525","historic","historic","2000",0.41,0.4,0,30,96.8,5.0538,0.1833,0,1,0,0.13,0,0,0,0,0,0,0,0,0,0.6,13.8582,5.7026,11.0933,16.1892,19
"p525","historic","historic","2000",0.28,0,0,25,88.39,5.6297,0.0667,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.3,11.6284,6.194,9.532,14.0836,20
"p525","historic","historic","2000",0.29,0,0,31,85.3,5.3611,0.1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.15,13.0609,6.31,12.2625,15.0856,21
"p525","historic","historic","2000",0.44,0,0,25,87.61,4.938,0.1,0,1,0.05,0.13,0,0,0,0,0.1,0,0.05,0,0,0.45,13.1186,4.8056,11.9568,17.8859,22
"p525","historic","historic","2000",0.4,0,0,21,102.19,5.7265,0.1167,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.45,12.8452,4.9786,11.8078,16.8583,23
"p525","historic","historic","2000",0.34,0,0,28,95.21,5.5249,0.1167,0,0.55,0.1,0,0,0,0,0,0,0,0,0,0,0.1,13.2137,6.992,10.1913,14.0032,24
"p525","historic","historic","2000",0.38,0,0,35,73.01,5.7321,0.1667,0,0.85,0,0.13,0,0,0,0,0.15,0,0.05,0,0,0.1,12.8395,5.6402,14.5148,16.4154,25
"p525","historic","historic","2000",0.19,0,0,33,102.47,5.8611,0.2333,0,0.3,0.05,0,0,0,0,0,0,0,0,0,0,0,14.0044,7.1966,12.6017,14.1938,26
"p525","historic","historic","2000",0.21,0,0,27,80.51,4.9077,0.2167,0,0.6,0,0.05,0,0,0,0,0,0,0,0,0,0.4,11.871,6.9624,10.9918,16.2111,27
"p525","historic","historic","2000",0.37,0,0,30,97.06,5.923,0.1167,0,0.85,0,0.1,0,0,0,0,0.2,0,0,0,0,0.4,12.9101,5.6173,13.2975,15.6576,28
"p525","historic","historic","2000",0.16,0,0,22,90.57,5.4302,0.15,0,0.85,0,0.07,0,0,0,0,0.15,0,0,0,0,0,10.6865,5.6532,11.8435,11.9978,29
"p525","historic","historic","2000",0.34,0,0,28,94.56,5.6387,0.1,0,0.65,0.05,0.06,0,0,0,0,0,0,0.05,0,0.15,0.15,12.573,5.3493,11.513,16.5082,30
"p525","historic","historic","2000",0.2,0,0,24,100,5.9583,0.0167,0,1,0.05,0.13,0,0,0,0,0,0,0,0,0,0.05,12.5177,3.2073,11.8675,10.9241,31
"p525","historic","historic","2000",0.29,0,0,34,86.02,5.3379,0.15,0,0.8,0,0.12,0,0,0,0,0,0,0,0,0,0.1,13.1173,6.5012,11.0725,14.0629,32
"p525","historic","historic","2000",0.17,0.2,0,27,89.64,5.6653,0.05,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.1,13.4631,4.7562,10.5018,11.3168,33
"p525","historic","historic","2000",0.27,0,0,11,82.25,5.2264,0.2667,0,0.65,0.05,0.25,0,0,0,0,0,0,0.05,0,0.15,0.15,10.8388,6.8134,11.3875,16.1702,34
"p525","historic","historic","2000",0.38,0,0,32,88.52,5.354,0.1333,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.1,12.7403,2.9679,11.5303,14.9362,35
"p525","historic","historic","2000",0.24,0,0,31,85.93,5.3105,0.1167,0,1,0,0.07,0,0,0,0,0,0,0,0,0,0.1,13.3333,5.3102,10.215,14.2853,36
"p525","historic","historic","2000",0.46,0.2,0,28,91.88,5.1117,0.0167,0,1,0.1,0,0,0,0,0,0.35,0,0,0,0,0.05,13.2014,2.446,15.2783,11.5331,37
"p525","historic","historic","2000",0.34,0,0,41,103.83,5.3853,0.0167,0,0.45,0.1,0.1,0,0,0,0,0,0,0,0,0,0.15,13.0603,6.0571,7.6992,15.0997,38
