"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p264","historic","historic","2000",0.1,0,0,30,96.15,5.3428,0.05,0,1,0,0.09,0,0,0,0,0,0,0.05,0,0,0.2,12.5101,4.9861,12.1812,15.8293,1
"p264","historic","historic","2000",0.16,0.1,0,23,88.94,5.1545,0.0833,0,0.65,0,0.05,0,0,0,0,0,0,0,0,0,0.2,12.8413,5.6522,12.922,15.0285,2
"p264","historic","historic","2000",0.24,0,0,24,103.66,5.4797,0.15,0,0.85,0.05,0.05,0,0,0,0,0.1,0,0,0,0,0.2,12.6934,5.5736,12.6515,14.1303,3
"p264","historic","historic","2000",0.18,0,0,28,104.58,5.5024,0.0833,0,1,0,0.09,0,0,0,0,0,0,0,0,0,0,12.6562,5.4479,11.7348,13.4692,4
"p264","historic","historic","2000",0.12,0,0,25,96.96,5.2674,0.1833,0,0.8,0.15,0.12,0,0,0,0,0,0,0,0,0,0,12.834,5.5241,11.5672,15.9291,5
"p264","historic","historic","2000",0.19,0,0,39,97.72,5.7096,0.0667,0,0.65,0.15,0.06,0,0,0,0,0,0,0,0,0,0.5,14.3585,6.0643,11.3835,18.0195,6
"p264","historic","historic","2000",0.21,0,0,15,87.9,5.0384,0.1333,0,0.85,0,0.18,0,0,0,0,0,0,0,0,0,0.05,11.6309,5.8252,14.357,12.7047,7
"p264","historic","historic","2000",0.14,0,0,38,103.23,5.8021,0.2667,0,0.8,0,0.15,0,0,0,0,0.15,0,0.05,0,0,0.4,13.1063,7.1148,14.69,17.5502,8
"p264","historic","historic","2000",0.08,0,0,31,105.07,5.1439,0.1,0,0.2,0.1,0.15,0,0,0,0,0,0,0,0,0,0.05,13.2751,7.4431,13.2832,15.87,9
"p264","historic","historic","2000",0.36,0,0,35,94.35,4.7549,0.1333,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,14.0718,4.1212,10.515,11.4558,10
"p264","historic","historic","2000",0.35,0,0,19,89.94,5.265,0.2667,0,0.7,0,0.1,0,0,0,0,0,0,0,0,0,0.45,12.2141,6.9793,9.8982,17.5641,11
"p264","historic","historic","2000",0.11,0,0,32,98.2,5.5752,0.1667,0,1,0,0,0,0,0,0,0,0,0,0,0.15,0.6,13.3959,4.7148,12.0418,15.3388,12
"p264","historic","historic","2000",0.22,0,0,18,83.45,5.2581,0.0833,0,1,0,0.14,0,0,0,0,0,0,0,0,0,0,11.3967,4.321,10.4275,12.0832,13
"p264","historic","historic","2000",0.25,0,0,33,96.29,5.2802,0.1167,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.25,12.4716,4.3637,9.6595,16.0886,14
"p264","historic","historic","2000",0.2,0.2,0,31,97.25,5.299,0.1167,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,12.6287,5.2152,11.0578,14.0038,15
"p264","historic","historic","2000",0.39,0,0,42,93.77,5.4511,0.0333,0,0.7,0,0.07,0,0,0,0,0,0,0,0,0,0.3,14.989,5.6168,11.3453,16.3532,16
"p264","historic","historic","2000",0.22,0,0,28,91.25,5.2826,0.1167,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,12.228,4.9018,12.5867,17.3434,17
"p264","historic","historic","2000",0.13,0,0,39,98.62,4.8223,0.2,0,0.3,0,0.06,0,0,0,0,0,0,0,0,0.15,0.05,15.2975,7.8224,11.054,13.5688,18
"p264","historic","historic","2000",0.18,0.1,0,37,101.34,5.2267,0.1667,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.45,14.5047,6.1089,10.8947,15.9035,19
"p264","historic","historic","2000",0.45,0,0,32,90.38,5.1756,0.2333,0,0.8,0,0.07,0,0,0,0,0,0,0,0,0,0.4,12.6315,7.2971,10.1632,14.4645,20
"p264","historic","historic","2000",0.18,0,0,40,88.93,4.9086,0.1,0,0.5,0,0.15,0,0,0,0,0.1,0,0,0,0,0.3,13.7485,6.2778,13.6048,15.4216,21
"p264","historic","historic","2000",0.06,0,0,29,98.36,5.0351,0.1,0,1,0.05,0.1,0,0,0,0,0,0,0.15,0,0,0.3,13.3089,4.6956,11.9795,17.5803,22
"p264","historic","historic","2000",0.33,0,0,25,106.5,5.987,0.0833,0,0.85,0,0.07,0,0,0,0,0.15,0,0,0,0,0.2,13.7227,5.5357,11.7083,16.8264,23
"p264","historic","historic","2000",0.1,0,0,35,100.33,5.2166,0.1,0,0.45,0.05,0.15,0,0,0,0,0,0,0,0,0,0.05,13.508,7.4313,11.241,14.5186,24
"p264","historic","historic","2000",0.16,0,0.2,31,77.19,5.4804,0.15,0,0.75,0,0.16,0,0,0,0,0,0,0.05,0,0,0.2,13.2465,6.2704,15.342,16.946,25
"p264","historic","historic","2000",0.41,0.3,0,36,103.73,5.6755,0.2333,0,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0.25,14.9665,7.817,12.957,14.1858,26
"p264","historic","historic","2000",0.35,0,0,25,83.06,4.6607,0.1667,0,0.45,0,0.17,0,0,0,0,0,0,0,0,0,0.55,12.5243,7.2338,11.7972,16.7306,27
"p264","historic","historic","2000",0.21,0,0,36,100.7,5.6642,0.1667,0,0.5,0,0.06,0,0,0,0,0,0,0,0.05,0,0.15,13.4896,6.2548,13.9713,16.2444,28
"p264","historic","historic","2000",0.1,0,0,20,94.61,5.0144,0.1667,0,0.7,0,0.12,0,0,0,0,0.1,0,0,0,0,0.05,11.1376,6.0067,12.6253,12.211,29
"p264","historic","historic","2000",0.2,0,0,29,100.93,5.4397,0.05,0,0.6,0.1,0.14,0,0,0,0,0,0,0,0,0,0.25,13.0393,5.5367,12.4473,17.2183,30
"p264","historic","historic","2000",0.19,0,0,25,101.38,5.483,0.05,0,1,0.05,0.08,0,0,0,0,0,0,0,0,0,0.05,13.1085,4.3123,12.1043,11.3121,31
"p264","historic","historic","2000",0.45,0,0,36,89.83,5.3423,0.1667,0,0.6,0,0.07,0,0,0,0,0,0,0,0,0,0.05,13.861,7.6134,10.9753,13.7539,32
"p264","historic","historic","2000",0.34,0.6,0,38,91.06,5.1974,0.0667,0,1,0.05,0.2,0,0,0,0,0,0,0,0,0,0.15,14.5843,5.41,11.5252,11.4335,33
"p264","historic","historic","2000",0.07,0,0,15,90.76,5.4797,0.2,0,0.35,0,0.05,0,0,0,0,0,0,0,0.05,0,0.45,11.2671,7.1507,10.7692,16.2623,34
"p264","historic","historic","2000",0.23,0,0,35,92.85,5.1989,0.1167,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.05,13.5093,3.6857,12.1417,14.9462,35
"p264","historic","historic","2000",0.15,0,0,36,92.12,5.1507,0.1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.05,13.8938,6.0032,10.5343,14.6024,36
"p264","historic","historic","2000",0.18,0,0,26,97.01,5.2062,0.0667,0,1,0.05,0.14,0,0,0,0,0.1,0,0,0,0.15,0,13.4104,3.1643,16.007,11.9547,37
"p264","historic","historic","2000",0.12,0,0,37,107.51,5.1872,0.1,0,0.4,0.05,0,0,0,0,0,0,0,0,0,0,0.05,13.2545,6.435,7.984,15.9379,38
"p264","historic","historic","2000",0.19,0.2,0,26,100.08,4.8026,0,0,1,0.05,0.22,0,0,0,0,0,0,0,0,0,0.2,13.2197,3.9055,14.396,16.2508,39
"p264","historic","historic","2000",0.31,0,0,15,103.56,5.6844,0.1833,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0.2,11.7254,5.6189,10.0327,16.3589,40
"p264","historic","historic","2000",0.21,0,0,48,103.34,4.7319,0.1167,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.25,15.0757,6.2426,11.2548,15.9475,41
"p264","historic","historic","2000",0.31,0,0.1,38,87.89,4.9453,0.1,0,0.3,0.05,0,0,0,0,0,0,0,0,0,0.15,0.2,13.9399,7.7918,10.2198,12.7329,42
"p264","historic","historic","2000",0.22,0,0,30,102.37,5.1256,0.0667,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.2,13.3118,4.3009,12.2793,16.1027,43
