"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p546","historic","historic","2000",0.18,0,0,29,92.28,4.7486,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.0765,5.1442,9.8293,13.3121,1
"p546","historic","historic","2000",0.24,0.15,0,31,98.68,4.9728,0.0667,0,0.25,0,0.06,0,0,0,0,0,0,0,0,0.15,0.2,13.1712,6.3573,11.133,14.2741,2
"p546","historic","historic","2000",0.1,0,0,20,99.61,4.9311,0.15,0,1,0,0.15,0,0,0,0,0,0,0,0,0,0.15,12.5198,5.4612,13.6842,13.5011,3
"p546","historic","historic","2000",0.32,0,0,12,98.3,4.7867,0.1,0,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0.15,11.5188,6.7381,9.6688,13.115,4
"p546","historic","historic","2000",0.29,0,0,33,99.8,4.9579,0.05,0,0.7,0.05,0.05,0,0,0,0,0,0,0,0,0,0.1,13.182,6.0073,12.7395,12.5371,5
"p546","historic","historic","2000",0.32,0,0,22,107.42,5.0568,0.1,0,0.8,0.1,0.08,0,0,0,0,0,0,0,0,0,0.1,12.1819,5.8845,7.6012,12.4494,6
"p546","historic","historic","2000",0.15,0.1,0,30,83.95,4.8578,0.0167,0,1,0.05,0.05,0,0,0,0,0,0,0,0,0,0.05,12.9883,5.2375,9.3163,10.7921,7
"p546","historic","historic","2000",0.32,0,0,27,103.41,4.9427,0.1,0,0.75,0.05,0.06,0,0,0,0,0,0,0,0,0,0.35,11.88,5.8025,10.549,16.8702,8
"p546","historic","historic","2000",0.43,0,0,34,78.73,4.4378,0.0667,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.05,14.2204,3.6197,12.6353,13.4046,9
"p546","historic","historic","2000",0.24,0,0,37,93.9,5.2368,0.1167,0,1,0.1,0.13,0,0,0,0,0,0,0,0,0,0.1,13.5047,4.4057,12.5002,12.4947,10
"p546","historic","historic","2000",0.18,0,0,31,86.39,4.8973,0.0667,0,0.35,0,0.06,0,0,0,0,0.1,0,0,0,0,0.05,14.5003,7.3872,12.9452,13.6017,11
"p546","historic","historic","2000",0.28,0,0,7,95.09,4.8444,0.05,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.15,10.6516,5.7604,10.7498,15.1247,12
"p546","historic","historic","2000",0.29,0,0,44,92.13,5.0015,0.2333,0,0.55,0,0.13,0,0,0,0,0,0,0,0,0,0.1,13.8483,7.6628,13.6583,12.2637,13
"p546","historic","historic","2000",0.33,0,0,17,95.01,5.1934,0.2,0,0.4,0.05,0.06,0,0,0,0,0,0,0,0,0,0,11.9244,8.0315,11.3978,14.1073,14
"p546","historic","historic","2000",0.1,0,0,26,95.27,4.9506,0.0667,0,0.85,0,0.05,0,0,0,0,0,0,0,0,0,0.4,12.2486,5.7361,12.719,15.9059,15
"p546","historic","historic","2000",0.11,0,0,12,101.55,5.0589,0.0167,0,0.7,0,0.06,0,0,0,0,0.15,0,0,0,0,0.2,12.0069,5.7527,13.0253,14.2647,16
"p546","historic","historic","2000",0.13,0,0,28,90.68,4.8434,0.1333,0,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0.3,11.8988,7.2802,13.716,13.3338,17
"p546","historic","historic","2000",0.11,0,0,25,76.97,4.7928,0.0167,0,1,0.1,0.08,0,0,0,0,0,0,0,0,0,0,11.3881,2.6708,8.926,12.1271,18
"p546","historic","historic","2000",0.44,0.15,0,28,88,4.529,0.0167,0,1,0.05,0.12,0,0,0,0,0,0,0,0,0.15,0,12.559,4.4522,9.2522,12.8702,19
"p546","historic","historic","2000",0.17,0,0,33,96.63,5.2879,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.15,0.3,13.8585,3.9523,10.8913,16.1759,20
"p546","historic","historic","2000",0.26,0,0,35,86.65,4.5524,0.05,0,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0.15,13.629,5.7817,11.3095,15.3681,21
"p546","historic","historic","2000",0.27,0,0,16,87.31,4.6738,0.1167,0,0.3,0,0.13,0,0,0,0,0.15,0,0,0,0,0.1,11.1117,7.2302,14.716,15.938,22
"p546","historic","historic","2000",0.11,0,0.1,19,103.08,4.8469,0.1,0,0.7,0.05,0.06,0,0,0,0,0.1,0,0,0,0,0,11.809,7.0992,8.6423,11.5179,23
"p546","historic","historic","2000",0.47,0,0,10,89.19,4.3711,0,0,1,0.05,0.06,0,0,0,0,0,0,0,0,0.15,0.1,11.9524,4.4637,11.407,15.5097,24
"p546","historic","historic","2000",0.16,0.1,0,29,96.41,5.0438,0.1,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,12.7482,5.2285,9.2547,12.9076,25
"p546","historic","historic","2000",0.15,0.2,0,41,100.49,4.7132,0.1167,0,0.75,0,0.05,0,0,0,0,0.15,0,0,0,0.15,0,14.2236,5.2607,12.0698,14.0265,26
"p546","historic","historic","2000",0.37,0,0,21,79.78,4.9273,0.0333,0,1,0,0.12,0,0,0,0,0,0,0,0,0,0.25,11.3132,4.5958,13.448,15.3226,27
"p546","historic","historic","2000",0.11,0,0,23,99.84,4.8812,0.1,0,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0,11.8676,7.2582,9.1463,14.3426,28
"p546","historic","historic","2000",0.32,0,0,24,95.91,4.783,0.0333,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.1,13.0469,4.9461,10.7873,11.8226,29
"p546","historic","historic","2000",0.37,0,0,7,100.45,4.8174,0,0,1,0,0.15,0,0,0,0,0,0,0,0,0,0.15,11.5713,1.7685,12.2897,13.9833,30
"p546","historic","historic","2000",0.23,0,0,21,103.45,4.897,0.0333,0,1,0,0,0,0,0,0,0.1,0,0,0,0.15,0,12.3366,3.5412,12.2095,10.863,31
"p546","historic","historic","2000",0.42,0,0,38,91.08,4.9993,0.05,0,0.75,0.1,0.06,0,0,0,0,0,0,0,0,0,0.1,13.7738,5.686,7.4873,12.5639,32
"p546","historic","historic","2000",0.32,0,0,26,96.47,5.1098,0.1167,0,0.95,0,0,0,0,0,0,0.1,0,0,0,0.15,0.05,12.6691,6.0588,14.1552,13.5447,33
"p546","historic","historic","2000",0.28,0,0,22,82.64,4.819,0.0833,0,0.55,0,0.06,0,0,0,0,0,0,0,0,0.3,0.15,12.0229,7.5872,12.1002,14.495,34
"p546","historic","historic","2000",0.31,0,0,25,93.16,5.0266,0.1,0,0.9,0.05,0.06,0,0,0,0,0,0,0,0,0,0.05,12.3284,5.6083,8.4518,13.8318,35
"p546","historic","historic","2000",0.3,0,0,36,99.32,5.0068,0.1,0,0.9,0,0.07,0,0,0,0,0,0,0,0,0,0,13.2037,5.3952,10.7013,9.0876,36
"p546","historic","historic","2000",0.25,0,0,25,81.39,4.7938,0.0833,0,0.85,0,0.12,0,0,0,0,0.25,0,0,0,0,0.15,12.0695,6.218,14.1253,13.2519,37
"p546","historic","historic","2000",0.21,0,0,17,88.09,4.237,0.0833,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.4,11.4802,3.2407,11.3795,14.8747,38
"p546","historic","historic","2000",0.28,0.1,0,28,86.04,4.6619,0.0167,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.3,12.5122,0.4188,14.3935,15.1495,39
"p546","historic","historic","2000",0.26,0,0,13,96.59,5.0367,0.1167,0,0.6,0,0.2,0,0,0,0,0.1,0,0,0,0,0.15,11.2164,6.865,14.3122,14.1152,40
"p546","historic","historic","2000",0.29,0,0,29,75.46,4.7995,0.1,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.2,13.8105,5.5745,9.0613,14.656,41
"p546","historic","historic","2000",0.24,0,0,15,83.84,4.8759,0.0667,0,1,0.05,0,0,0,0,0,0,0,0.05,0,0,0.2,12.3041,5.3218,10.5197,13.6356,42
"p546","historic","historic","2000",0.11,0,0,19,94.75,4.6791,0.0833,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.25,11.721,4.8187,8.9717,13.1526,43
