"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p528","historic","historic","2000",0.39,0,0,37,94.37,4.874,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15,13.5246,5.8008,9.9727,13.2207,1
"p528","historic","historic","2000",0.43,0.15,0,30,97.27,5.1235,0.1333,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.35,13.6197,7.0888,11.338,14.7655,2
"p528","historic","historic","2000",0.16,0,0,25,104.58,5.3724,0.0667,0,1,0,0,0,0,0,0,0,0,0,0,0.15,0.25,12.9329,5.784,12.8708,13.3556,3
"p528","historic","historic","2000",0.26,0,0,14,100.47,4.8689,0.15,0,0.45,0.05,0,0,0,0,0,0.25,0,0,0,0,0.15,11.4875,7.3203,9.4995,13.2009,4
"p528","historic","historic","2000",0.15,0,0,33,101.59,5.1556,0.0667,0,0.7,0.05,0.08,0,0,0,0,0.15,0,0,0,0,0.05,13.479,6.216,12.8192,12.8703,5
"p528","historic","historic","2000",0.36,0,0,22,107.48,5.2133,0.0667,0,0.65,0.1,0,0,0,0,0,0,0,0,0,0,0.05,12.706,6.4331,7.6082,13.0235,6
"p528","historic","historic","2000",0.18,0,0,23,92.23,5.1337,0.0167,0,1,0.05,0.05,0,0,0,0,0,0,0,0,0,0,13.279,5.7533,9.1957,11.5779,7
"p528","historic","historic","2000",0.28,0,0,27,103.57,5.1059,0.0833,0,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0.35,11.9717,6.7177,10.4477,16.5897,8
"p528","historic","historic","2000",0.4,0,0,32,84.31,4.5668,0.05,0,1,0,0.1,0,0,0,0,0.25,0,0,0,0,0.2,14.2703,5.0332,12.6778,13.3822,9
"p528","historic","historic","2000",0.27,0,0,47,98.75,5.5625,0.1167,0,1,0.1,0,0,0,0,0,0.15,0,0,0,0.15,0.05,13.9487,5.03,10.914,12.2291,10
"p528","historic","historic","2000",0.07,0,0,32,93.78,5.3696,0.1,0,0.35,0,0.11,0,0,0,0,0.1,0,0,0,0,0.05,14.716,7.6568,12.6103,13.2295,11
"p528","historic","historic","2000",0.26,0,0,3,97.98,4.9137,0.1667,0,0.8,0,0,0,0,0,0,0.1,0,0,0,0,0.2,10.9667,6.7097,11.2537,14.3852,12
"p528","historic","historic","2000",0.27,0.15,0,47,96.56,5.2468,0.2167,0,0.45,0,0.05,0,0,0,0,0.2,0,0,0,0,0.1,14.2647,8.4684,13.0755,12.8296,13
"p528","historic","historic","2000",0.44,0,0,21,97.14,5.217,0.1667,0,0.3,0.05,0,0,0,0,0,0,0,0,0,0,0.1,12.227,7.6925,12.3875,13.8205,14
"p528","historic","historic","2000",0.19,0,0,34,94.84,4.9856,0.0667,0,0.55,0,0.1,0,0,0,0,0,0,0,0.05,0,0.5,12.9531,6.5036,13.437,15.7555,15
