"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p201","historic","historic","2000",0.27,0,0,49,105.41,5.1295,0.2167,0,0.5,0,0.08,0,0,0,0,0,0,0,0,0.15,0.05,15.3898,7.9502,12.2235,15.1691,1
"p201","historic","historic","2000",0.33,0.25,0,48,108.19,5.1431,0.2333,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.05,15.544,8.9746,13.3527,16.8705,2
"p201","historic","historic","2000",0.26,0,0,48,109.45,4.9218,0.1167,0,0.65,0,0.07,0,0,0,0,0,0,0,0,0.15,0.15,15.1554,7.3082,15.02,15.7612,3
"p201","historic","historic","2000",0.27,0,0,43,108.99,4.8733,0.1833,0,0.1,0,0.07,0,0,0,0,0,0,0,0,0,0.2,13.7271,9.1491,12.0485,15.3102,4
"p201","historic","historic","2000",0.3,0,0.15,56,108.17,5.2572,0.0833,0,0.3,0,0.22,0,0,0,0,0,0,0,0,0,0.3,15.4909,8.1117,15.1158,14.6584,5
"p201","historic","historic","2000",0.26,0.1,0,45,113.75,5.1403,0.1333,0,0.35,0,0.08,0,0,0,0,0,0,0,0,0,0.4,14.4529,8.2238,10.0347,14.3127,6
"p201","historic","historic","2000",0.31,0,0,46,103.36,5.4202,0.0833,0,0.45,0,0.05,0,0,0,0,0.1,0,0,0,0,0,15.509,7.6407,11.0423,13.5464,7
"p201","historic","historic","2000",0.32,0.25,0,34,108.7,5.1459,0.1167,0,0.3,0,0.07,0,0,0,0,0,0,0.05,0,0.15,0.55,14.151,8.4537,12.8512,18.4315,8
"p201","historic","historic","2000",0.3,0,0,51,95.62,4.7679,0.1833,0,0.75,0,0.18,0,0,0,0,0,0,0,0,0,0.1,16.0539,6.9371,14.8897,15.0357,9
"p201","historic","historic","2000",0.2,0,0,57,105.29,5.1987,0.15,0,0.65,0,0.07,0,0,0,0,0,0,0,0,0,0.1,15.6339,7.0161,13.8092,14.9812,10
"p201","historic","historic","2000",0.28,0.2,0,63,99.82,5.0447,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.15,16.7363,9.0173,14.8538,15.1083,11
"p201","historic","historic","2000",0.2,0,0,18,104.77,5.1827,0.2,0,0.45,0,0.06,0,0,0,0,0,0,0,0,0,0.45,13.2934,8.5274,13.1312,16.3574,12
"p201","historic","historic","2000",0.3,0.3,0.1,58,108.14,5.3491,0.2833,0,0.15,0,0.16,0,0,0,0,0,0,0,0,0.3,0,16.257,10.032,15.903,14.5138,13
"p201","historic","historic","2000",0.16,0,0,46,104.19,5.1975,0.1833,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.3,14.064,9.607,14.8935,16.3241,14
"p201","historic","historic","2000",0.18,0,0,47,104.73,5.2099,0.1667,0,0.1,0,0.06,0,0,0,0,0.1,0,0,0,0,0.4,14.7243,8.5655,15.1435,17.8914,15
"p201","historic","historic","2000",0.37,0,0,41,107.9,5.0489,0.1333,0,0.2,0,0.1,0,0,0,0,0.1,0,0,0,0,0.15,14.453,7.7862,15.6058,16.6852,16
"p201","historic","historic","2000",0,0,0,47,107.77,5.322,0.1833,0,0.2,0,0.07,0,0,0,0,0.1,0,0.05,0,0,0,14.3707,9.6308,15.6655,15.8284,17
"p201","historic","historic","2000",0.15,0,0,42,95.49,4.9518,0.05,0,0.75,0,0.05,0,0,0,0,0,0,0,0,0.15,0.1,13.6403,5.8618,11.2602,14.2892,18
"p201","historic","historic","2000",0.6,0.2,0,48,106.73,5.0934,0.1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.15,14.6572,7.0835,11.3252,14.9429,19
"p201","historic","historic","2000",0.5,0.15,0,63,106.49,5.3862,0.0833,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.35,16.5257,6.7341,13.6333,18.0659,20
"p201","historic","historic","2000",0.53,0.35,0,56,104.53,5.2889,0.1333,0,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0.25,16.0197,7.8046,13.5998,17.1747,21
"p201","historic","historic","2000",0.31,0,0,35,96.52,4.895,0.1667,0,0.05,0,0,0,0,0,0,0,0,0,0,0.15,0.35,13.8388,9.284,16.1325,17.1277,22
"p201","historic","historic","2000",0.36,0,0,38,109.69,4.8521,0.0833,0,0.35,0,0.12,0,0,0,0,0,0,0,0,0,0.05,14.5608,8.7358,11.2665,13.3764,23
"p201","historic","historic","2000",0.27,0,0,33,104.27,4.8025,0.1667,0,0.6,0,0.06,0,0,0,0,0,0,0,0,0,0.25,14.1516,7.3624,14.2337,17.15,24
"p201","historic","historic","2000",0.32,0.25,0,39,109.49,5.0951,0.2,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.05,15.123,7.8135,11.511,14.3085,25
"p201","historic","historic","2000",0.2,0.1,0,49,110.49,4.8379,0.2,0,0.2,0,0.05,0,0,0,0,0.25,0,0,0,0,0.4,16.3182,7.3809,14.5863,16.0088,26
