"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p497","historic","historic","2000",0.36,0.25,0,32,98.62,5.3291,0.15,0,1,0,0.11,0,0,0,0,0,0,0.1,0,0,0.15,13.5069,5.9085,13.688,16.5987,1
"p497","historic","historic","2000",0.24,0.25,0,34,93.23,5.3289,0.1333,0,0.6,0,0.09,0,0,0,0,0.1,0,0,0,0,0.4,13.7934,6.7128,13.7553,15.7982,2
"p497","historic","historic","2000",0.49,0,0,30,105.13,5.2628,0.1667,0,0.75,0,0.06,0,0,0,0,0,0,0,0,0,0.35,13.3222,6.3618,12.952,15.2329,3
"p497","historic","historic","2000",0.17,0,0,31,108.1,5.5662,0.1667,0,0.95,0,0.09,0,0,0,0,0,0,0,0,0,0.15,13.4156,6.5817,12.5723,14.4697,4
"p497","historic","historic","2000",0.34,0,0,26,99.55,5.4847,0.1833,0,0.65,0.05,0.05,0,0,0,0,0,0,0,0,0,0.35,13.4431,6.605,11.843,16.0688,5
"p497","historic","historic","2000",0.1,0,0,46,101.26,5.7744,0.1333,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0.25,15.1412,7.3415,11.9593,19.0938,6
"p497","historic","historic","2000",0.28,0,0,21,89.77,5.2047,0.15,0,0.65,0,0.13,0,0,0,0,0,0,0,0,0,0.05,12.328,6.6712,14.652,14.0258,7
"p497","historic","historic","2000",0.24,0.1,0,39,104.12,5.694,0.2167,0,0.6,0,0.05,0,0,0,0,0.1,0,0.25,0,0,0.25,13.8487,7.6633,15.85,18.8823,8
"p497","historic","historic","2000",0.27,0,0,33,107.27,5.0453,0.1,0,0.05,0,0.07,0,0,0,0,0,0,0,0,0,0.15,14.2856,8.2746,13.86,16.7172,9
"p497","historic","historic","2000",0.13,0.1,0,35,98.18,4.8461,0.15,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.05,14.2054,4.8781,11.7837,12.4086,10
"p497","historic","historic","2000",0.24,0,0,23,93.08,5.2852,0.2667,0,0.55,0,0.11,0,0,0,0,0,0,0,0,0,0.45,12.5066,7.7972,11.08,18.5053,11
"p497","historic","historic","2000",0.24,0,0,37,101.3,5.4113,0.15,0,0.8,0,0,0,0,0,0,0,0,0.05,0,0,0.3,13.9682,5.8187,12.442,16.7347,12
"p497","historic","historic","2000",0.29,0,0,21,88.48,5.36,0.05,0,1,0,0.16,0,0,0,0,0,0,0,0,0.15,0.05,12.1174,5.1984,11.4658,12.2522,13
"p497","historic","historic","2000",0.34,0,0,32,99.05,5.2868,0.15,0,1,0.05,0.11,0,0,0,0,0.1,0,0,0,0.15,0.4,12.9738,5.3203,10.5397,15.6332,14
"p497","historic","historic","2000",0.28,0.3,0,37,99.97,5.3555,0.1333,0,0.85,0,0.1,0,0,0,0,0,0,0,0,0,0.2,13.6599,5.9898,12.9958,14.3033,15
"p497","historic","historic","2000",0.17,0.1,0,48,94.03,5.4874,0.2167,0,0.5,0,0.05,0,0,0,0,0.1,0,0,0,0,0.2,15.4957,6.7869,12.9895,17.4559,16
"p497","historic","historic","2000",0.27,0,0,34,91.24,5.266,0.2667,0,0.9,0,0.17,0,0,0,0,0,0,0.05,0,0,0.4,12.9268,6.441,14.1438,17.7597,17
"p497","historic","historic","2000",0.3,0.45,0,46,100.18,4.6495,0.15,0,0.3,0.05,0.19,0,0,0,0,0.1,0,0,0,0,0.1,16.1157,8.4294,12.016,14.5367,18
"p497","historic","historic","2000",0.4,0.15,0,39,105.44,5.4608,0.1167,0,0.8,0,0.17,0,0,0,0,0,0,0.05,0,0,0.2,15.2607,7.1806,12.4745,17.6882,19
"p497","historic","historic","2000",0.45,0,0,32,95.46,5.4512,0.1833,0,0.75,0,0.06,0,0,0,0,0,0,0,0,0,0.35,13.3109,7.9244,11.2052,15.9347,20
"p497","historic","historic","2000",0.4,0.15,0,46,94.44,5.6489,0.2167,0,0.3,0,0.05,0.05,0,0,0,0,0,0,0,0,0.25,14.578,8.1052,14.429,16.6951,21
"p497","historic","historic","2000",0.33,0.1,0,37,98.35,5.1097,0.1833,0,0.65,0.05,0.07,0,0,0,0,0,0,0.05,0,0,0.5,14.3719,6.1518,12.7433,18.5515,22
"p497","historic","historic","2000",0.2,0,0,27,106.45,5.5771,0.1333,0,0.7,0,0.12,0,0,0,0,0,0,0,0,0,0.7,13.9654,6.3497,13.1708,17.7258,23
"p497","historic","historic","2000",0.19,0,0,36,103.41,5.452,0.1667,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0.15,14.2216,8.6317,11.3748,15.4053,24
"p497","historic","historic","2000",0.27,0.1,0,39,81.09,5.4362,0.2333,0,0.65,0,0.12,0,0,0,0,0.25,0,0.05,0,0,0.2,14.0207,7.0698,15.1593,17.8849,25
"p497","historic","historic","2000",0.24,0.1,0,39,105.32,5.4588,0.2,0,0.2,0,0.12,0,0,0,0,0,0,0,0,0,0.3,15.2841,8.5606,14.6463,15.0133,26
"p497","historic","historic","2000",0.31,0.4,0,31,88.09,4.7957,0.2333,0,0.3,0,0.05,0,0,0,0,0,0,0,0,0.15,0.4,13.3227,8.5944,12.1587,17.5415,27
"p497","historic","historic","2000",0.2,0,0.3,29,100.1,5.7531,0.15,0,0.4,0,0.05,0,0,0,0,0,0,0,0,0,0.25,13.5903,7.4705,14.3402,16.8021,28
"p497","historic","historic","2000",0.47,0.1,0,26,97.48,5.3489,0.2,0,0.5,0,0.14,0,0,0,0,0,0,0,0,0,0.15,12.4223,7.1282,13.5967,13.0191,29
"p497","historic","historic","2000",0.25,0,0,37,103.27,5.4815,0.15,0,0.35,0.1,0.16,0,0,0,0,0,0,0,0,0,0.25,13.8225,6.4105,13.2463,17.7124,30
"p497","historic","historic","2000",0.27,0.2,0,33,105.22,5.4643,0.05,0,1,0.05,0,0,0,0,0,0.25,0,0,0,0,0.05,14.0227,5.0569,12.602,12.3282,31
"p497","historic","historic","2000",0.16,0,0.1,38,91.85,4.9145,0.1667,0,0.4,0,0.14,0,0,0,0,0,0,0,0,0,0.2,14.1641,8.1781,11.9812,14.5906,32
"p497","historic","historic","2000",0.27,0.7,0,40,93.41,5.1843,0.1333,0,0.9,0.05,0.09,0,0,0,0,0,0,0,0,0,0.2,15.163,6.1368,11.9617,12.2331,33
"p497","historic","historic","2000",0.42,0,0,21,91.85,5.4285,0.35,0,0.25,0,0.05,0,0,0,0,0,0,0.05,0,0,0.5,12.0765,8.527,12.0857,17.1079,34
"p497","historic","historic","2000",0.25,0,0,35,96.28,5.132,0.1,0,1,0,0.11,0,0,0,0,0,0,0,0,0,0.1,13.9468,4.4015,12.8447,16.7652,35
"p497","historic","historic","2000",0.38,0,0,38,94.5,5.2481,0.1333,0,0.45,0,0.12,0,0,0,0,0,0,0,0,0,0.2,14.7776,6.8828,11.891,15.6206,36
"p497","historic","historic","2000",0.44,0.15,0,38,99.36,4.9925,0.0667,0,1,0,0.08,0,0,0.1,0,0,0,0,0,0,0,14.6173,4.1671,16.884,13.0315,37
"p497","historic","historic","2000",0.35,0,0,48,107.36,5.0374,0.05,0,0.25,0.05,0.15,0,0,0,0,0,0,0,0,0,0.4,14.4446,7.2757,9.0908,15.8367,38
"p497","historic","historic","2000",0.26,0,0,29,103.94,5.0852,0.1,0,0.95,0,0.06,0,0,0,0,0,0,0,0.05,0,0.4,13.9028,4.8828,15.2183,16.8615,39
"p497","historic","historic","2000",0.42,0,0,28,101.14,5.2813,0.2,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.2,12.4352,5.9588,10.8322,17.045,40
"p497","historic","historic","2000",0.42,0.5,0,53,105.69,4.7501,0.1667,0,0.7,0,0.19,0,0,0,0,0,0,0,0,0,0.65,15.957,6.7047,12.781,15.9588,41
"p497","historic","historic","2000",0.27,0,0,46,90.95,5.6913,0.2333,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0.1,14.8308,9.4242,10.7838,13.6433,42
"p497","historic","historic","2000",0.15,0.1,0,40,104.43,5.0842,0.05,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0.2,13.7635,4.6568,13.177,17.3705,43
"p497","historic","historic","2000",0.29,0,0,42,89.12,4.8502,0.15,0,0.75,0,0.1,0,0,0,0,0,0,0,0.1,0,0.4,13.637,6.7258,12.9043,16.0161,44
"p497","historic","historic","2000",0.23,0,0,49,95.52,4.9195,0.05,0,0.8,0.05,0.05,0,0,0,0,0.15,0,0.05,0,0.15,0.15,15.5001,5.8638,12.3302,16.6824,45
"p497","historic","historic","2000",0.26,0.2,0,44,95.79,5.0397,0.1167,0,0.4,0,0.08,0,0,0,0,0,0,0,0,0,0.45,15.2486,7.7768,14.116,17.6023,46
"p497","historic","historic","2000",0.14,0,0,24,94.51,4.6014,0.1167,0,1,0,0.07,0,0,0,0,0,0,0,0,0,0.1,12.9129,4.7329,13.8613,15.4271,47
"p497","historic","historic","2000",0.3,0.65,0,39,98.03,5.4787,0.15,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.25,14.1548,7.5617,11.7785,18.248,48
"p497","historic","historic","2000",0.3,0,0,22,95.98,5.5842,0.1333,0,0.25,0,0,0,0,0,0,0,0,0,0,0.15,0.25,12.5177,7.8661,14.7207,16.8979,49
