"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p295","historic","historic","2000",0.3,0,0,32,94.92,4.9903,0.0667,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,12.9058,5.4396,12.3748,15.6196,1
"p295","historic","historic","2000",0.47,0.15,0,36,88.78,4.9644,0.1167,0,0.8,0,0.05,0,0,0,0,0,0,0,0,0,0.15,13.4709,5.6983,13.7078,14.5915,2
"p295","historic","historic","2000",0.19,0,0,23,104.31,5.5268,0.0667,0,0.85,0.05,0,0,0,0,0,0.2,0,0,0,0,0.15,12.5331,5.5616,12.5647,14.5835,3
"p295","historic","historic","2000",0.22,0,0,27,103.1,5.3564,0.0833,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,12.8753,5.7352,11.4725,13.4839,4
"p295","historic","historic","2000",0.15,0,0,20,99.32,5.2185,0.1167,0,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0.2,12.7373,5.7626,10.8575,15.7947,5
"p295","historic","historic","2000",0.27,0.15,0,48,98.01,5.5952,0.1,0,0.6,0.1,0.07,0,0,0,0,0,0,0,0,0.15,0.15,15.0287,6.8002,11.546,18.6889,6
"p295","historic","historic","2000",0.19,0,0,18,85.81,4.6926,0.0833,0,0.65,0,0.12,0,0,0,0,0.15,0,0,0,0,0.2,11.7466,6.0515,14.186,13.6417,7
"p295","historic","historic","2000",0.25,0,0,38,101.88,5.6545,0.15,0,0.6,0,0.06,0,0,0,0,0.2,0,0.05,0,0,0.7,13.5148,6.774,15.1038,17.7735,8
"p295","historic","historic","2000",0.25,0,0,34,103.35,4.7566,0.1167,0,0.05,0,0.05,0,0,0,0,0.1,0,0,0,0,0.15,13.7588,8.1888,13.158,15.7729,9
"p295","historic","historic","2000",0.19,0,0.1,34,97.96,5.0874,0.0667,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,13.7419,4.2662,10.0253,11.4683,10
"p295","historic","historic","2000",0.11,0,0,20,90.01,5.2161,0.25,0,0.6,0,0.06,0,0,0,0,0,0,0,0,0,0.45,12.0778,7.7527,9.7025,17.9032,11
"p295","historic","historic","2000",0.26,0,0,34,98.27,5.0944,0.1,0,0.9,0,0.05,0,0,0,0,0.1,0,0,0,0.15,0.3,13.6806,5.1571,11.9163,15.3911,12
"p295","historic","historic","2000",0.19,0,0,17,86,5.1858,0.0667,0,1,0,0.13,0,0,0,0,0,0,0,0,0,0.05,11.6008,4.5131,10.1727,12.2188,13
"p295","historic","historic","2000",0.34,0,0,34,97.42,5.1079,0.1333,0,1,0,0,0,0,0,0,0,0,0,0.05,0,0.35,12.8593,4.1012,9.795,15.2155,14
"p295","historic","historic","2000",0.19,0.15,0,35,94.72,4.9813,0.1167,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.05,13.1181,5.5197,12.0755,13.3317,15
"p295","historic","historic","2000",0.14,0,0,39,94.63,5.3499,0.0667,0,0.8,0,0.09,0,0,0,0,0,0,0,0.05,0,0.2,14.7002,5.2569,12.7257,16.1458,16
