"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p89","historic","historic","2000",0.17,0,0,49,102.01,5.0813,0.2167,0,0.25,0,0.05,0,0,0,0,0,0,0,0,0,0.25,14.8004,7.9018,11.8557,14.8429,1
"p89","historic","historic","2000",0.29,0.15,0,35,99.27,4.9948,0.1667,0,0.6,0,0,0,0,0,0,0.1,0,0,0.05,0,0,14.286,6.7053,10.8102,15.1427,2
"p89","historic","historic","2000",0.46,0.25,0,48,100.34,5.1575,0.1167,0,0.7,0,0.07,0,0,0,0,0,0,0,0,0,0.35,15.0926,7.7043,11.7887,15.9261,3
"p89","historic","historic","2000",0.19,0,0,40,90.85,4.6359,0.05,0,0.45,0,0.05,0,0,0,0,0,0,0,0,0,0.15,14.3205,6.7724,12.4607,16.5164,4
"p89","historic","historic","2000",0.18,0.2,0,35,102.74,5.124,0.1833,0,0.1,0,0.22,0,0,0,0,0,0,0,0,0,0.5,14.5932,7.3472,13.8217,14.5156,5
"p89","historic","historic","2000",0.26,0,0,30,99.56,4.6422,0.1167,0,0.95,0,0,0,0,0,0,0,0,0,0,0.15,0.05,12.9366,6.2649,12.3905,12.7777,6
"p89","historic","historic","2000",0.32,0.3,0,50,103.67,5.6033,0.1667,0,0.7,0.05,0.08,0,0,0,0,0,0,0.1,0,0,0.2,15.5146,6.6788,11.0143,17.433,7
"p89","historic","historic","2000",0.17,0,0,46,90.73,4.9197,0.0833,0,0.75,0,0.09,0,0,0,0,0,0,0,0,0,0.05,14.2992,5.9838,9.3735,12.4817,8
"p89","historic","historic","2000",0.34,0.2,0,37,96.79,5.3709,0.0333,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.05,13.6365,5.2418,11.4837,15.285,9
"p89","historic","historic","2000",0.38,0,0,39,99.48,5.3848,0.2167,0,0.25,0,0.11,0,0,0,0,0,0,0.1,0,0,0.1,13.7264,8.4928,13.6355,19.1959,10
"p89","historic","historic","2000",0.38,0.1,0,53,100.41,5.1127,0.0333,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.05,15.3606,5.4834,14.2078,12.132,11
"p89","historic","historic","2000",0.27,0,0,42,101.37,5.0995,0.2,0,0.5,0,0,0,0,0,0,0.15,0,0,0,0,0.05,13.9842,7.8475,11.8413,14.5729,12
"p89","historic","historic","2000",0.33,0,0,52,109.47,5.5167,0.1667,0,0.7,0,0.08,0,0,0,0,0,0,0.15,0,0.15,0.25,15.9291,8.9342,14.073,19.1301,13
"p89","historic","historic","2000",0.26,0,0,44,101.26,5.1837,0.1333,0,0.1,0,0.05,0.05,0,0,0,0,0,0,0.05,0,0.25,14.9902,8.7996,14.81,14.9342,14
"p89","historic","historic","2000",0.28,0,0,38,98.1,4.9533,0.15,0,0.35,0,0.08,0,0,0,0,0,0,0,0,0,0.2,14.7109,7.5296,12.6435,16.1711,15
"p89","historic","historic","2000",0.12,0,0,26,92.81,4.6626,0.1333,0,0.7,0,0.07,0,0,0,0,0,0,0,0,0,0.1,12.2788,6.8365,11.6588,13.8339,16
"p89","historic","historic","2000",0.27,0,0,44,102.28,5.2648,0.1167,0,0.6,0,0.1,0,0,0,0,0,0,0,0,0,0.1,14.7079,7.8497,11.9145,13.1409,17
"p89","historic","historic","2000",0.26,0,0,16,105.24,5.9481,0.0333,0,1,0,0.07,0,0,0,0,0.1,0,0.05,0,0,0.3,11.8719,5.4553,13.0722,16.2295,18
"p89","historic","historic","2000",0.37,0,0,33,92.05,5.0254,0.1,0,0.6,0,0.12,0,0,0,0,0,0,0,0,0,0,13.1063,6.2456,13.4993,14.0614,19
"p89","historic","historic","2000",0.27,0.15,0,46,107.24,5.164,0.1,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.25,14.952,5.3138,13.376,14.6214,20
"p89","historic","historic","2000",0.36,0.15,0,31,100.45,5.0665,0.15,0,0.55,0,0.08,0,0,0,0,0,0,0,0,0,0.15,13.9001,6.2004,10.6878,14.4544,21
"p89","historic","historic","2000",0.33,0.1,0,37,100.92,5.079,0.1333,0,0.45,0,0.19,0,0,0,0,0,0,0,0,0,0.05,13.957,7.633,12.3205,12.8767,22
"p89","historic","historic","2000",0.36,0,0,40,95.03,4.7642,0.0833,0,0.7,0,0.18,0,0,0,0,0,0,0,0,0,0.05,14.1732,6.8835,11.9798,12.9782,23
"p89","historic","historic","2000",0.29,0,0,26,92.34,5.3113,0.1333,0,1,0,0.05,0,0,0,0,0.1,0,0,0,0,0.15,13.4279,5.2226,12.7265,15.5702,24
"p89","historic","historic","2000",0.32,0,0,46,101.14,5.5558,0.1833,0,1,0,0.23,0,0,0,0,0,0,0,0,0,0.1,14.3396,6.5863,9.7357,13.7871,25
"p89","historic","historic","2000",0.32,0,0,33,95.95,5.1162,0.0833,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0.15,12.4962,5.1338,11.4032,16.3271,26
"p89","historic","historic","2000",0.27,0,0,48,102.87,5.5744,0.0333,0,0.85,0,0.14,0,0,0,0,0.1,0,0,0,0,0,14.7335,5.1923,13.1992,13.9633,27
"p89","historic","historic","2000",0.36,0,0,33,101.43,4.903,0.1,0,0.55,0.05,0.07,0,0,0,0,0.1,0,0,0,0,0.05,14.016,6.4678,10.849,14.1182,28
"p89","historic","historic","2000",0.21,0,0,59,100.16,5.247,0.0667,0,0.8,0,0.2,0,0,0,0,0,0,0.05,0.05,0.15,0.65,15.6978,6.3789,12.0235,17.8415,29
"p89","historic","historic","2000",0.33,0.1,0,40,99.98,5.3291,0.2333,0,0.8,0,0.1,0,0,0,0,0.1,0,0,0,0.15,0.3,14.1033,7.556,11.9128,13.0429,30
"p89","historic","historic","2000",0.28,0,0,45,99.25,5.2634,0.1333,0,0.4,0,0.12,0,0,0,0,0,0,0.1,0,0,0.4,13.7582,8.4401,12.191,19.5497,31
"p89","historic","historic","2000",0.37,0,0,43,104.32,5.4437,0.0667,0,0.9,0,0.09,0,0,0,0,0,0,0,0.05,0,0.15,13.9308,5.4481,13.4992,16.497,32
"p89","historic","historic","2000",0.12,0,0,26,104.86,5.3524,0.0833,0,0.45,0,0.09,0,0,0,0,0.15,0,0.05,0,0,0.4,12.8444,7.5507,13.5033,18.8857,33
"p89","historic","historic","2000",0.19,0.25,0,42,106.01,5.0667,0.05,0,0.8,0,0.18,0,0,0,0,0,0,0,0,0,0.15,15.859,5.3074,13.1538,13.9132,34
"p89","historic","historic","2000",0.33,0,0,38,102.83,5.444,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.05,13.9562,8.6592,12.6665,14.7073,35
"p89","historic","historic","2000",0.18,0,0,30,106.06,5.1534,0.1667,0,0.75,0,0.12,0,0,0,0,0,0,0,0,0.15,0.55,13.623,6.7395,13.1103,15.0829,36
