"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p417","historic","historic","2000",0.37,0,0,24,84.96,5.036,0,0,1,0,0.14,0,0,0,0,0.1,0,0,0,0,0.45,11.7238,3.5483,11.5165,14.8182,1
"p417","historic","historic","2000",0.35,0.1,0,22,83.23,5.414,0.1333,0,0.85,0,0.06,0,0,0,0,0.1,0,0,0,0.15,0.15,12.154,5.3443,12.9578,14.4309,2
"p417","historic","historic","2000",0.25,0,0,19,95.65,5.1756,0.0667,0,1,0.05,0.16,0,0,0,0,0,0,0,0,0,0.15,11.518,4.3871,12.1587,14.2659,3
"p417","historic","historic","2000",0.11,0,0,18,96.53,5.3329,0.05,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0,11.8449,4.4873,11.2343,13.4964,4
"p417","historic","historic","2000",0.16,0,0,19,87.62,5.1026,0.1167,0,1,0.15,0,0,0,0,0,0,0,0,0,0.15,0.15,11.8853,4.7865,10.3025,14.7284,5
"p417","historic","historic","2000",0.18,0.2,0,35,93.47,5.413,0.1,0,0.75,0.2,0.05,0,0,0,0,0.1,0,0,0,0,0.25,13.6199,5.6226,10.3322,17.4918,6
"p417","historic","historic","2000",0.22,0,0,12,78.96,4.7104,0.05,0,0.95,0,0.07,0,0,0,0,0.15,0,0,0,0.15,0,10.853,4.9586,12.816,11.7917,7
"p417","historic","historic","2000",0.29,0,0,35,98.11,5.7723,0.1667,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.25,12.4167,5.7111,14.3483,16.8694,8
"p417","historic","historic","2000",0.17,0,0,27,100.19,5.1484,0.1333,0,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0.35,12.7118,7.4268,12.33,14.545,9
"p417","historic","historic","2000",0.27,0,0,27,85.19,4.7302,0.1333,0,1,0.1,0,0,0,0,0,0.2,0,0,0,0,0,12.9468,3.5286,10.025,10.842,10
"p417","historic","historic","2000",0.17,0,0,14,81.5,4.9615,0.1667,0,0.75,0.1,0.1,0,0,0,0,0,0,0,0,0.15,0.35,10.9221,6.2722,9.062,16.9194,11
"p417","historic","historic","2000",0.3,0,0,36,89.8,5.1548,0.0833,0,1,0,0.08,0,0,0,0,0,0,0,0,0.15,0.15,13.1755,3.7193,10.7048,14.5879,12
"p417","historic","historic","2000",0.23,0,0,12,80.85,5.1474,0.0167,0,1,0.05,0.07,0,0,0,0,0,0,0,0,0,0,10.4992,3.7982,9.064,10.9593,13
