"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p102","historic","historic","2000",0.25,0.1,0,45,109.07,5.1581,0.15,0,0.4,0,0.05,0,0,0.1,0,0,0,0,0,0,0.25,14.1942,7.7156,14.8763,17.3099,1
"p102","historic","historic","2000",0.27,0.25,0,30,103.84,4.9753,0.05,0,0.7,0,0.11,0,0,0,0,0.1,0,0,0,0,0.2,14.2575,6.0869,13.3368,15.4773,2
"p102","historic","historic","2000",0.34,0,0,48,98.86,5.0694,0.0833,0,0.35,0,0.11,0,0,0,0,0.25,0,0,0,0,0.3,14.6104,7.7653,10.8643,16.4864,3
"p102","historic","historic","2000",0.28,0.15,0,46,98.72,5.1063,0.1333,0,0.75,0,0.05,0.05,0,0,0,0,0,0,0,0,0.1,15.9096,5.8453,14.4765,16.6708,4
"p102","historic","historic","2000",0.41,0,0,34,102.04,5.1091,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,13.8663,7.1842,11.6642,17.251,5
"p102","historic","historic","2000",0.05,0.15,0,48,92.24,5.0743,0.05,0,0.9,0,0.13,0,0,0.15,0,0.15,0,0.1,0.05,0,0.35,14.9949,6.8265,17.3277,18.0227,6
"p102","historic","historic","2000",0.4,0,0,37,109.86,5.0156,0.2,0,0.4,0,0.21,0,0,0,0,0,0,0,0,0,0.45,14.1571,7.9587,15.6968,19.1424,7
"p102","historic","historic","2000",0.36,0,0,53,94.21,5.1244,0.0833,0,0.65,0,0.1,0,0,0,0,0,0,0,0,0,0.05,15.689,7.1491,13.8532,13.8045,8
"p102","historic","historic","2000",0.32,0,0,39,111.4,5.3285,0.1167,0,0.15,0,0.17,0.05,0,0,0,0,0,0,0,0,0.15,13.3931,8.4918,12.4817,16.7919,9
"p102","historic","historic","2000",0.07,0.1,0,29,101.77,4.9031,0.15,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.25,13.6209,8.7202,12.2488,16.9871,10
"p102","historic","historic","2000",0.33,0,0,30,112.05,4.9451,0.1667,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.45,13.0567,6.1414,11.508,16.8908,11
"p102","historic","historic","2000",0.17,0.85,0,59,94.23,4.9104,0.1333,0,0.75,0,0.14,0,0,0,0,0,0,0,0,0,0.15,16.8191,6.7742,13.4462,15.2958,12
"p102","historic","historic","2000",0.32,0,0,33,97.19,5.0315,0.0833,0,0.7,0,0.08,0,0,0,0,0,0,0.15,0,0,0.1,13.561,5.5963,10.7005,18.095,13
