"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p239","historic","historic","2000",0.37,0,0,35,106.74,5.3791,0.0833,0,0.45,0,0.08,0,0,0,0,0,0,0.15,0,0.15,0.3,14.557,7.405,14.131,16.8938,1
"p239","historic","historic","2000",0.32,0.25,0,49,100.76,5.157,0.1167,0,0.25,0,0.05,0,0,0,0,0,0,0,0,0,0.1,15.1166,7.9708,14.9188,16.9156,2
"p239","historic","historic","2000",0.06,0,0,41,110.36,5.2029,0.2,0,0.45,0,0.18,0,0,0,0,0,0,0,0,0,0.35,14.2154,7.3695,15.0022,16.0432,3
"p239","historic","historic","2000",0.27,0,0,42,112.15,5.5034,0.1833,0,0.5,0,0.13,0,0,0,0,0.15,0,0,0,0,0,14.5707,7.863,13.1898,15.4908,4
"p239","historic","historic","2000",0.27,0.1,0,41,106.18,5.3198,0.1167,0,0.45,0,0.05,0,0,0,0,0,0,0,0,0,0.2,14.7172,7.6119,13.183,17.2401,5
"p239","historic","historic","2000",0.43,0.2,0,58,104.54,5.5372,0.1,0,0.3,0,0.05,0,0,0,0,0.15,0,0,0,0,0.3,16.2664,8.4532,12.9995,19.6176,6
"p239","historic","historic","2000",0.38,0,0,37,99.97,4.9106,0.1167,0,0.4,0,0.07,0,0,0,0,0.1,0,0,0,0,0.1,13.8164,7.7788,15.1517,14.4145,7
"p239","historic","historic","2000",0.11,0,0,43,110.16,5.7831,0.1667,0,0.25,0,0.2,0,0,0,0,0.1,0,0.2,0.1,0,0.3,14.8278,8.6799,16.2667,19.2839,8
"p239","historic","historic","2000",0.35,0,0,51,112.9,5.1325,0.1833,0,0,0,0.07,0,0,0,0,0.25,0,0,0,0,0.4,15.4773,9.553,14.767,16.7587,9
"p239","historic","historic","2000",0.19,0.1,0,48,109.03,4.8646,0.2,0,0.95,0,0.06,0,0,0,0,0,0,0,0,0,0,15.4546,6.1482,12.4718,13.1324,10
