"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p133","historic","historic","2000",0.33,0.1,0,36,104.46,5.1918,0.1667,0,0.5,0,0.15,0,0,0,0,0,0,0.1,0,0,0.15,14.4814,7.2733,14.417,17.1628,1
"p133","historic","historic","2000",0.27,0,0,49,99.75,5.0258,0.1167,0,0.3,0,0.07,0,0,0,0,0.1,0,0,0,0,0.25,14.9949,7.6399,15.021,16.5748,2
"p133","historic","historic","2000",0.34,0.1,0,42,110.2,4.9272,0.0667,0,0.55,0,0.05,0,0,0,0,0.1,0,0,0,0,0.25,14.4104,6.9302,14.3157,16.2488,3
"p133","historic","historic","2000",0.17,0,0,39,112.03,5.4149,0.15,0,0.55,0,0.09,0,0,0,0,0,0,0,0,0,0.1,14.423,7.6253,13.4558,15.167,4
"p133","historic","historic","2000",0.46,0,0,36,105.85,5.1748,0.1333,0,0.45,0,0.14,0,0,0,0,0,0,0,0.05,0,0.35,14.6775,7.4034,13.082,16.9816,5
"p133","historic","historic","2000",0.06,0.1,0,56,102.52,5.5864,0.1833,0,0.3,0.05,0.2,0,0,0,0,0,0,0,0.05,0,0.55,16.1651,8.3258,13.3875,19.4735,6
"p133","historic","historic","2000",0.47,0,0,36,98.3,4.9687,0.15,0,0.35,0,0.05,0.05,0,0,0,0,0,0,0,0,0.1,13.5703,7.9197,15.5733,14.172,7
"p133","historic","historic","2000",0.33,0,0,44,109.39,5.5286,0.1667,0,0.35,0,0.12,0,0,0,0,0,0,0.25,0.05,0,0.15,14.822,8.6125,16.6137,19.8898,8
"p133","historic","historic","2000",0.28,0.2,0,46,112.1,4.8008,0.2167,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.15,15.3565,9.5388,14.8448,17.2028,9
"p133","historic","historic","2000",0.11,0,0,47,107.62,4.7321,0.1333,0,0.85,0,0.05,0,0,0,0,0.2,0,0,0,0,0,15.2662,6.1067,12.5257,13.132,10
"p133","historic","historic","2000",0.31,0,0,26,94.5,5.0636,0.25,0,0.5,0,0.05,0,0,0,0,0,0,0.1,0,0,0.75,13.8913,9.2118,11.713,19.2508,11
"p133","historic","historic","2000",0.32,0,0,49,106.63,5.1924,0.15,0,0.45,0,0.18,0,0,0,0,0,0,0.05,0,0,0.4,15.2571,6.7191,13.7867,17.0274,12
"p133","historic","historic","2000",0.34,0,0,31,92.55,5.2536,0.1333,0,0.65,0,0.2,0,0,0,0,0,0,0,0,0.15,0.15,13.4716,6.449,12.2928,13.4724,13
"p133","historic","historic","2000",0.17,0.1,0,43,104.31,5.2332,0.15,0,0.75,0,0.05,0,0,0,0,0,0,0.2,0,0,0.15,14.0274,6.4711,10.9802,17.7744,14
"p133","historic","historic","2000",0.25,0,0,45,105.08,5.0585,0.15,0,0.35,0,0.06,0,0,0,0,0,0,0,0,0,0.25,14.6136,7.196,13.1737,15.4123,15
"p133","historic","historic","2000",0.32,0,0,57,100.28,5.3058,0.15,0,0.35,0,0.18,0,0,0,0,0,0,0.05,0,0,0.55,16.437,7.5924,14.1808,17.9277,16
"p133","historic","historic","2000",0.05,0,0,39,100.87,5.3559,0.1667,0,0.55,0,0.08,0,0,0,0,0,0,0.2,0,0,0.4,13.8623,7.32,14.5425,18.7297,17
"p133","historic","historic","2000",0.16,0.2,0,53,108.01,4.6291,0.1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,16.8902,9.3518,12.3698,15.4586,18
"p133","historic","historic","2000",0.67,0.65,0,55,109.41,5.0943,0.2,0,0.65,0,0.05,0,0,0,0,0,0,0.05,0,0,0.25,16.591,8.3082,12.7508,17.9111,19
"p133","historic","historic","2000",0.58,0.15,0,41,101.67,5.1833,0.2,0,0.7,0,0.05,0,0,0,0,0.1,0,0,0,0,0.15,14.5104,9.1763,12.0332,16.1159,20
"p133","historic","historic","2000",0.61,0,0,49,98.12,5.36,0.1333,0,0.15,0,0.12,0,0,0,0,0.15,0,0,0,0,0.2,15.6809,8.9664,14.9025,17.0553,21
"p133","historic","historic","2000",0.34,0.1,0,44,108.37,4.8652,0.0833,0,0.45,0,0.06,0,0,0,0,0,0,0.15,0,0.3,0.55,15.2662,7.1904,13.6285,19.2032,22
"p133","historic","historic","2000",0.23,0,0,41,111.3,5.52,0.05,0,0.4,0,0.06,0,0,0,0,0.15,0,0,0,0,0.35,14.8495,7.4745,13.9577,18.8173,23
"p133","historic","historic","2000",0.21,0,0,58,108.45,4.9084,0.0667,0,0.05,0,0.11,0,0,0,0,0.15,0,0,0,0,0.15,15.4371,9.0902,13.1703,15.6327,24
"p133","historic","historic","2000",0.26,0.35,0,48,86.67,4.9689,0.15,0,0.5,0,0,0.05,0,0,0,0.35,0,0.1,0,0,0.4,15.0985,8.0573,16.7435,17.9297,25
"p133","historic","historic","2000",0.14,0.15,0,58,108.48,5.3207,0.2167,0,0.1,0,0.09,0,0,0,0,0.25,0,0,0,0,0.35,16.2995,9.6768,15.237,15.4065,26
"p133","historic","historic","2000",0.25,0.1,0,31,100.34,4.5519,0.2333,0,0,0,0.05,0,0,0,0,0.1,0,0,0.05,0.3,0.9,14.2879,9.5468,12.9372,17.41,27
"p133","historic","historic","2000",0.34,0,0,41,107.56,5.3656,0.2,0,0.2,0,0.15,0.05,0,0,0,0.1,0,0.1,0,0,0.1,14.8745,8.0547,15.5162,17.847,28
"p133","historic","historic","2000",0.3,0,0,27,102.64,5.1795,0.1167,0,0.25,0,0,0,0,0,0,0,0,0,0.05,0,0.15,13.3549,8.2379,13.8503,14.0368,29
"p133","historic","historic","2000",0.29,0.1,0,43,106.43,5.1784,0.1667,0,0,0,0.06,0,0,0,0,0.1,0,0.15,0.05,0,0.25,14.8686,7.4817,14.1125,18.5726,30
"p133","historic","historic","2000",0.26,0,0,43,108.39,5.2147,0.0667,0,0.65,0,0.18,0,0,0,0,0.1,0,0,0,0,0.05,15.0694,6.1406,13.7867,13.0506,31
"p133","historic","historic","2000",0.19,0,0,42,97.94,4.9119,0.1333,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,15.0609,9.4111,11.8647,15.78,32
"p133","historic","historic","2000",0.4,0.1,0,46,99.67,5.0365,0.1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.05,16.0055,7.3564,12.6813,13.3922,33
"p133","historic","historic","2000",0.3,0,0,36,101.88,5.0843,0.1833,0,0.15,0,0.09,0,0,0,0,0,0,0.05,0.05,0,0.15,13.1496,9.1064,12.8933,18.4282,34
"p133","historic","historic","2000",0.28,0,0,48,102.26,4.8487,0.1333,0,1,0,0.16,0,0,0,0,0,0,0,0,0,0.3,14.8272,5.5968,13.8888,16.952,35
