"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p248","historic","historic","2000",0.32,0.25,0,37,101.57,5.5668,0.1167,0,0.6,0,0.1,0,0,0,0,0,0,0.15,0,0.15,0.4,14.1361,7.2373,14.1128,17.0638,1
"p248","historic","historic","2000",0.34,0.1,0,45,99.48,5.2644,0.1333,0,0.35,0,0.14,0,0,0,0,0.1,0,0,0,0,0.4,14.8227,7.5717,14.9895,16.8533,2
"p248","historic","historic","2000",0.13,0.15,0,39,109.36,5.2355,0.1167,0,0.7,0,0.07,0,0,0,0,0,0,0,0,0,0.15,14.1067,6.7449,14.3733,16.4815,3
"p248","historic","historic","2000",0.27,0,0,43,111.45,5.5372,0.1667,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.05,14.3939,7.41,13.1308,15.2274,4
"p248","historic","historic","2000",0.32,0.1,0,37,105.52,5.2768,0.2,0,0.5,0,0.06,0,0,0,0,0,0,0,0,0,0.3,14.4849,7.3032,12.5367,16.8243,5
"p248","historic","historic","2000",0.25,0,0,55,102.62,5.8154,0.2167,0,0.35,0,0.07,0,0,0,0,0.1,0,0,0,0,0.55,16.0435,8.3172,12.8107,19.0176,6
"p248","historic","historic","2000",0.35,0,0,37,95.69,5.3298,0.1,0,0.5,0,0.08,0,0,0,0,0,0,0,0,0,0.05,13.364,7.5948,15.1673,14.4832,7
"p248","historic","historic","2000",0.23,0.25,0,42,108.35,5.8325,0.2167,0,0.45,0,0,0,0,0,0,0,0,0.2,0.05,0,0.55,14.7355,8.4446,16.5538,18.9826,8
"p248","historic","historic","2000",0.35,0.2,0,49,110.78,5.2013,0.2333,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.35,15.3651,9.662,14.7027,16.9971,9
"p248","historic","historic","2000",0.27,0,0,47,106.76,4.952,0.1333,0,1,0.05,0.1,0,0,0,0,0,0,0,0,0.3,0,15.2941,5.7997,12.2388,13.0732,10
"p248","historic","historic","2000",0.34,0,0,31,95.81,5.1415,0.2167,0,0.55,0,0.08,0,0,0,0,0.1,0,0.05,0,0.15,0.6,13.9127,8.869,11.289,18.9639,11
"p248","historic","historic","2000",0.2,0,0,49,105.75,5.5828,0.2333,0,0.7,0,0.05,0,0,0,0,0.1,0,0.05,0,0,0.65,15.1171,6.7328,13.1953,16.8433,12
"p248","historic","historic","2000",0.32,0,0.1,27,91.24,5.4096,0.15,0,0.8,0,0.05,0,0,0,0,0.1,0,0,0,0,0,13.2477,6.0502,11.69,13.479,13
"p248","historic","historic","2000",0.16,0,0,36,105.61,5.2801,0.0833,0,0.95,0,0.17,0,0,0,0,0,0,0.1,0,0,0.35,13.821,5.8239,11.838,17.2173,14
"p248","historic","historic","2000",0.12,0,0,44,103.77,5.283,0.0833,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.2,14.4468,6.8592,13.2387,15.44,15
"p248","historic","historic","2000",0.24,0.2,0,53,103.74,5.5826,0.1333,0,0.3,0,0.11,0,0,0,0,0,0,0.05,0.1,0,0.1,16.3635,7.6087,13.448,18.2847,16
"p248","historic","historic","2000",0.11,0,0,38,101.61,5.5203,0.1167,0,0.75,0,0.05,0,0,0,0,0.1,0,0.1,0.05,0,0.2,13.6429,6.8453,14.0127,19.0825,17
"p248","historic","historic","2000",0.14,0.1,0,62,109.49,4.7239,0.1167,0,0,0,0.11,0,0,0.1,0,0,0,0,0,0.3,0.25,16.9373,8.8901,12.6157,15.2141,18
"p248","historic","historic","2000",0.54,0.5,0,53,108.88,5.4719,0.1167,0,0.65,0,0.07,0,0,0,0,0,0,0.05,0,0.3,0.15,16.4264,7.942,12.7978,18.0388,19
"p248","historic","historic","2000",0.47,0.1,0,38,101.27,5.4641,0.2167,0,0.65,0,0.08,0,0,0,0,0,0,0,0,0,0.35,14.1197,9.0078,11.6932,16.273,20
"p248","historic","historic","2000",0.47,0.2,0,50,98.72,5.6497,0.1333,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0.2,15.5859,8.6384,14.8322,17.1244,21
"p248","historic","historic","2000",0.17,0,0,39,108.42,5.0653,0.0833,0,0.55,0,0,0,0,0,0,0.1,0,0.2,0,0,0.45,15.0541,6.8586,13.2368,19.5512,22
"p248","historic","historic","2000",0.32,0,0,41,110.15,5.5883,0.1167,0,0.45,0,0.13,0,0,0,0,0,0,0,0,0.15,0.5,14.9564,7.1269,13.9758,18.5,23
"p248","historic","historic","2000",0.32,0,0,57,107.43,5.3092,0.15,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.25,15.4902,9.5459,12.4853,15.9792,24
"p248","historic","historic","2000",0.31,0.1,0,49,83.53,5.2664,0.1833,0,0.5,0,0.05,0,0,0,0,0.1,0,0.05,0.05,0,0.3,15.0615,8.0966,16.1983,17.9801,25
"p248","historic","historic","2000",0.28,0.1,0,55,108.34,5.6548,0.15,0,0.1,0,0.1,0,0,0,0,0.25,0,0.05,0,0.15,0.15,16.2181,9.4911,14.585,15.8044,26
"p248","historic","historic","2000",0.19,0.6,0,33,96.97,4.9415,0.2167,0,0.15,0,0,0,0,0,0,0,0,0,0,0.15,0.3,14.1927,9.387,12.0033,17.6197,27
"p248","historic","historic","2000",0.32,0.15,0,37,104.83,5.6872,0.15,0,0.3,0,0.24,0,0,0,0,0,0,0.1,0,0,0.05,14.8922,7.9494,15.6707,18.1039,28
"p248","historic","historic","2000",0.24,0,0,28,100.06,5.3938,0.1,0,0.35,0,0.08,0,0,0,0,0,0,0,0,0,0.1,13.072,7.7369,13.771,14.0596,29
"p248","historic","historic","2000",0.3,0.1,0,40,106.03,5.4717,0.0667,0,0.15,0,0.13,0,0,0,0,0.1,0,0,0,0,0.3,14.7251,7.3644,13.8157,18.3188,30
"p248","historic","historic","2000",0.25,0,0,42,108.64,5.5124,0.1,0,0.7,0,0,0,0,0,0,0,0,0,0,0.15,0.3,14.9015,6.0956,13.3972,12.8368,31
"p248","historic","historic","2000",0.18,0,0,41,96.75,5.1451,0.1167,0,0.1,0,0.16,0,0,0,0,0,0,0,0,0.15,0.1,14.9751,8.7855,13.0283,15.8424,32
"p248","historic","historic","2000",0.42,0.4,0,46,99.56,5.2855,0.05,0,0.7,0,0.13,0,0,0,0,0,0,0,0,0,0.1,15.9137,7.0139,12.468,13.6266,33
"p248","historic","historic","2000",0.19,0,0,32,100.74,5.4657,0.25,0,0.25,0,0.16,0,0,0,0,0,0,0.05,0,0,0.35,12.6083,8.8224,13.1328,18.3914,34
"p248","historic","historic","2000",0.21,0,0,52,101.76,5.1423,0.1167,0,1,0,0.11,0,0,0,0,0,0,0,0,0,0.25,14.8538,5.5082,13.5613,17.0655,35
"p248","historic","historic","2000",0.18,0.4,0,42,101.42,5.3254,0.2,0,0.2,0,0.06,0,0,0,0,0,0,0,0,0,0.25,15.5131,7.8708,12.6,16.4155,36
"p248","historic","historic","2000",0.19,0.25,0.15,45,106.18,5.2764,0.15,0,0.75,0,0.08,0,0,0.4,0,0,0,0,0,0,0,15.1838,5.1699,17.5985,13.9443,37
"p248","historic","historic","2000",0.1,0.1,0,54,112.33,5.0732,0.2,0,0.15,0,0.1,0,0,0,0,0,0,0.05,0.05,0,0.25,15.02,8.2553,9.9198,17.005,38
"p248","historic","historic","2000",0.13,0,0,39,106.04,5.0488,0.1333,0,0.85,0,0.24,0,0,0.25,0,0,0,0.05,0,0,0.05,14.8466,5.7887,16.3933,18.0685,39
"p248","historic","historic","2000",0.19,0,0,34,106.23,5.3402,0.1333,0,0.95,0.05,0.18,0,0,0,0,0,0,0,0,0,0.2,13.1703,7.0246,12.1333,17.8597,40
"p248","historic","historic","2000",0.32,0.55,0,64,110.6,4.8511,0.15,0,0.45,0,0.06,0,0,0,0,0,0,0,0,0,0.1,16.5648,7.6514,13.1727,17.401,41
"p248","historic","historic","2000",0.17,0.25,0,53,103.41,5.6415,0.2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,15.4758,9.9426,11.7578,14.0814,42
"p248","historic","historic","2000",0.21,0.1,0,45,108.06,5.0835,0.0667,0,0.8,0,0,0,0,0,0,0.1,0,0.05,0,0,0.2,14.582,6.2314,13.7907,18.4774,43
"p248","historic","historic","2000",0.1,0,0,50,97.78,5.1203,0.1667,0,0.55,0,0.11,0,0,0,0,0,0,0.05,0.05,0,0.05,14.3088,7.4768,13.4525,17.2244,44
"p248","historic","historic","2000",0.07,0,0,54,97.79,5.1207,0.0667,0,0.45,0,0.06,0,0,0,0,0,0,0.1,0,0.15,0.2,16.2533,7.182,13.1855,17.3172,45
"p248","historic","historic","2000",0.29,0.25,0,49,99.7,5.2257,0.1667,0,0.15,0,0.07,0,0,0,0,0,0,0,0,0,0.4,16.0779,8.9206,14.5757,17.7109,46
"p248","historic","historic","2000",0.24,0.15,0,37,102.77,4.7203,0.15,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0.15,13.9509,6.305,14.5643,16.3285,47
"p248","historic","historic","2000",0.21,0.35,0,42,102.3,5.3534,0.1333,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.25,14.9098,8.1589,12.9213,18.6033,48
"p248","historic","historic","2000",0.35,0,0,32,101.08,5.3566,0.1667,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0.4,13.6042,8.4072,15.5572,17.2471,49
"p248","historic","historic","2000",0.24,0,0,21,99.12,4.8355,0.0333,0,0.9,0,0.05,0,0,0,0,0.1,0,0,0,0,0.2,12.6114,5.0392,14.4525,14.1517,50
"p248","historic","historic","2000",0.15,0.25,0,51,101.96,5.1807,0.15,0,0.35,0,0.17,0,0,0,0,0,0,0,0,0,0.4,16.1681,8.0991,13.7177,16.2853,51
"p248","historic","historic","2000",0.3,0,0,32,103.74,5.048,0.0833,0,0.3,0,0.06,0,0,0,0,0,0,0,0,0,0,14.3023,7.9942,11.6413,14.0762,52
"p248","historic","historic","2000",0.17,0,0,47,108.6,5.1187,0.1,0,0.25,0,0.18,0,0,0,0,0,0,0,0,0,0.4,15.6035,8.3862,11.027,16.6884,53
"p248","historic","historic","2000",0.17,0,0,33,103.91,4.9715,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0.2,0,0,0.4,14.2269,8.5378,12.2438,19.6144,54
"p248","historic","historic","2000",0.39,0,0,29,99.78,5.064,0.1833,0,0.35,0,0.1,0,0,0,0,0.1,0,0,0.05,0.45,0.3,13.9255,7.8514,12.7087,16.6839,55
"p248","historic","historic","2000",0.26,0,0,50,100.34,5.1495,0.0833,0,0.5,0,0.06,0,0,0,0,0,0,0,0,0,0.25,15.2217,7.7083,11.2115,16.0909,56
"p248","historic","historic","2000",0.17,0,0,57,109.28,5.5081,0.2167,0,0.35,0,0.12,0,0,0,0,0,0,0,0,0,0.55,15.856,8.7017,11.7102,16.805,57
"p248","historic","historic","2000",0.34,0,0,39,93.16,5.2337,0.2833,0,0.35,0,0.13,0,0,0,0,0,0,0,0,0,0.2,13.5499,8.7118,12.067,15.9371,58
"p248","historic","historic","2000",0.37,0,0,51,107.47,5.1681,0.15,0,0.15,0,0.21,0,0,0,0,0,0,0,0,0,0.15,16.0301,8.2401,15.0612,15.4421,59
