"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p536","historic","historic","2000",0.12,0,0,40,98.96,5.1199,0.0833,0,0.9,0,0.19,0,0,0,0,0,0,0,0,0,0.05,14.1785,6.4251,11.082,14.1369,1
"p536","historic","historic","2000",0.1,0,0,38,103.02,5.1487,0.15,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.35,14.2584,7.919,12.0245,15.6924,2
"p536","historic","historic","2000",0.18,0,0,38,104.37,5.3494,0.2167,0,0.85,0,0.05,0,0,0,0,0,0,0,0,0,0,14.1693,6.473,14.1523,14.9315,3
"p536","historic","historic","2000",0.25,0,0,28,104.71,4.8178,0.25,0,0.25,0,0.1,0,0,0,0,0,0,0,0,0,0.2,12.7826,8.1682,10.897,14.3312,4
"p536","historic","historic","2000",0.07,0,0,53,104.16,5.2856,0.15,0,0.45,0.05,0.19,0,0,0,0,0,0,0,0,0,0,14.5933,7.2176,14.1382,14.4597,5
"p536","historic","historic","2000",0.37,0,0,38,111.63,5.3721,0.0833,0,0.7,0.15,0.06,0,0,0,0,0,0,0,0,0,0.15,13.4459,7.0054,8.707,13.3324,6
"p536","historic","historic","2000",0.15,0,0,33,97.82,5.5777,0.0667,0,0.9,0,0.2,0,0,0,0,0,0,0,0,0,0.05,14.1178,6.5616,10.4145,12.6818,7
"p536","historic","historic","2000",0.22,0.3,0,30,105.79,5.1228,0.1667,0,0.3,0,0.17,0,0,0,0,0,0,0,0,0,0.45,13.0324,7.626,11.917,17.7459,8
"p536","historic","historic","2000",0.22,0,0,38,92.96,4.9481,0.0833,0,1,0,0,0,0,0,0,0.15,0,0,0,0,0,14.7547,5.665,13.0293,14.8532,9
"p536","historic","historic","2000",0.37,0,0,53,98.28,5.3073,0.15,0,1,0.05,0.05,0,0,0,0,0.1,0,0,0,0,0.2,15.2066,5.4592,13.3622,13.7398,10
"p536","historic","historic","2000",0.26,0,0,54,95.96,5.2728,0.0833,0,0.3,0,0.05,0,0,0,0,0,0,0,0,0,0.1,15.8775,8.0149,13.6102,14.4188,11
"p536","historic","historic","2000",0,0,0,12,101.24,5.2266,0.2,0,0.7,0,0.13,0,0,0,0,0,0,0,0,0,0.2,11.8571,7.1864,12.696,15.7932,12
"p536","historic","historic","2000",0.17,0,0,54,98.93,5.4897,0.35,0,0.25,0,0.16,0,0,0,0,0,0,0,0,0,0.3,15.0829,9.1679,15.0045,13.7594,13
"p536","historic","historic","2000",0.39,0,0,39,96.27,5.2173,0.25,0,0.25,0.05,0,0,0,0,0,0,0,0,0,0,0,13.3023,8.7544,13.1883,15.7953,14
"p536","historic","historic","2000",0.16,0,0,38,102.2,5.092,0.2167,0,0.35,0,0,0,0,0,0,0.2,0,0,0,0,0.25,13.5543,7.3998,13.619,16.9656,15
"p536","historic","historic","2000",0.35,0,0,33,106.24,4.9925,0.1833,0,0.4,0,0,0,0,0,0,0.35,0,0,0,0,0.5,13.5813,6.6073,13.6868,15.6864,16
"p536","historic","historic","2000",0.17,0,0,39,101.83,5.1913,0.1833,0,0.25,0,0.05,0,0,0,0,0,0,0,0,0,0.05,13.4712,8.4627,14.896,15.2168,17
"p536","historic","historic","2000",0.23,0,0,40,87.93,4.9492,0.1167,0,1,0.05,0.12,0,0,0,0,0,0,0,0,0,0.05,12.661,5.2178,10.5248,13.4821,18
"p536","historic","historic","2000",0.2,0.1,0,30,100.04,4.994,0.0667,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0.05,12.9839,5.4184,10.2253,13.7365,19
"p536","historic","historic","2000",0.44,0.15,0,54,101.64,5.4189,0.1333,0,1,0,0.13,0,0,0,0,0,0,0,0.05,0,0.45,15.7524,5.4607,13.291,17.3414,20
"p536","historic","historic","2000",0.07,0.2,0,39,99.05,5.0004,0.1,0,0.55,0,0.14,0,0,0,0,0,0,0,0,0,0.35,14.482,6.2292,12.8555,16.5669,21
"p536","historic","historic","2000",0.11,0,0,22,95.26,5.1439,0.1333,0,0.1,0,0.05,0,0,0,0,0.15,0,0,0,0,0.4,12.3458,7.9858,14.793,16.8068,22
"p536","historic","historic","2000",0.43,0,0,36,106.92,5.2032,0.1,0,0.55,0.05,0.09,0,0,0,0,0,0,0,0,0,0,13.8494,8.1718,9.9158,11.7092,23
"p536","historic","historic","2000",0.3,0,0,22,97.99,4.8787,0.0833,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.05,12.7637,6.2812,13.3063,16.7473,24
