"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p363","historic","historic","2000",0.24,0,0,22,86.06,5.0131,0.0333,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,11.7314,3.9054,11.6637,14.9438,1
"p363","historic","historic","2000",0.29,0,0,19,84.03,4.8183,0.0167,0,1,0,0.12,0,0,0,0,0.15,0,0,0,0.15,0.1,12.1537,4.3803,12.5407,13.9074,2
"p363","historic","historic","2000",0.15,0,0,17,96.51,5.1077,0.1167,0,1,0.05,0.13,0,0,0,0,0,0,0,0,0,0.15,11.2328,4.6778,12.4488,13.5812,3
"p363","historic","historic","2000",0.37,0,0,19,100.42,5.3979,0.0333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.9225,4.4733,10.8768,12.8521,4
"p363","historic","historic","2000",0.28,0,0,9,88.51,4.9215,0.0667,0,1,0.2,0.09,0,0,0,0,0.1,0,0,0,0,0.15,11.743,4.5554,10.459,14.5901,5
"p363","historic","historic","2000",0.41,0,0,36,92.07,5.5128,0.1667,0,0.85,0.15,0.08,0,0,0,0,0.1,0,0,0,0,0.4,13.5846,5.442,10.7403,17.5159,6
"p363","historic","historic","2000",0.26,0,0,10,75.71,4.4589,0.0833,0,0.9,0,0.05,0,0,0,0,0,0,0,0,0,0,10.6047,4.8063,13.3522,12.0285,7
"p363","historic","historic","2000",0.33,0,0,34,97.38,5.3222,0.0833,0,0.95,0,0.06,0,0,0,0,0,0,0,0,0,0.15,12.437,5.2687,14.1445,16.833,8
"p363","historic","historic","2000",0.44,0,0,28,95.01,4.5208,0.0833,0,0.3,0.05,0.05,0,0,0,0,0,0,0,0,0,0.1,13.0001,6.1941,12.4133,15.0481,9
"p363","historic","historic","2000",0.25,0.1,0,23,88.78,4.7573,0.15,0,1,0.05,0.13,0,0,0,0,0,0,0,0,0,0,12.6599,3.1884,10.5127,10.6588,10
"p363","historic","historic","2000",0.25,0,0,14,82.27,4.8279,0.2,0,0.65,0,0.06,0,0,0,0,0,0,0,0,0,0.1,11.0599,6.695,9.4938,17.2939,11
"p363","historic","historic","2000",0.28,0,0,24,89.25,5.0477,0.0167,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,12.6446,3.3004,10.8957,15.2747,12
"p363","historic","historic","2000",0.24,0,0,7,76.88,4.8681,0.0167,0,1,0.05,0.13,0,0,0,0,0,0,0,0,0,0,10.511,3.2682,9.426,10.9393,13
"p363","historic","historic","2000",0.34,0,0,25,92.09,5.2526,0.1,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0.15,11.5733,3.72,8.377,14.7429,14
"p363","historic","historic","2000",0.1,0,0,29,92.8,4.9875,0.0667,0,1,0.1,0.11,0,0,0,0,0,0,0,0,0,0,11.6736,3.7554,10.8693,12.92,15
"p363","historic","historic","2000",0.11,0,0,29,91.67,5.2903,0.05,0,0.95,0,0.05,0,0,0,0,0,0,0,0,0,0.35,13.703,4.9928,11.1225,15.1986,16
"p363","historic","historic","2000",0.13,0,0,21,83.7,4.8993,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4,11.0173,3.8453,12.038,16.1169,17
"p363","historic","historic","2000",0.11,0,0,35,89.8,4.3538,0.0333,0,0.85,0.05,0.11,0,0,0,0,0,0,0,0,0,0,14.407,6.0819,10.2447,13.1089,18
"p363","historic","historic","2000",0.44,0.3,0,35,92.88,4.7099,0.15,0,1,0,0.12,0,0,0,0,0,0,0,0,0.15,0.1,14.0499,5.3063,10.4842,15.7421,19
