"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p134","historic","historic","2000",0.33,0.15,0,49,103.14,5.107,0.1833,0,0.55,0,0.15,0,0,0,0,0,0,0,0,0,0.35,15.2558,7.7883,12.3095,15.2059,1
"p134","historic","historic","2000",0.37,0.25,0,45,106.1,5.0863,0.1833,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.25,15.5369,8.8073,13.1673,16.9079,2
"p134","historic","historic","2000",0.34,0,0,47,108.07,4.8523,0.15,0,0.75,0,0.05,0,0,0,0,0.1,0,0,0,0,0.2,15.0385,7.1016,15.0342,15.8097,3
"p134","historic","historic","2000",0.17,0,0,40,106.35,4.9172,0.2333,0,0.1,0,0.11,0,0,0,0,0,0,0,0,0,0.05,13.5221,9.0117,12.1418,15.3274,4
"p134","historic","historic","2000",0.41,0.1,0.15,54,107.69,5.2669,0.1167,0,0.3,0,0.18,0,0,0.1,0,0,0,0,0,0,0.15,15.5018,7.9425,15.0042,14.7157,5
"p134","historic","historic","2000",0.15,0,0,44,113.46,5.1127,0.1667,0,0.4,0,0.15,0,0,0,0,0,0,0,0,0,0.2,14.2787,7.9638,10.008,14.2633,6
"p134","historic","historic","2000",0.46,0.2,0,45,103.33,5.323,0.1833,0,0.45,0,0.05,0,0,0,0,0,0,0,0,0,0.05,15.4317,7.5339,11.1362,13.2233,7
"p134","historic","historic","2000",0.32,0.2,0,36,107.26,4.998,0.1667,0,0.25,0,0.16,0,0,0,0,0,0,0,0,0,0.45,14.0023,8.4058,12.6903,18.9271,8
"p134","historic","historic","2000",0.19,0,0,55,93.08,4.7029,0.15,0,0.85,0,0.13,0,0,0,0,0.1,0,0,0,0,0.05,16.0221,6.7452,14.679,15.1632,9
"p134","historic","historic","2000",0.16,0,0,54,105.39,5.1751,0.1833,0,0.75,0,0.06,0,0,0,0,0.15,0,0,0,0,0.15,15.4563,6.8273,13.961,14.8614,10
"p134","historic","historic","2000",0.31,0.2,0,58,96.96,4.9926,0.1333,0,0.2,0,0.05,0,0,0,0,0,0,0,0,0,0.05,16.6363,8.9596,14.8875,15.0979,11
"p134","historic","historic","2000",0.32,0,0,21,105.7,5.0456,0.1833,0,0.55,0,0.16,0,0,0,0,0,0,0,0,0,0.35,13.1137,8.375,13.2832,16.5111,12
"p134","historic","historic","2000",0.37,0.4,0.1,58,105.71,5.272,0.2333,0,0.2,0,0.14,0,0,0,0,0,0,0,0,0,0.1,16.2358,10.0258,16.1392,14.3551,13
