"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p440","historic","historic","2000",0.19,0.25,0,32,99.39,5.4828,0.0333,0,0.85,0,0,0,0,0,0,0.1,0,0,0,0,0.1,13.3499,5.8455,12.729,15.8459,1
"p440","historic","historic","2000",0.1,0,0,31,92.59,5.3803,0.15,0,0.5,0,0.12,0,0,0,0,0,0,0,0,0,0.1,13.6071,6.5458,14.3545,16.2617,2
"p440","historic","historic","2000",0.16,0,0,23,106.45,5.4538,0.1,0,0.9,0,0.11,0,0,0,0,0.1,0,0,0,0,0.5,12.7808,6.0538,13.6933,14.6668,3
"p440","historic","historic","2000",0.06,0,0,29,106.41,5.5528,0.1167,0,1,0,0.05,0,0,0,0,0.15,0,0,0,0,0.05,13.1455,6.3962,12.4733,13.9932,4
"p440","historic","historic","2000",0.22,0,0,21,102.14,5.7615,0.1667,0,0.6,0.05,0,0,0,0,0,0,0,0,0,0,0.25,13.2405,6.3904,11.5447,16.3062,5
"p440","historic","historic","2000",0.26,0,0,44,101.09,5.4741,0.0833,0,0.45,0.1,0.05,0,0,0,0,0.1,0,0,0,0,0.3,15.171,6.6886,12.0572,18.8261,6
"p440","historic","historic","2000",0.41,0,0,22,91.43,5.1485,0.1333,0,0.7,0,0.09,0,0,0,0,0,0,0,0,0,0.05,12.4125,6.7116,14.5107,13.2183,7
"p440","historic","historic","2000",0.12,0,0,36,103.86,5.8367,0.1167,0,0.7,0,0.08,0,0,0,0,0.65,0,0.15,0,0,0.5,13.6385,7.0231,14.804,18.21,8
"p440","historic","historic","2000",0.27,0,0,37,106.99,5.1848,0.1667,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,14.3249,8.5134,14.1227,16.3982,9
"p440","historic","historic","2000",0.07,0,0,29,98.33,5.0069,0.1333,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,13.9477,4.702,11.7242,12.4142,10
"p440","historic","historic","2000",0.27,0,0,24,91.6,5.1709,0.1667,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.45,12.6172,7.8499,10.546,18.2002,11
"p440","historic","historic","2000",0.27,0,0,39,102.03,5.5132,0.1167,0,0.8,0,0.11,0,0,0,0,0,0,0,0,0,0.35,14.168,5.2115,12.7523,15.9436,12
"p440","historic","historic","2000",0.3,0,0,19,90.83,5.5862,0.1667,0,0.95,0,0.08,0,0,0,0,0,0,0,0,0,0,12.1529,5.3192,11.1438,12.7537,13
"p440","historic","historic","2000",0.13,0,0,34,101.5,5.5864,0.1333,0,1,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0.45,12.9063,5.1349,9.6773,15.7418,14
"p440","historic","historic","2000",0.21,0.2,0,36,97.27,5.3874,0.1,0,0.75,0,0.2,0,0,0,0,0,0,0,0,0,0.05,13.3413,6.06,12.936,14.3462,15
"p440","historic","historic","2000",0.09,0,0,42,95.58,5.4048,0.1167,0,0.45,0,0.05,0,0,0,0,0,0,0,0.05,0,0.15,15.1793,6.3323,12.8357,16.9261,16
"p440","historic","historic","2000",0.34,0,0,36,97.31,5.3506,0.0667,0,0.85,0,0.13,0,0,0,0,0.1,0,0,0,0,0.6,12.8925,5.7049,13.3925,17.1215,17
"p440","historic","historic","2000",0.25,0,0,46,99.51,4.6403,0.1667,0,0.35,0.05,0.06,0,0,0,0,0,0,0,0,0,0.15,16.1164,7.7633,11.6687,14.7452,18
"p440","historic","historic","2000",0.19,0,0,36,102.53,5.217,0.1833,0,0.9,0,0.1,0,0,0,0,0,0,0,0,0,0.35,14.8799,7.5693,11.7213,17.2982,19
"p440","historic","historic","2000",0.23,0,0,30,94.7,5.328,0.05,0,0.8,0,0.07,0,0,0,0,0,0,0,0,0,0.15,12.9335,7.3613,10.9708,15.6345,20
"p440","historic","historic","2000",0.3,0.15,0,41,96.21,5.0837,0.0833,0,0.35,0,0,0,0,0,0,0.1,0,0,0,0,0.15,14.1766,7.1928,13.8398,16.2243,21
"p440","historic","historic","2000",0.31,0.1,0,34,99.61,5.0911,0.2167,0,0.8,0.05,0.16,0,0,0,0,0,0,0.05,0,0,0.45,14.1495,6.2776,13.2245,18.7329,22
"p440","historic","historic","2000",0.52,0,0,34,106.88,5.3659,0.1167,0,0.75,0,0.05,0,0,0,0,0.2,0,0,0,0.15,0.6,14.2721,6.2321,12.9623,16.9733,23
"p440","historic","historic","2000",0.29,0,0,44,103.19,5.1938,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.35,14.4501,7.653,11.6903,14.5512,24
"p440","historic","historic","2000",0.49,0.1,0,34,80.38,5.6653,0.25,0,0.6,0,0.16,0.05,0,0,0,0,0,0.05,0,0,0.1,14.2434,6.9637,15.8962,17.6803,25
"p440","historic","historic","2000",0.35,0.25,0,40,107.48,5.6562,0.1833,0,0.25,0,0.15,0,0,0,0,0.3,0,0,0,0,0.2,15.4061,8.2216,14.2702,14.6129,26
"p440","historic","historic","2000",0.06,0.2,0,25,92.6,4.9407,0.1833,0,0.3,0,0.14,0,0,0,0,0,0,0,0,0,0.3,12.9003,8.3428,12.1435,17.2061,27
