"","id","today","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_today","1",9.32252284397886,10.4958914518699,9.69192727324747,7.60950431117731,6.65187896598993
"marketable_yield_today1","10",9.79556082919565,10.8567693849557,9.78861473176558,7.80116726408025,6.6360838360037
"marketable_yield_today2","100",10.9848297127615,11.2188792341205,10.234173641634,8.14332257249739,6.87491657337447
"marketable_yield_today3","101",10.2019083399359,11.0133145603903,10.0121156962292,7.74585701924747,6.52873787023731
"marketable_yield_today4","102",10.7580290293927,11.3043006993183,10.0849389223086,8.0545884113264,6.62808609605671
"marketable_yield_today5","103",10.6681751727156,11.4948308023645,10.5385353659961,8.42564916851335,7.06006191895856
"marketable_yield_today6","104",10.2103237487687,12.0893312492838,11.549884573895,9.58155653572214,8.30344211774926
"marketable_yield_today7","105",10.6435647500054,12.5612556725233,11.7333143818574,9.58435015543278,8.36811478710179
"marketable_yield_today8","106",11.3458943762893,12.3206181718949,11.7343933265903,9.40364636386092,7.91767091361886
"marketable_yield_today9","107",10.9902492727991,12.138674470628,11.3956773315704,9.30053514872492,8.03196447422469
"marketable_yield_today10","108",11.0678278055298,11.9857586525158,10.8701899701356,8.79738430474622,7.4566241072999
"marketable_yield_today11","109",11.3558689782531,11.1243716142051,9.88068648513304,7.78017269148758,6.28858810611557
"marketable_yield_today12","11",10.1429200150516,12.0059320062365,11.2186633418427,9.07887087917951,7.86551614936318
"marketable_yield_today13","110",10.3481985360303,11.0642509598243,9.91491823337294,7.81329570257526,6.41152633142327
"marketable_yield_today14","111",11.3625176645862,11.2870389952738,10.2272808830834,8.17165979746409,6.6964752002812
"marketable_yield_today15","112",11.2682350324814,11.1587842864342,10.1467557400689,8.01568674616113,6.69211021052831
"marketable_yield_today16","113",11.0045967998303,11.4728557831263,10.5702528964265,8.44706068613395,6.96442132887789
"marketable_yield_today17","114",10.9663687474739,12.6337443089154,11.8614515997275,9.66605096276697,8.43327464705842
"marketable_yield_today18","115",9.60990477920904,12.4626532562208,11.8942809927636,10.0080821124005,8.98511250013673
"marketable_yield_today19","116",10.1528763932258,12.1524516039215,11.6432482292737,9.60395378771443,8.33554896589593
"marketable_yield_today20","117",9.04638391196392,11.819639545139,11.5116622448373,9.67036753859539,8.60572414391462
"marketable_yield_today21","118",8.70466266027894,10.9681157901892,10.9364170705688,9.08568558879971,8.03800955749456
"marketable_yield_today22","119",8.64563146854777,10.5367387941233,10.2428286683112,8.53720629334003,7.48714385765938
"marketable_yield_today23","12",9.69271078691169,12.0708179952271,11.2738831593928,8.99966957346998,7.66526166338418
"marketable_yield_today24","120",7.88775691262428,10.8708262921591,10.9506254070418,9.10980296195969,8.1551934120341
"marketable_yield_today25","121",7.89348700824047,11.104774354258,11.1143679512716,9.36973686013832,8.30291931622779
"marketable_yield_today26","122",7.44541077912147,11.09350319934,11.1585993629616,9.83118802173386,8.92326508113096
"marketable_yield_today27","123",7.43233812023229,10.947645858173,11.2532079651026,9.64474315666568,8.82961640759867
"marketable_yield_today28","124",7.70093446201979,10.6195934145759,10.4386992019715,8.84055530861298,8.08661607854178
"marketable_yield_today29","125",9.07866918282271,11.3188284121872,11.1058947139502,9.2527783039677,8.39535409801663
