"","id","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_ssp1","1",11.7336860789101,3.69404429268609,-17.1301853280155,-26.7064387798893
"marketable_yield_ssp11","10",10.6120855576001,-0.0694609743006502,-19.943935651154,-31.5947699319195
"marketable_yield_ssp12","100",2.34049521358946,-7.50656071127544,-28.4150714026414,-41.0991313938706
"marketable_yield_ssp13","101",8.11406220454352,-1.89792643706706,-24.5605132068847,-36.7317046969863
"marketable_yield_ssp14","102",5.4627166992562,-6.73090107084082,-27.0344061806632,-41.2994293333601
"marketable_yield_ssp15","103",8.26655629648872,-1.29639806719446,-22.4252600420223,-36.0811325375703
"marketable_yield_ssp16","104",18.7900750051514,13.3956082512634,-6.28767213046553,-19.0688163101943
"marketable_yield_ssp17","105",19.176909225179,10.8974963185194,-10.5921459457265,-22.7544996290364
"marketable_yield_ssp18","106",9.7472379560562,3.88498950300987,-19.4224801242835,-34.2822346267041
"marketable_yield_ssp19","107",11.4842519782891,4.0542805877131,-16.8971412407413,-29.5828479857436
"marketable_yield_ssp110","108",9.1793084698592,-1.97637835394202,-22.7044350078362,-36.1120369822993
"marketable_yield_ssp111","109",-2.31497364048034,-14.7518249312007,-35.7569628676552,-50.6728087213754
"marketable_yield_ssp112","11",18.6301199118494,10.7574332679113,-10.6404913587206,-22.7740386568839
"marketable_yield_ssp113","110",7.16052423793991,-4.33280302657353,-25.3490283345503,-39.3667220460702
"marketable_yield_ssp114","111",-0.754786693123854,-11.352367815028,-31.9085786712212,-46.66042464305
"marketable_yield_ssp115","112",-1.09450746047148,-11.2147929241249,-32.5254828632026,-45.7612482195308
"marketable_yield_ssp116","113",4.68258983296051,-4.34343903403732,-25.5753611369633,-40.4017547095239
"marketable_yield_ssp117","114",16.6737556144154,8.95082852253671,-13.0031778470691,-25.3309410041546
"marketable_yield_ssp118","115",28.5274847701172,22.8437621355456,3.98177333191468,-6.24792279072308
"marketable_yield_ssp119","116",19.9957521069573,14.903718360479,-5.48922605511379,-18.1732742732988
"marketable_yield_ssp120","117",27.7325563317503,24.6527833287339,6.23983626631473,-4.40659768049294
"marketable_yield_ssp121","118",22.6345312991024,22.3175441028986,3.81022928520771,-6.66653102784384
"marketable_yield_ssp122","119",18.9110732557551,15.9719719976346,-1.08425175207742,-11.5848761088839
"marketable_yield_ssp123","12",23.7810720831539,15.8117237248111,-6.93041213441717,-20.2744912352752
"marketable_yield_ssp124","120",29.8306937953481,30.6286849441752,12.2204604933541,2.67436499409819
"marketable_yield_ssp125","121",32.1128734601756,32.208809430311,14.7624985189785,4.09432307987324
"marketable_yield_ssp126","122",36.4809242021855,37.1318858384012,23.8577724261239,14.778543020095
"marketable_yield_ssp127","123",35.1530773794072,38.2086984487032,22.1240503643338,13.9727828736638
"marketable_yield_ssp128","124",29.1865895255607,27.3776473995172,11.3962084659319,3.8568161652199
"marketable_yield_ssp129","125",22.4015922936446,20.272255311275,1.74109121144985,-6.83315084806082
"marketable_yield_ssp130","126",-5.20180416117304,-19.0798871256844,-39.8114290354378,-53.0870133145371
"marketable_yield_ssp131","127",5.53665651317219,-6.7854327208105,-27.3119999274552,-40.848380286664
"marketable_yield_ssp132","128",-6.40257944520599,-21.714294968593,-43.1854011820595,-56.9153378345958
"marketable_yield_ssp133","129",-0.827368784671449,-13.2263465282134,-33.6751624117792,-46.7825479390694
"marketable_yield_ssp134","13",18.3584628058859,10.5200678515102,-10.9897122485028,-20.9150092467845
