"","y.actual_yield_today","y.marketable_yield_today","y.id_today","y.actual_yield_ssp1","y.marketable_yield_ssp1","y.id_ssp1","y.actual_yield_ssp2","y.marketable_yield_ssp2","y.id_ssp2","y.actual_yield_ssp3","y.marketable_yield_ssp3","y.id_ssp3","y.actual_yield_ssp5","y.marketable_yield_ssp5","y.id_ssp5","x.photosynthetic_active_days_needed","x.chill_need","x.expected_yield","x.T_opt_fruit","x.summer_drought_stress_dmg","x.summer_insect_dmg","x.summer_disease_dmg","x.spring_disease_dmg","x.spring_frost_dmg","x.fruit_frost_dmg","x.fruit_drought_stress_dmg","x.fruit_hail_dmg","x.fruit_sunburn_dmg","x.fruit_insect_dmg","x.fruit_disease_dmg","x.fruit_snail_dmg","x.harvest_frost_dmg","x.harvest_heat_dmg","x.harvest_hail_dmg","x.harvest_rain_dmg","x.harvest_fly_dmg","x.summer_drought_stress_risk_today","x.summer_insect_risk_today","x.summer_disease_risk_today","x.summer_mean_temp_today","x.pad_today","x.actual_chill_today","x.winter_mean_temp_today","x.spring_pollinator_today","x.spring_disease_risk_today","x.spring_frost_risk_today","x.spring_mean_temp_today","x.fruit_frost_risk_today","x.fruit_drought_stress_risk_today","x.fruit_hail_risk_today","x.fruit_sunburn_risk_today","x.fruit_mean_temp_today","x.fruit_insect_risk_today","x.fruit_disease_risk_today","x.fruit_snail_risk_today","x.T_opt_fruit_today","x.harvest_frost_risk_today","x.harvest_heat_risk_today","x.harvest_hail_risk_today","x.harvest_rain_risk_today","x.harvest_fly_risk_today","x.harvest_mean_temp_today","x.summer_drought_stress_risk_ssp1","x.summer_insect_risk_ssp1","x.summer_disease_risk_ssp1","x.summer_mean_temp_ssp1","x.pad_ssp1","x.actual_chill_ssp1","x.winter_mean_temp_ssp1","x.spring_pollinator_ssp1","x.spring_disease_risk_ssp1","x.spring_frost_risk_ssp1","x.spring_mean_temp_ssp1","x.fruit_frost_risk_ssp1","x.fruit_drought_stress_risk_ssp1","x.fruit_hail_risk_ssp1","x.fruit_sunburn_risk_ssp1","x.fruit_mean_temp_ssp1","x.fruit_insect_risk_ssp1","x.fruit_disease_risk_ssp1","x.fruit_snail_risk_ssp1","x.T_opt_fruit_ssp1","x.harvest_frost_risk_ssp1","x.harvest_heat_risk_ssp1","x.harvest_hail_risk_ssp1","x.harvest_rain_risk_ssp1","x.harvest_fly_risk_ssp1","x.harvest_mean_temp_ssp1","x.summer_drought_stress_risk_ssp2","x.summer_insect_risk_ssp2","x.summer_disease_risk_ssp2","x.summer_mean_temp_ssp2","x.pad_ssp2","x.actual_chill_ssp2","x.winter_mean_temp_ssp2","x.spring_pollinator_ssp2","x.spring_disease_risk_ssp2","x.spring_frost_risk_ssp2","x.spring_mean_temp_ssp2","x.fruit_frost_risk_ssp2","x.fruit_drought_stress_risk_ssp2","x.fruit_hail_risk_ssp2","x.fruit_sunburn_risk_ssp2","x.fruit_mean_temp_ssp2","x.fruit_insect_risk_ssp2","x.fruit_disease_risk_ssp2","x.fruit_snail_risk_ssp2","x.T_opt_fruit_ssp2","x.harvest_frost_risk_ssp2","x.harvest_heat_risk_ssp2","x.harvest_hail_risk_ssp2","x.harvest_rain_risk_ssp2","x.harvest_fly_risk_ssp2","x.harvest_mean_temp_ssp2","x.summer_drought_stress_risk_ssp3","x.summer_insect_risk_ssp3","x.summer_disease_risk_ssp3","x.summer_mean_temp_ssp3","x.pad_ssp3","x.actual_chill_ssp3","x.winter_mean_temp_ssp3","x.spring_pollinator_ssp3","x.spring_disease_risk_ssp3","x.spring_frost_risk_ssp3","x.spring_mean_temp_ssp3","x.fruit_frost_risk_ssp3","x.fruit_drought_stress_risk_ssp3","x.fruit_hail_risk_ssp3","x.fruit_sunburn_risk_ssp3","x.fruit_mean_temp_ssp3","x.fruit_insect_risk_ssp3","x.fruit_disease_risk_ssp3","x.fruit_snail_risk_ssp3","x.T_opt_fruit_ssp3","x.harvest_frost_risk_ssp3","x.harvest_heat_risk_ssp3","x.harvest_hail_risk_ssp3","x.harvest_rain_risk_ssp3","x.harvest_fly_risk_ssp3","x.harvest_mean_temp_ssp3","x.summer_drought_stress_risk_ssp5","x.summer_insect_risk_ssp5","x.summer_disease_risk_ssp5","x.summer_mean_temp_ssp5","x.pad_ssp5","x.actual_chill_ssp5","x.winter_mean_temp_ssp5","x.spring_pollinator_ssp5","x.spring_disease_risk_ssp5","x.spring_frost_risk_ssp5","x.spring_mean_temp_ssp5","x.fruit_frost_risk_ssp5","x.fruit_drought_stress_risk_ssp5","x.fruit_hail_risk_ssp5","x.fruit_sunburn_risk_ssp5","x.fruit_mean_temp_ssp5","x.fruit_insect_risk_ssp5","x.fruit_disease_risk_ssp5","x.fruit_snail_risk_ssp5","x.T_opt_fruit_ssp5","x.harvest_frost_risk_ssp5","x.harvest_heat_risk_ssp5","x.harvest_hail_risk_ssp5","x.harvest_rain_risk_ssp5","x.harvest_fly_risk_ssp5","x.harvest_mean_temp_ssp5"
"1",30.9056763431515,4.08344023164999,94,30.7034414390955,29.5548616172076,1526,26.1437609315659,16.2495976476182,3117,8.72032239202319,8.72032239202319,3286,21.354410614141,21.354410614141,5149,20.5869372499262,47.4717905456034,31216.1192233975,13.5305051281,0.396270583159257,0.156865311632064,0.388805138828217,0.192998149027737,0.290967885377408,0.435013323623256,0.0569081461087808,0.068664059143029,0.269611399806525,0.531679161130641,0.518322882773571,0.259537821450403,0.363580558592874,0.363484849781091,0.465099917974297,0.255299752689071,0.485576448961486,0.26,0.3,0,16.3966483516484,49,99.28,7.67860927152318,0.45,0,0.5,10.8850833333333,0,0.06,0,0,14.7701666666667,0,0,0,13.5305051281,0,0.2,0,0.15,0.2,16.3966483516484,0.23,0.15,0,17.2157692307692,66,103.79,7.89317880794702,0.466666666666667,0,0.3,10.24825,0.1,0.13,0,0,16.083,0,0,0,13.5305051281,0,0.1,0.1,0,0.35,17.2157692307692,0.19,0.2,0,15.5264285714286,51,99.91,7.63423841059603,0.383333333333333,0,0.9,8.49783333333333,0,0.11,0,0,15.9586666666667,0,0,0,13.5305051281,0,0.65,0.05,0,0.45,15.5264285714286,0.22,0.45,0,18.9536263736264,69,96.73,7.21033112582781,0.25,0,0.25,12.9271666666667,0,0.05,0.1,0,17.2286666666667,0,0,0.1,13.5305051281,0,0.3,0.2,0,0.7,18.9536263736264,0.06,0.4,0,17.7515934065934,63,102.08,6.97503311258278,0.383333333333333,0,0.1,11.86075,0,0.18,0,0,18.3775,0.1,0,0,13.5305051281,0,0.35,0.05,0,0.55,17.7515934065934
"2",10.1655129049925,6.10024247011644,93,33.1276347491613,19.4617068583696,955,29.6873505816907,29.6873505816907,3047,34.1450343732132,28.6009179561933,3455,7.4410387796686,7.4410387796686,4780,26.2188050167581,41.843307390029,30842.9369220926,13.6194671093757,0.211526513685721,0.190439119867579,0.41687460280336,0.359606752493159,0.487812393360149,0.389382528499688,0.394371420997442,0.479570274091279,0.427963772158281,0.22735767296102,0.0976562745241224,0.288798758678927,0.421255518088878,0.441480676123999,0.351533013847349,0.215501633543865,0.481278742479339,0.25,0.1,0,15.7331318681319,49,100.19,6.98185430463576,0.216666666666667,0,1,5.51725,0,0.11,0.05,0,15.1526666666667,0,0,0,13.6194671093757,0,0.5,0.05,0,0.2,15.7331318681319,0.26,0,0,14.7496703296703,37,101.62,7.12741721854305,0.416666666666667,0,0.25,10.6558333333333,0,0.15,0.05,0,14.207,0,0,0,13.6194671093757,0,0.2,0,0,0.45,14.7496703296703,0.22,0.2,0,15.8996153846154,52,110.18,6.38291390728477,0.266666666666667,0,0.75,8.54641666666667,0,0,0.15,0,15.7126666666667,0,0,0,13.6194671093757,0,0.05,0.2,0,0.15,15.8996153846154,0.37,0,0.1,16.2695054945055,50,101.39,6.84847682119205,0.433333333333333,0,0.15,11.4085,0,0.15,0.05,0,16.072,0,0,0,13.6194671093757,0,0.25,0,0.15,0.4,16.2695054945055,0.32,0.75,0,19.5259340659341,75,91.12,5.52337748344371,0.25,0,0.25,11.9821666666667,0,0,0.1,0,18.8171666666667,0,0,0.1,13.6194671093757,0,0.3,0.1,0,0.3,19.5259340659341
"3",26.0492057248916,10.7731730095387,48,15.8066206709166,15.7638206688969,801,20.3445226072411,16.7657718297809,2175,29.5726547904201,29.5726547904201,4102,8.60643736476452,3.7469790702191,4910,25.4929324942091,52.6238546579192,31122.2689383425,13.2679547757523,0.361664129183968,0.247348838507203,0.199440082682255,0.238559011467883,0.378243738855298,0.281726337785772,0.330499813126043,0.31216606368135,0.412689575509231,0.300904691384504,0.307711849709557,0.27666150126485,0.459351500493521,0.390847493557972,0.381375908555189,0.179851707029458,0.473392626146126,0.28,1,0,15.3939010989011,43,104.7,7.64304635761589,0.4,0,0.85,9.14333333333333,0,0,0.05,0,13.3966666666667,0,0,0,13.2679547757523,0,0.2,0.2,0.15,0.2,15.3939010989011,0.33,0,0,15.251978021978,45,104.33,7.49278145695364,0.266666666666667,0,0.6,8.80358333333333,0,0.05,0,0,15.6128333333333,0,0,0,13.2679547757523,0,0.45,0.05,0,0.15,15.251978021978,0.21,0.1,0,15.1835164835165,42,105.86,7.41602649006622,0.366666666666667,0,0.4,9.86566666666667,0,0,0.15,0,15.9156666666667,0,0,0.1,13.2679547757523,0,0,0,0.15,0.3,15.1835164835165,0.26,0,0,17.5160989010989,54,100.79,7.39523178807947,0.416666666666667,0,0.5,10.2871666666667,0,0.07,0,0,16.3328333333333,0,0,0,13.2679547757523,0,0.3,0.1,0,0.4,17.5160989010989,0.39,0.45,0,19.1853846153846,67,108.66,6.43907284768212,0.266666666666667,0,0.45,9.14058333333333,0,0.14,0,0,15.9181666666667,0,0,0,13.2679547757523,0,0,0.05,0.3,0.85,19.1853846153846
"4",34.1481615673049,15.1679051121574,6,35.5489953351716,19.67297120339,1059,15.2584008265289,8.11168265027303,2001,12.8971795861545,12.8971795861545,3312,15.3284536347016,15.3284536347016,5286,23.5559404651838,43.4318281005821,31747.0952947974,13.678720133602,0.142892928574351,0.272241483719857,0.389064909288168,0.11885384440281,0.458649154352558,0.331563650764663,0.405063905283195,0.0362638010551067,0.123016973589533,0.358968254031781,0.484716834601438,0.32767027751123,0.363800625075778,0.465820740678471,0.321156977661878,0.130940750653076,0.464096682111457,0.14,0.2,0,16.641043956044,57,102.69,8.24059602649007,0.416666666666667,0,0.7,9.03091666666667,0.15,0.05,0,0,13.2123333333333,0,0,0,13.678720133602,0,0.4,0.05,0.45,0.35,16.641043956044,0.17,0.1,0,16.2465384615385,44,104.18,7.25960264900662,0.333333333333333,0,0.15,10.3175833333333,0,0,0,0,14.9686666666667,0,0,0,13.678720133602,0,0.05,0.1,0,0.4,16.2465384615385,0.33,0.45,0,16.7664835164835,57,104.48,7.49105960264901,0.25,0,0.7,8.22758333333333,0,0,0,0,14.7298333333333,0,0,0,13.678720133602,0,0.4,0,0.15,0.15,16.7664835164835,0.14,1,0,19.5099450549451,76,107.18,5.30973509933775,0.316666666666667,0,0.25,10.5643333333333,0,0.09,0.1,0,17.1771666666667,0,0,0.1,13.678720133602,0,0.55,0.2,0.3,0.25,19.5099450549451,0.21,0.1,0,18.3860989010989,64,100.42,6.64059602649007,0.25,0,0.15,13.0779166666667,0,0.05,0.05,0,16.3748333333333,0,0,0,13.678720133602,0,0.2,0.05,0,0.6,18.3860989010989
"5",16.1542160496472,9.31649825849274,100,15.4816879161115,12.9156671828399,235,24.962511122662,6.80446676819709,2678,8.70837281573652,6.46001818254497,3271,9.51348942827611,5.90129619245011,5751,21.1496207192129,60.8098269786907,30498.3901678978,13.4131087699186,0.360098049522084,0.382390075447883,0.512187347770494,0.240994825851959,0.27329314964494,0.442005710180725,0.580461073703337,0.311588496076317,0.324171248381102,0.385110111817608,0.185291752184082,0.270404320599412,0.585622712706864,0.360525698387906,0.313120375050987,0.189302811286198,0.432215347835419,0.26,0.35,0,14.8508791208791,37,105.38,7.35841059602649,0.433333333333333,0,0.85,8.30491666666667,0,0.09,0.05,0,16.7966666666667,0,0,0,13.4131087699186,0,0.15,0.05,0,0.55,14.8508791208791,0.06,0.15,0,16.6545054945055,61,107.85,5.76105960264901,0.183333333333333,0,0.6,7.50575,0,0.07,0,0,15.3545,0,0,0,13.4131087699186,0,0.1,0.1,0,0.3,16.6545054945055,0.11,0.25,0,16.5773076923077,55,106.03,6.70774834437086,0.35,0,0.15,11.163,0.05,0.05,0,0,11.8518333333333,0,0,0,13.4131087699186,0,0.1,0,0.3,0.35,16.5773076923077,0.21,1,0,19.3749450549451,66,99.9,6.28066225165563,0.25,0,0.25,10.2574166666667,0,0.11,0,0,14.9263333333333,0,0,0,13.4131087699186,0,0.25,0.05,0.15,0.5,19.3749450549451,0.22,0.35,0,19.3176373626374,64,99.4,6.85549668874172,0.266666666666667,0,0.1,10.70825,0,0.13,0.05,0,14.7503333333333,0,0,0,13.4131087699186,0,0.35,0.05,0,0.4,19.3176373626374
"6",31.6074711813523,15.9551967823279,60,13.6200219210923,13.5245915688239,866,27.9473263484518,10.1659937282495,2829,4.40173008398678,3.29713350494965,3221,3.29556778168282,2.04879543629457,5185,27.4288643401147,56.5999458530553,30630.7183048131,13.2905727761295,0.0962215153213979,0.344874700538343,0.204876329228393,0.55561630145799,0.274406998091535,0.363645899397293,0.275616075671115,0.0781304631355134,0.279575584530182,0.0760284662237947,0.141388726329889,0.331768944415166,0.486477828801813,0.436713062578452,0.418057857278893,0.241924812804423,0.502601876257379,0.16,0,0,15.3299450549451,48,102.63,7.37622516556291,0.3,0,0.6,8.54275,0,0.11,0,0,14.1121666666667,0,0,0,13.2905727761295,0,0.1,0.2,0,0.75,15.3299450549451,0.12,0.5,0,16.2940659340659,51,98.3,7.54238410596027,0.366666666666667,0,0.45,11.48025,0,0.12,0.05,0,16.0771666666667,0,0,0,13.2905727761295,0,0.3,0.1,0.15,0.5,16.2940659340659,0.19,0.35,0,16.1076373626374,45,101.62,6.97238410596026,0.35,0,0.3,10.60575,0,0.12,0.1,0,16.299,0,0,0,13.2905727761295,0,0.2,0.05,0.15,0.35,16.1076373626374,0.15,1,0,19.7120879120879,72,87.74,7.56562913907285,0.4,0,0.2,11.8731666666667,0,0.16,0.1,0,18.6606666666667,0.25,0,0.1,13.2905727761295,0,0.5,0.05,0.3,0.3,19.7120879120879,0.32,0.95,0,19.6585714285714,70,106.77,6.78774834437086,0.216666666666667,0,0.4,10.2278333333333,0,0.12,0.05,0,18.3498333333333,0.1,0,0,13.2905727761295,0,0.2,0,0,0.2,19.6585714285714
"7",36.7250414588305,36.7250414588305,42,4.46264755903651,2.22266282819258,325,33.9306342340956,33.9306342340956,2778,25.9380236267121,16.5287299738693,4056,14.9007076138467,8.22500749649157,5811,31.6171408553387,54.4967650144247,31586.4174586063,13.4055625590623,0.255563174177908,0.208412131774341,0.0346553853207238,0.221633070164768,0.234218193437455,0.244775056877882,0.261399546146496,0.262062911497453,0.0613014460322271,0.329787852560443,0.303488221574016,0.199129737040847,0.410529334224923,0.484195511391369,0.425540757093786,0.139280129276526,0.403005291334619,0.24,0,0,16.2732967032967,56,100.81,7.40437086092715,0.416666666666667,0,0.25,10.56225,0.05,0.11,0,0,12.2983333333333,0,0,0,13.4055625590623,0,0.05,0,0.15,0.1,16.2732967032967,0.05,0.35,0,18.0387912087912,64,88.16,7.66629139072848,0.3,0,0.5,11.0639166666667,0,0.12,0.1,0,19.463,0.1,0,0,13.4055625590623,0,0.55,0.05,0.15,0.4,18.0387912087912,0.11,0.25,0,16.8217582417582,56,103.81,6.9317880794702,0.366666666666667,0,0.05,11.8168333333333,0,0,0,0,11.9543333333333,0,0,0,13.4055625590623,0,0.1,0,0.3,0.35,16.8217582417582,0.18,0.15,0,18.0213186813187,73,103.33,6.7371523178808,0.316666666666667,0,0.55,9.97025,0.05,0.14,0,0,13.1203333333333,0,0,0,13.4055625590623,0,0.15,0.15,0.15,0.75,18.0213186813187,0.12,0.8,0,18.8358241758242,72,87.5,7.04403973509934,0.366666666666667,0,0.15,13.1634166666667,0,0.06,0,0,15.6253333333333,0,0,0,13.4055625590623,0,1,0.05,0,0,18.8358241758242
"8",3.91684505147681,3.7960609634126,80,13.8159931538027,8.67051864380129,518,16.5398002801274,13.4286303331542,3091,14.5018755902237,1.48524625961541,3405,15.2178654364901,5.88248235683051,5591,23.4174398042234,59.8915867008861,29562.4152734953,13.389154590688,0.0218878876548746,0.407833908910222,0.264456271677378,0.298751336739755,0.446377357153366,0.286634692983078,0.338355116210253,0.531051265129726,0.32944763747318,0.316614528525956,0.409977247029481,0.457768499388432,0.414458175507189,0.488628957489332,0.40993055574294,0.29034131987912,0.458718038153677,0.24,0,0,15.1663186813187,47,102.58,7.81735099337748,0.316666666666667,0,1,7.84308333333333,0.05,0,0.05,0,15.579,0,0,0.1,13.389154590688,0,0.1,0.1,0.15,0.4,15.1663186813187,0.17,0.65,0,17.7967032967033,64,108.32,6.4658940397351,0.266666666666667,0,0.3,10.0985833333333,0,0,0,0,13.1168333333333,0,0,0.2,13.389154590688,0,0.1,0,0.15,0.4,17.7967032967033,0.25,0.3,0,16.2686263736264,51,106.67,6.28185430463576,0.266666666666667,0,0.35,9.27908333333333,0,0.08,0,0,14.4891666666667,0,0,0,13.389154590688,0,0,0.05,0.3,0.25,16.2686263736264,0.12,0.1,0,16.9386813186813,62,102.08,7.45026490066225,0.45,0,0.3,10.41475,0,0.14,0.05,0,15.8448333333333,0,0,0,13.389154590688,0,0.3,0.05,0.15,0.35,16.9386813186813,0.25,0.3,0,16.9768681318681,60,106.5,6.45973509933775,0.3,0,0.2,10.8546666666667,0,0.08,0,0,15.9225,0,0,0.1,13.389154590688,0,0.05,0.1,0.15,0.35,16.9768681318681
"9",12.0023204028901,5.14261630880661,76,19.3576498343131,11.4725823902991,1474,33.4598754758871,17.5603185502271,3167,18.0624360784521,16.4368168313914,4123,10.1201415455948,1.01201415455948,4674,22.7175874576908,45.7753035970872,31167.9915150401,14.0463543502349,0.132666243140346,0.264340357335705,0.243537227698714,0.210331833121472,0.371361165545549,0.56962637731199,0.281942716691567,0.215208746980117,0.319174983284093,0.27624368400509,0.416791225778409,0.255657542211656,0.306056156951057,0.389925891323387,0.46717825945855,0.160849366489069,0.431500669120319,0.3,0,0,13.7100549450549,39,105.37,7.22132450331126,0.25,0,1,6.62558333333333,0,0,0.05,0,15.4441666666667,0,0,0,14.0463543502349,0,0.25,0.1,0.45,0.7,13.7100549450549,0.22,0,0,16.1439010989011,63,103.2,7.18271523178808,0.25,0,0.7,7.52883333333333,0.15,0.07,0,0,10.5833333333333,0,0,0,14.0463543502349,0,0,0.05,0,0.4,16.1439010989011,0.19,0.3,0,16.4158241758242,48,99.99,7.96556291390728,0.483333333333333,0,0.25,10.8090833333333,0,0,0,0,12.3661666666667,0,0,0,14.0463543502349,0,0.3,0.05,0.15,0.55,16.4158241758242,0.24,0.2,0,17.6947802197802,67,96.52,8.13602649006623,0.316666666666667,0,0.5,10.0816666666667,0,0,0,0,15.1931666666667,0,0,0,14.0463543502349,0,0.4,0,0,0.15,17.6947802197802,0.24,1,0,20.3514285714286,74,87.6,7.65496688741722,0.316666666666667,0,0.45,9.68858333333333,0,0.07,0,0,13.9245,0,0,0,14.0463543502349,0,0,0.1,0,0.55,20.3514285714286
"10",21.2543188850112,12.4007948570641,25,14.4313519735654,14.4313519735654,1202,11.0578275640116,6.7294974744727,2885,18.095353733817,11.2815962531149,3982,12.2898468033413,1.22898468033413,5016,24.8592761499337,47.4484241295072,31768.5780164583,13.2871859724363,0.0746222562005329,0.106185420125323,0.226744127699733,0.198633528958344,0.157535038723182,0.207874870703695,0.528224475515564,0.349533094275624,0.370361148339925,0.0115066735089193,0.194545015403702,0.383439829700539,0.37932243811616,0.434233425338631,0.476497864835823,0.181438253893038,0.430092603029807,0.21,0.2,0,15.4764285714286,50,89.56,7.30529801324503,0.283333333333333,0,0.75,8.7035,0,0.05,0.05,0,16.725,0,0,0,13.2871859724363,0,0.35,0,0,0.6,15.4764285714286,0.26,0.1,0,16.7274725274725,53,102.11,7.06198675496689,0.35,0,0.55,9.84391666666667,0,0.07,0,0,16.7668333333333,0,0,0,13.2871859724363,0,0.25,0.1,0,0.4,16.7274725274725,0.32,0.9,0,18.3587362637363,66,105.66,6.96761589403973,0.233333333333333,0,0.55,9.70983333333333,0,0.12,0.05,0,18.0651666666667,0.1,0,0,13.2871859724363,0,0.2,0,0,0.15,18.3587362637363,0.25,0.1,0,17.3574725274725,58,102.32,6.84370860927152,0.25,0,0.1,12.5358333333333,0,0.1,0,0,14.7618333333333,0,0,0,13.2871859724363,0,0.1,0.15,0.15,0.7,17.3574725274725,0.25,0.85,0,20.1558791208791,76,97.63,7.64165562913907,0.25,0,0.25,9.80783333333333,0,0,0,0,15.9266666666667,0,0,0,13.2871859724363,0,0.45,0.2,0,0.4,20.1558791208791
